Num,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,AVERAGE,AVERAGE_EN,AVERAGE_CH,BINARY_EN,BINARY_CH
611,621975,Very nice. How could I doubt you?,,,,0,,,,,2,,,,,,3,,,6,,4,,,,,,,,,,,,1,,,,,1,,,,,,5,,0,,,,,,-6,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,-1,0.8,1,0.6,1,1
612,385786,"Working on it - sent an email to the people at the Cambridge U Library to see if they know where it's from. In the meantime, could you check with Jappalang that his concern about the infobox image has been addressed?",,,,-2,,,,,3,,,,,,-1,,,0,,3,,,,,,,,,,,,4,,,,,3,,,,,,4,,1,,,,,,-3,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,-1,0.4,0.2,0.6,1,1
613,256896,"Btw, what's ""WPC MOS"", and where/when was it decided that we don't use volume indicators? Why is this, and how do we distinguish between different volumes of series when mentioning issue numbers?",,,,-1,,,,,1,,,,,,0,,,3,,6,,,,,,,,,,,,3,,,,,-4,,,,,,-5,,0,,,,,,0,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,1,blank,blank,blank,blank,blank,1,0.4,0.6,0.2,1,1
614,55189,"Hi - there are a few issues that I've pointed out at the nomination page. Also, why does your sign link to the talkpage of <url>?",,,,-1,,,,,-1,,,,,,-1,,,-1,,2,,,,,,,,,,,,0,,,,,-2,,,,,,-6,,-1,,,,,,-2,blank,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,-1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,-1,-0.6,-0.6,-0.6,-1,-1
615,511695,Hi. Is there no chance that you could take a photograph of RCMP officers in the uniform we don't have a picture of?,,,,2,,,,,2,,,,,,-3,,,1,,5,,,,,,,,,,,,2,,,,,1,,,,,,-5,,1,,,,,,-6,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,1,blank,blank,blank,blank,blank,-1,0.4,0.6,0.2,1,1
616,625700,"Well, welcome, and thanks for helping out, as you can see it's greatly needed. Do you have <url> yet?",,,,5,,,,,2,,,,,,1,,,4,,7,,,,,,,,,,,,3,,,,,2,,,,,,6,,3,,,,,,3,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,1,1,1,1,1,1
617,221519,"<url> posted a wonderful grammatical analysis of the ""has/had"" thing, another editor agreed, so I'm thinking we should make another request for the change, using Bluewave's post as the basis. What do you think?",,,,4,,,,,2,,,,,,-1,,,1,,7,,,,,,,,,,,,3,,,,,0,,,,,,3,,2,,,,,,3,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,1,0.8,0.6,1,1,1
618,542856,"Hi, congrats on your admin promotion, but in preparing the short note about it for ''The Signpost'', I'm puzzled as to ""the backlog"", which appeared in your Request for Adminship text. Is it a copyright backlog for images?",,,,3,,,,,3,,,,,,-2,,,5,,5,,,,,,,,,,,,4,,,,,1,,,,,,2,,2,,,,,,0,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,1,0.8,0.6,1,1,1
619,247167,Replied there. Should we keep it in that one place for now?,,,,3,,,,,1,,,,,,-2,,,0,,7,,,,,,,,,,,,1,,,,,0,,,,,,0,,1,,,,,,2,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,1,0.8,0.6,1,1,1
620,319083,"I am sorry you ""don't like <url> tone"", but I have made scrupulous efforts to be entirely civil. Your opinion of my tone apart, would you care to respond to my points?",,,,-6,,,,,-7,,,,,,-9,,,-3,,7,,,,,,,,,,,,1,,,,,3,,,,,,-7,,-2,,,,,,8,blank,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,-1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,1,-0.2,-0.6,0.2,-1,1
621,8289,Leon Liebgold played a rabbi. Was he a rabbi?,0,,,,-1,,,,,0,,,0,,,,0,,,,,,0,,,,,,,,0,,,,,,-2,,,,,0,,,0,,,,,,0,1,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,1,0.636363636,0.666666667,0.6,1,1
622,38100,"This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??",-9,,,,-5,,,,,-9,,,-1,,,,-3,,,,,,-9,,,,-3,,,,-3,,,,,,-5,,,,,0,,,-2,,,,,,-2,-1,blank,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,-1,blank,blank,blank,blank,blank,-1,-0.833333333,-1,-0.666666667,-1,-1
623,46143,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",2,,,,7,,,,,-1,,,0,,,,7,,,,,,12,,,,9,,,,3,,,,,,7,,,,,5,,,1,,,,,,5,1,blank,blank,blank,1,blank,blank,blank,blank,-1,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,1,0.833333333,0.666666667,1,1,1
624,545256,Indeed. How did you find this?,0,,,,1,,,,,9,,,-1,,,,2,,,,,,8,,,,3,,,,0,,,,,,1,,,,,0,,,1,,,,,,0,1,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,1,0.833333333,0.666666667,1,1,1
625,322965,I objected because the image is replaceable. Why can't someone take a picture of it and release it freely?,-2,,,,-3,,,,,5,,,-2,,,,1,,,,,,-3,,,,0,,,,-3,,,,,,0,,,,,-3,,,-2,,,,,,-7,-1,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,blank,blank,-1,blank,blank,blank,blank,blank,-1,-0.333333333,-0.333333333,-0.333333333,-1,-1
626,560944,"Re: your comment at <url>, I suppose you know there's a list at <url>?",-6,,,,,,,,,5,,,-1,,,,-1,,,,,,-6,,,,0,,,,-3,,,,,,-5,,,,,-1,,,-1,,,,,,-11,-1,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,-1,blank,blank,blank,blank,blank,-1,-0.636363636,-0.6,-0.666666667,-1,-1
627,246622,Also I noticed you made new Europe and USA maps for this and <url>. Do you think it would be good to have a world map for <url>?,8,,,,2,,,,,0,,,0,,,,5,,,,,,9,,,,9,,,,3,,,,,,1,,,,,0,,,3,,,,,,5,1,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,1,1,1,1,1,1
628,79427,"Despite our long-standing disagreement, I have no argument with you <url>. However, can I suggest you use a less opaque edit summary than ''added info'' when doing something that is nonetheless controversial?",11,,,,-1,,,,,5,,,-1,,,,-7,,,,,,-6,,,,10,,,,-1,,,,,,6,,,,,0,,,4,,,,,,-10,1,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,-1,0,-0.333333333,0.333333333,-1,1
629,626004,"Well, that was an example as I am adding Infobox Historical American Political Party infobox to all those historical parties in <url> for which I was previously using the regular Infobox American Political Party until I found the Historical version in <url>. So if I wish to continue, I will have to assign colors and shortname to all of them if not already done (like Anti-Masonic Party) right?",-2,,,,2,,,,,-6,,,0,,,,0,,,,,,-1,,,,9,,,,-1,,,,,,5,,,,,1,,,2,,,,,,-2,-1,blank,blank,blank,1,blank,blank,blank,blank,-1,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,-1,0.166666667,0,0.333333333,1,1
630,170028,An Request for Comment on the spelling of Spitsbergen (or is it ''Spitzbergen'') is currently taking place <url>. Possibly worth mentioning in the Signpost?,-2,,,,8,,,,,3,,,0,,,,3,,,,,,1,,,,4,,,,0,,,,,,4,,,,,0,,,2,,,,,,6,-1,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,1,blank,blank,blank,blank,blank,1,0.833333333,0.666666667,1,1,1
631,330396,"I saw you assess this with a <name>, What am I missing?",-5,,,,0,,,,0,,,0,,,0,,,,,4,,,,,,,,,,,,,-1,,-1,,,,0,,3,,,,,,,,,-1,-3,-1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,-1,-1,0.166666667,0.666666667,-0.333333333,1,-1
632,548138,"Of that <url> I just went down and overhauled, you and two <url> <url> were the only (active) Texans I could imagine being interested in getting the ball for a <url> rolling. Interested?",0,,,,,,,,2,,,-1,,,0,,,,,6,,,,,,,,,,,,,-1,,-4,,,,4,,-3,,,,,,,,,-3,0,1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,-1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,-1,1,0.090909091,0.6,-0.333333333,1,-1
633,511283,There's a lot of unfilled requests to become a verified user at WP:OP. Could you possibly look through them?,4,,,,2,,,,4,,,2,,,-1,,,,,6,,,,,,,,,,,,,2,,-2,,,,6,,6,,,,,,,,,7,-2,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,-1,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,1,-1,0.5,0.666666667,0.333333333,1,1
634,620932,"This article was recently submitted for <url> but it appears to be missing a reference to ""James"". Could you fix that please?",2,,,,8,,,,3,,,1,,,0,,,,,4,,,,,,,,,,,,,3,,5,,,,9,,4,,,,,,,,,7,-4,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,1,-1,0.833333333,1,0.666666667,1,1
635,471305,<url> is basically ready for Featured Article candidates pending some copy edits. Could you take a look to see if anything additional needs to be done?,7,,,,5,,,,2,,,2,,,1,,,,,5,,,,,,,,,,,,,3,,2,,,,12,,4,,,,,,,,,6,-3,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,1,-1,0.833333333,1,0.666666667,1,1
636,112808,Hey. I'm proposing a <url> - would you be interested in coming along?,2,,,,8,,,,3,,,1,,,-2,,,,,-7,,,,,,,,,,,,,2,,5,,,,0,,-3,,,,,,,,,4,5,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,1,1,0.5,0.333333333,0.666666667,1,1
637,52605,I don't understand why did you add that message at the bottom of this page??,-6,,,,-6,,,,-2,,,-1,,,-5,,,,,3,,,,,,,,,,,,,-1,,-4,,,,0,,-11,,,,,,,,,-7,-10,-1,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,-1,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,-1,-1,-0.666666667,-0.666666667,-0.666666667,-1,-1
638,461537,"In conclusion, I'm split. What do you think?",-1,,,,2,,,,2,,,0,,,1,,,,,4,,,,,,,,,,,,,-2,,,,,,-3,,-3,,,,,,,,,1,0,-1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,1,1,0.272727273,0.666666667,-0.2,1,-1
639,469915,The above username has been indefinitely banned as a phishing account. Now why would they want my login details...?,-2,,,,-4,,,,-3,,,-1,,,2,,,,,5,,,,,,,,,,,,,0,,-1,,,,0,,-3,,,,,,,,,0,2,-1,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,-1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,-1,blank,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,blank,1,1,0,-0.333333333,0.333333333,-1,1
640,621292,Thanks for identifying it as self created. What license do you release it under?,3,,,,1,,,,5,,,0,,,0,,,,,5,,,,,,,,,,,,,0,,3,,,,0,,11,,,,,,,,,1,-2,1,blank,blank,blank,1,blank,blank,blank,1,blank,blank,1,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,blank,1,-1,0.833333333,1,0.666666667,1,1
641,351597,"Can you explain what you mean by ''""Randi, paranormal, Larry King etc. are all redundant redundant""''?",4,,,1,,-1,,,,,,,,0,,,,-1,,,,,12,,,,,,-3,,-1,,,,,,,,0,,,,,0,,,,,-8,0,-8,1,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,1,-1,0.076923077,0.333333333,-0.142857143,1,-1
642,620521,"Hi <name>, Since several reviews have been done, can you review the version from the same date? 1 July 2010?",-1,,,0,,-2,,,,,,,,-3,,,,0,,,,,12,,,,,,1,,0,,,,,,,,0,,,,,1,,,,,-6,0,-8,-1,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,1,-1,0.230769231,0,0.428571429,1,1
643,622232,"Okay, fair enough. But if they're necessary, could we find a less complex and eyeglazing ''name'' for them?",-3,,,-2,,-3,,,,,,,,-8,,,,-3,,,,,12,,,,,,0,,0,,,,,,,,0,,,,,1,,,,,3,-5,-9,-1,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,1,-1,-1,-0.076923077,-0.666666667,0.428571429,-1,1
644,606020,You haven't contributed in over 10 days now. You alright?,-9,,,2,,0,,,,,,,,-3,,,,-4,,,,,-5,,,,,,-9,,-1,,,,,,,,-3,,,,,-3,,,,,-7,4,-12,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,blank,-1,blank,blank,blank,blank,-1,1,-1,-0.538461538,-0.333333333,-0.714285714,-1,-1
645,157940,What is the source of this image? and why do you think it's PD?,0,,,-2,,-8,,,,,,,,0,,,,-1,,,,,1,,,,,,0,,-1,,,,,,,,-3,,,,,0,,,,,-7,-1,-6,1,blank,blank,-1,blank,-1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,-1,-1,-0.230769231,0,-0.428571429,1,-1
646,628846,"In fact you did link, and the user has archived the page and gotten rid of it. Do you know which section he should be looking for?",-6,,,2,,0,,,,,,,,-2,,,,1,,,,,6,,,,,,1,,-1,,,,,,,,0,,,,,1,,,,,-6,-2,-2,-1,blank,blank,1,blank,1,blank,blank,blank,blank,blank,blank,blank,-1,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,blank,1,blank,-1,blank,blank,blank,blank,blank,blank,blank,1,blank,blank,blank,blank,1,blank,blank,blank,blank,-1,-1,-1,0.076923077,0.333333333,-0.142857143,1,-1
