Community,Num,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,EN25,EN26,EN27,EN28,EN29,EN30,EN31,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21
Wikipedia,18,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?",,4,,,-3,,,0,,,,7,,,,,0,,,2,,,,,,2,3,,,,,,,,,,,,,0,-1,,,,,,-3,,-6,,,
Wikipedia,19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?",,5,,,-1,,,1,,,,0,,,,,3,,,-1,,,,,,2,1,,,,,,,,,,,,,6,2,,,,,,0,,2,,,
Wikipedia,20,622922,That is weird. What happens if you create Usor:Rolandus?,,7,,,0,,,0,,,,4,,,,,2,,,-1,,,,,,1,-2,,,,,,,,,,,,,3,0,,,,,,0,,,,,
Wikipedia,21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?,,,,,,7,,,4,,,,4,,,,,-1,,,,-6,,,,3,,3,1,,,-9,,,,,,,,-6,,-8,,,,2,,,,,-5,
Wikipedia,22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?",,,,,,8,,,9,,,,6,,,,,5,,,,4,,,,3,,6,6,,,12,,,,,,,,6,,12,,,,6,,,,,7,
Wikipedia,23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,,,,,,1,,,0,,,,0,,,,,0,,,,0,,,,4,,6,3,,,0,,,,,,,,0,,0,,,,2,,,,,0,
Wikipedia,24,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,,,,,,6,,,1,,,,-3,,,,,0,,,,,,,,2,,5,4,,,10,,,,,,,,6,,6,,,,4,,,,,-1,
Wikipedia,25,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?",,,,,,4,,,-1,,,,0,,,,,0,,,,0,,,,1,,3,5,,,9,,,,,,,,7,,-6,,,,3,,,,,,
Wikipedia,26,623298,"As another aside, they are mostly Germans. What's up with that?",,,,,,-7,,,-5,,,,1,,,,,-3,,,,0,,,,8,,-4,-3,,,-6,,,,,,,,0,,-3,,,,0,,,,,-2,
Wikipedia,27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,,,,,,5,,,4,,,,3,,,,,0,,,,0,,,,0,,3,2,,,0,,,,,,,,3,,3,,,,2,,,,,3,
Wikipedia,28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?,,,,,,1,,,0,,,,0,,,,,-3,,,,,,,,4,,-1,0,,,-3,,,,,,,,-3,,-9,,,,0,,,,,-10,
Wikipedia,29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?",,,,,,2,,,2,,,,1,,,,,-2,,,,0,,,,-5,,-1,3,,,-3,,,,,,,,-5,,-8,,,,2,,,,,-10,
Wikipedia,30,629684,Out of curiosity what are you testing? How are things going?,,,,,,9,,,2,,,,1,,,,,6,,,,8,,,,7,,3,8,,,9,,,,,,,,0,,-3,,,,3,,,,,-10,
Wikipedia,31,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?",,,,6,,,,,3,,6,,1,,,,,2,,0,,,,,3,,,,2,,,,,0,,,,1,,,,,,8,,3,,,9,,,
Wikipedia,32,210822,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?",,,,12,,,,,9,,12,,8,,,,,3,,0,,,,,9,,,,11,,,,,9,,,,6,,,,,,7,,4,,,0,,,
Wikipedia,33,264394,Would you like to elaborate? How are you empowering me exactly?,,,,-12,,,,,-5,,3,,-4,,,,,-5,,0,,,,,4,,,,-1,,,,,6,,,,3,,,,,,8,,2,,,-11,,,
Wikipedia,34,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?",,,,11,,,,,2,,10,,1,,,,,3,,0,,,,,4,,,,1,,,,,3,,,,6,,,,,,8,,3,,,3,,,
Wikipedia,35,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?",,,,-2,,,,,-2,,7,,-2,,,,,4,,1,,,,,3,,,,-1,,,,,9,,,,8,,,,,,8,,6,,,-6,,,
Wikipedia,36,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?",,,,0,,,,,0,,12,,-2,,,,,4,,0,,,,,0,,,,1,,,,,0,,,,-3,,,,,,9,,0,,,0,,,
Wikipedia,37,596018,"Thanks for the help! That info should be on <url> in easy to read form, no?",,,,12,,,,,8,,12,,0,,,,,5,,1,,,,,4,,,,2,,,,,12,,,,1,,,,,,7,,3,,,3,,,
Wikipedia,38,421199,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?",,,,4,,,,,2,,10,,0,,,,,2,,0,,,,,1,,,,3,,,,,0,,,,2,,,,,,8,,4,,,5,,,
Wikipedia,39,621917,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",,,,12,,,,,11,,11,,2,,,,,4,,3,,,,,4,,,,-1,,,,,3,,,,3,,,,,,5,,8,,,12,,,
Wikipedia,40,62073,Fatwa? What is that?,,,,0,,,,,0,,12,,-1,,,,,-3,,-1,,,,,-1,,,,0,,,,,-9,,,,-9,,,,,,8,,0,,,0,,,
Wikipedia,41,535410,"I see. What about ""Main Church""?",,,,,,0,,-1,,,8,,,2,,,2,,,,,2,,,1,,,,,,,,,,,,-1,,,,,,,1,,,0,,,0,,
Wikipedia,42,580856,"Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?",,,,,,-4,,12,,,6,,,-1,,,6,,,,,-4,,,9,,,,,,,,,,,,6,,,,,,,0,,,6,,,1,,
Wikipedia,43,607777,to the Citations missing template. What's the deal?,,,,,,-6,,-9,,,6,,,-3,,,-5,,,,,,,,-2,,,,,,,,,,,,0,,,,,,,4,,,0,,,0,,
Wikipedia,44,277176,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?",,,,,,2,,12,,,3,,,1,,,3,,,,,-1,,,2,,,,,,,,,,,,3,,,,,,,0,,,10,,,0,,
Wikipedia,45,134361,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?,,,,,,6,,6,,,12,,,0,,,4,,,,,6,,,9,,,,,,,,,,,,2,,,,,,,7,,,12,,,2,,
Wikipedia,46,444059,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?,,,,,,7,,10,,,5,,,0,,,5,,,,,5,,,2,,,,,,,,,,,,1,,,,,,,0,,,6,,,-1,,
Wikipedia,47,38632,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?",,,,,,7,,-3,,,8,,,-2,,,7,,,,,1,,,2,,,,,,,,,,,,2,,,,,,,0,,,,,,0,,
Wikipedia,48,133723,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?",,,,,,-3,,9,,,5,,,-5,,,3,,,,,-3,,,0,,,,,,,,,,,,-1,,,,,,,2,,,-3,,,0,,
Wikipedia,49,209322,What do you think? And how does one go about establishing this project group?,,,,,,0,,11,,,12,,,0,,,4,,,,,-2,,,2,,,,,,,,,,,,0,,,,,,,0,,,0,,,0,,
Wikipedia,50,369741,"I will understand if you decline, but would very much like you to accept. May I nominate you?",,,,,,12,,12,,,12,,,7,,,8,,,,,12,,,9,,,,,,,,,,,,8,,,,,,,-2,,,0,,,6,,
Wikipedia,51,257936,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?,,,,,-3,,,1,,,,-2,,,,,0,,9,-2,,,,,,,,,1,-5,,,,,,,,2,,,0,,,,-1,,,,,,0,3
Wikipedia,52,241828,"Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?",,,,,-2,,,0,,,,9,,,,,3,,4,3,,,,,,,,,0,-5,,,,,,,,0,,,2,,,,-2,,,,,,0,4
Wikipedia,53,84622,<url> shows that Geo Swan has become active and <url> indicates that the problems mentioned at the RfC may be continuing. Would you close the RfC with the drafted summary?,,,,,3,,,-1,,,,10,,,,,2,,7,1,,,,,,,,,7,5,,,,,,,,2,,,0,,,,-2,,,,,,0,4
Wikipedia,54,137339,"I have looked back in my archives a year, and cannot find the issue concerned - although I certainly remember the name, your account, and the style. Can you give me the relevant link/diff, so I can refresh my memory and be best informed what action might be appropriate?",,,,,6,,,4,,,,5,,,,,3,,12,3,,,,,,,,,2,6,,,,,,,,1,,,2,,,,-2,,,,,,0,5
Wikipedia,55,106275,I just sent you an email. Did it work?,,,,,0,,,-2,,,,-1,,,,,1,,9,1,,,,,,,,,0,4,,,,,,,,-2,,,1,,,,-1,,,,,,0,2
Wikipedia,56,13662,"Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?",,,,,-7,,,-12,,,,-5,,,,,-4,,-3,-4,,,,,,,,,-9,-5,,,,,,,,-4,,,1,,,,-1,,,,,,-1,4
Wikipedia,57,89515,"Hi there. Regarding the comment you added <url>, how can this be verified?",,,,,3,,,7,,,,4,,,,,2,,-1,5,,,,,,,,,4,6,,,,,,,,-1,,,2,,,,-2,,,,,,0,2
Wikipedia,58,573934,"Not a whole lot of contrast with the letters now, if you've traversed the link. Maybe a green pattern is just not the right base color, if we are trying to avoid confusing with WP officialstuff?",,,,,5,,,-3,,,,8,,,,,1,,0,-3,,,,,,,,,2,5,,,,,,,,0,,,1,,,,4,,,,,,0,7
Wikipedia,59,297046,I hope this makes my concerns clearer. Perhaps we can work together to resolve them?,,,,,6,,,0,,,,10,,,,,6,,12,4,,,,,,,,,7,7,,,,,,,,4,,,5,,,,4,,,,,,0,4
Wikipedia,60,148704,"I'm curious: how do you make those beautiful coats of arms? Do you have a script that generates them from the heraldic descriptions, or do you make them by hand?",,,,,8,,,5,,,,11,,,,,8,,12,-1,,,,,,,,,9,5,,,,,,,,1,,,2,,,,4,,,,,,0,-4
Wikipedia,61,622223,"Unfortunately, I have no clue what you mean. Can you point me to a page that has such a feature?",,1,3,,,,,,,-2,,,,,-4,,-3,,,,0,,,,9,,,,,5,,-1,,,,,,,,-3,,,-10,,-6,,,,-3,,,
Wikipedia,62,888,Thanks for the heads up. He doesn't know any english?,,-3,8,,,,,,,-2,,,,,,,2,,,,2,,,,3,,,,,3,,0,,,,,,,,-6,,,1,,-6,,,,1,,,
Wikipedia,63,531742,"I took a quick look and I'm not up to reading through it properly at the moment. :) I'll be back on here tomorrow morning and I'll have a look then, if that's OK?",,5,10,,,,,,,-2,,,,,11,,10,,,,3,,,,9,,,,,1,,12,,,,,,,,-5,,,7,,5,,,,5,,,
Wikipedia,64,273774,Hi <name> it is taking a while for Longhair to get back to me on a couple of things. Is he on wikibreak or something?,,2,1,,,,,,,-1,,,,,-4,,0,,,,3,,,,3,,,,,-2,,-4,,,,,,,,-2,,,3,,3,,,,3,,,
Wikipedia,65,507189,"Deleting Val Klassen's page. I redirected it to the creator's talkpage, wasn't that enough?",,-7,-1,,,,,,,-8,,,,,-1,,-2,,,,-2,,,,-1,,,,,-4,,-5,,,,,,,,-5,,,-12,,-5,,,,-8,,,
Wikipedia,66,509055,I'm afraid I don't entirely understand what you mean. Is there some conflict with using user authorization and the GPL license?,,7,4,,,,,,,-1,,,,,9,,5,,,,3,,,,3,,,,,4,,10,,,,,,,,7,,,6,,3,,,,2,,,
Wikipedia,67,445252,"The policy is tricky - I guess it comes down to whether or not you think the account is going to be disruptive, and whether it is appropriate to guess that ahead of time. On the other hand, looks like another overreaction to <name> in my opinion - what do you think?",,2,6,,,,,,,-5,,,,,0,,2,,,,2,,,,5,,,,,4,,12,,,,,,,,4,,,3,,3,,,,-2,,,
Wikipedia,68,204594,Who???,,-9,-6,,,,,,,-3,,,,,-5,,-5,,,,-9,,,,0,,,,,-7,,-4,,,,,,,,-3,,,-7,,-4,,,,-8,,,
Wikipedia,69,457189,Can you help with this user:<url> I suspect that it is sockpuppet of banned user Bonaparte and he vandalizing various articles related to Romanians and Vlachs. Can we do something about it?,,0,3,,,,,,,1,,,,,1,,3,,,,1,,,,6,,,,,4,,2,,,,,,,,0,,,0,,-1,,,,3,,,
Wikipedia,70,469273,"Is there any reason you keep moving boldface marks? ITN is on my watchlist and you seem to do this quite frequently, yet, as far as I can see, it makes no difference, so I feel compelled to ask if there's any particular reason?",,-11,2,,,,,,,-2,,,,,-6,,-2,,,,-2,,,,-1,,,,,3,,2,,,,,,,,5,,,-2,,1,,,,-9,,,
Wikipedia,71,192707,"I always thought that even if you need an account to view the info, it was allowed to be used on Wikipedia. Like the Magazine references?",,1,,,,0,,,2,,7,,,,1,-1,,,,,,0,,,,,0,,,,0,,,,,0,,3,,,,,0,,-5,,,,,0,,
Wikipedia,72,354587,"Sorry, what? Could you be more specific please?",,-1,,,,-2,,,5,,12,,,,3,-3,,,,,,-6,,,,,1,,,,-2,,,,,4,,4,,,,,12,,3,,,,,2,,
Wikipedia,73,134181,"I don't have the full list online, but I do have the 07-08 AJHL record book. Are there any specific seasons or teams you are looking for?",,0,,,,1,,,3,,12,,,,0,3,,,,,,0,,,,,5,,,,5,,,,,7,,5,,,,,2,,3,,,,,0,,
Wikipedia,74,627256,How does it feel being wikifamous??,,0,,,,-2,,,6,,12,,,,-1,0,,,,,,,,,,,-1,,,,0,,,,,-1,,-4,,,,,-8,,,,,,,0,,
Wikipedia,75,292274,You're welcome. What else is peer review for?,,10,,,,-1,,,8,,9,,,,8,9,,,,,,-1,,,,,4,,,,-2,,,,,7,,1,,,,,11,,3,,,,,3,,
Wikipedia,76,219928,Why did you remove those German emigrant cases. Shouldn't we include those cases of people who was born in what was then Germany at the time?,,-2,,,,-6,,,-2,,3,,,,-1,-8,,,,,,0,,,,,0,,,,-1,,,,,0,,-4,,,,,-10,,3,,,,,-1,,
Wikipedia,77,394222,just wondering how the chapters were going. you think they are notable enough to have their own article?,,2,,,,-2,,,3,,12,,,,,-7,,,,,,0,,,,,-2,,,,5,,,,,-1,,-2,,,,,-7,,-6,,,,,-2,,
Wikipedia,78,164799,"What would the recommended sequencing be, then?... Good Article then Feautred Article recommendation?",,-2,,,,0,,,0,,3,,,,0,0,,,,,,-1,,,,,-2,,,,1,,,,,-2,,-1,,,,,0,,1,,,,,0,,
Wikipedia,79,576947,"I noticed you added the Jean Chretien link to the homepage, which is nice, but you didn't put any comment for the changelog and you also didn't bump of the last article, you bumped off the 2nd last article. Why?",,-6,,,,-5,,,-2,,5,,,,-3,-8,,,,,,-8,,,,,-2,,,,2,,,,,2,,-3,,,,,-4,,4,,,,,-1,,
Wikipedia,80,207737,"In <url>, you removed a cartoon image of Wendy Thomas that had been used in the infobox on her article. I'm not very familiar with the NFCC policy you cite, so I was wondering if you thought that giving a rationale on the image for use in that particular article would bring it up to specs?",,1,,,,7,,,2,,5,,,,1,0,,,,,,1,,,,,2,,,,1,,,,,8,,7,,,,,0,,3,,,,,0,,
Wikipedia,81,628231,"Also, 'topological proof'? Isn't 'proof' a bit strong?",,,,-2,,,-3,,,,,,-3,,,,,,2,0,,,,,,0,,-4,1,,,,,,,-1,,,5,,,,-2,,,,-3,,,,-3,
Wikipedia,82,625715,"When you say you emailed Crystal, do you mean ''Crystal Evans, AKA Country Girl in Girl Authority?'' She was the one who wanted me to recieve the Barnstar?",,,,-12,,,2,,,,,,-2,,,,,,3,3,,,,,,3,,-2,1,,,,,,,-1,,,-2,,,,0,,,,-5,,,,0,
Wikipedia,83,153143,I seem to have stuffed up creating 4 April 2009 very badly. Can you help?,,,,12,,,3,,,,,,4,,,,,,7,2,,,,,,-3,,0,4,,,,,,,-1,,,2,,,,-4,,,,0,,,,0,
Wikipedia,84,414976,"Hello. Regarding <url>, could you tell me what supports this being a free image?",,,,7,,,3,,,,,,7,,,,,,12,3,,,,,,1,,7,7,,,,,,,0,,,2,,,,1,,,,0,,,,-8,
Wikipedia,85,234380,"Yes, I do have the Family Guy DVD collection, Volume 1, Seasons 1&2. What's up?",,,,-3,,,-6,,,,,,5,,,,,,11,3,,,,,,4,,8,1,,,,,,,-1,,,4,,,,0,,,,-3,,,,-9,
Wikipedia,86,137251,"An editor you recently blocked for a week, <url>, is now editing the same articles and topics under an IP account <url>. Is this allowed or should it just be ignored?",,,,4,,,3,,,,,,2,,,,,,8,-1,,,,,,4,,-1,1,,,,,,,5,,,2,,,,0,,,,0,,,,3,
Wikipedia,87,627674,"I agree, and that is something that I have believed to be the case for a few weeks now, but <name> won't let me make any significant changes that would result as such. So has it been propsed that the material be merged?",,,,7,,,-2,,,,,,1,,,,,,10,6,,,,,,4,,6,6,,,,,,,7,,,2,,,,-10,,,,1,,,,6,
Wikipedia,88,476597,I'm confused: what did you do? And how did you delete it twice without restoring it in between?,,,,3,,,-4,,,,,,0,,,,,,9,-4,,,,,,5,,1,3,,,,,,,-1,,,-4,,,,-6,,,,-3,,,,-5,
Wikipedia,89,516456,<url>. What do you think should be done?,,,,3,,,0,,,,,,0,,,,,,12,-1,,,,,,4,,0,9,,,,,,,4,,,-3,,,,-8,,,,0,,,,0,
Wikipedia,90,544688,"This would make a great addition to DYK, you know. (<url> :) It's just under a thousand wordsu2014maybe more of your thesis would like to make it onto WP?",,,,12,,,6,,,,,,-1,,,,,,6,2,,,,,,2,,9,7,,,,,,,2,,,3,,,,4,,,,0,,,,,
Wikipedia,91,172545,Iulius! Could you provide exact reference of article u017dirmu016bnai part ''Demographics'' ethnicity composition?,,,1,,,,,,2,,,,,0,,,,0,,,,,5,,,,1,2,,,,,,,,2,2,,,,,3,,,,,,-3,,,,
Wikipedia,92,71974,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?,,,-5,,,,,-9,-6,,,,,-3,,,,-3,,,,,-10,,,,-5,-3,,,,,,,,0,-2,,,,,-5,,,,,,-12,-6,,,
Wikipedia,93,447985,"As a timid Wikipedia end-user who never makes more than a rare grammatical or spelling edit, learning the history to be found on this talk page and Kate's userpage history makes me sad. Why is it that so many communities change the way they do as the size of the project they revolve around increases..?",,,-1,,,,,0,5,,,,,-3,,,,0,,,,,6,,,,-2,6,,,,,,,,5,-1,,,,,0,,,,,,0,4,,,
Wikipedia,94,537248,Title says it all.<url> I dont have time to put up a page... but might I suggest <url>?,,,2,,,,,-12,-3,,,,,-2,,,,2,,,,,0,,,,-3,0,,,,,,,,3,0,,,,,3,,,,,,3,4,,,
Wikipedia,95,6478,Thanks. Do you happen to know if the postcard was origianlly published in Japan?,,,3,,,,,3,6,,,,,7,,,,4,,,,,8,,,,8,8,,,,,,,,2,10,,,,,6,,,,,,9,3,,,
Wikipedia,96,13280,"Sorry, but which talk page? I came across the graphic at <url> - is there another?",,,3,,,,,-1,6,,,,,3,,,,4,,,,,10,,,,7,5,,,,,,,,0,4,,,,,7,,,,,,0,5,,,
Wikipedia,97,599609,So....what's up with this article? Is it a joke?,,,-8,,,,,-12,-5,,,,,-7,,,,-5,,,,,-8,,,,-6,-5,,,,,,,,0,-1,,,,,-6,,,,,,-6,-11,,,
Wikipedia,98,532224,The content has recently been added to <url>. Would you consider changing your vote to delete?,,,5,,,,,10,-2,,,,,0,,,,6,,,,,-1,,,,4,7,,,,,,,,2,2,,,,,3,,,,,,9,4,,,
Wikipedia,99,629673,No problem. Have you heard anything new about HRE?,,,5,,,,,6,5,,,,,5,,,,5,,,,,10,,,,4,7,,,,,,,,1,4,,,,,6,,,,,,9,4,,,
Wikipedia,100,334732,"Again samething with the second site, again outside of taking they're word for it how do we know they are are right. What is your opinion on the 2 logos in the forum discussion think they were made up?",,,4,,,,,-6,2,,,,,-2,,,,0,,,,,-11,,,,5,-1,,,,,,,,0,0,,,,,0,,,,,,-8,-7,,,
Wikipedia,101,626770,"Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?",,,-9,,,,,,,,,-11,,,-12,-12,,,,,,,-12,-10,,,,,,-6,,,,,0,,,,-11,,,-12,,,,,,-12,,,-10,
Wikipedia,102,459747,Howdy Resolute. Is <url> for real?,,,-6,,,,,,,,,-5,,,6,-12,,,,,,,4,4,,,,,,-7,,,,,6,,,,0,,,-3,,,,,,0,,,-1,
Wikipedia,103,102225,"I just reverted your addition of a fossil range template to <url>, because with only an arrow at the very right it didn't seem to add much useful information. Perhaps we could make a separate template to show only the Cenozoic or so, which would allow us to show more detail in these fossil ranges?",,,7,,,,,,,,,8,,,1,-2,,,,,,,3,4,,,,,,4,,,,,-6,,,,3,,,5,,,,,,12,,,3,
Wikipedia,104,399040,That's making the fundamental assertion that the second source is reliable. Can you prove that it is?,,,1,,,,,,,,,-2,,,0,-3,,,,,,,-5,0,,,,,,0,,,,,4,,,,-1,,,3,,,,,,6,,,-1,
Wikipedia,105,620486,? What?,,,-3,,,,,,,,,-6,,,-5,-12,,,,,,,-9,-2,,,,,,-9,,,,,-10,,,,-2,,,-12,,,,,,-9,,,-3,
Wikipedia,106,71828,"There seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the ""align"" tags in the beginning infobox made the text grotesquely overflow the margins. I've trimmed these down; mind checking my work?",,,7,,,,,,,,,7,,,0,-1,,,,,,,-3,3,,,,,,3,,,,,3,,,,1,,,2,,,,,,12,,,0,
Wikipedia,107,475979,"Some links look notable, others do not, <url>. Thoughts?",,,3,,,,,,,,,9,,,7,-4,,,,,,,-1,3,,,,,,5,,,,,6,,,,2,,,0,,,,,,6,,,-1,
Wikipedia,108,532687,You might be just the person I need- <url> has just been repeatedly vandalised and with ? German - in there - wonder what you would do with the vandal?,,,4,,,,,,,,,6,,,7,-2,,,,,,,3,4,,,,,,2,,,,,-6,,,,2,,,-6,,,,,,3,,,-1,
Wikipedia,109,500692,"Hello, I know that the article <url> isn't exactly football related, but can you help out on <url>? and tell me if the article is ready for a GA nominee?",,,4,,,,,,,,,11,,,6,-1,,,,,,,5,2,,,,,,4,,,,,1,,,,2,,,6,,,,,,6,,,-1,
Wikipedia,110,303013,Based on what? Don't you think a little discussion is in order before doing this?,,,-3,,,,,,,,,-8,,,-4,-12,,,,,,,-12,-1,,,,,,-3,,,,,4,,,,-3,,,-3,,,,,,-12,,,-3,
