ID,Community,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,CH1,CH2,CH3,CH4/h,CH5/h,CH6/h,CH7/h,CH8/h,CH9/h,CH10/h,CH11/h,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8/h,KO9/h,KO10/h,Sue,Score1,Score2,Score3,Score4,Score5,NormalizedScore,politenessMEAN,politenessSD,MsgLength
30,Wikipedia,83428,"Sorry, but i do not find ""double torpedo tunnels"" to be very good. Can you come up with something better?",7,6,12,10,6,11,13,13,18,10,14,,14,9,,,11,,7,4,13,16,12,9,12,,19,,1,9,16,9,13,5,-0.532563118731907,10.40,4.22,105.00
31,Wikipedia,83786,"OK, I will do that. But probably we should first set the gallery up on commons - do you know anything about editing/creating there?",20,12,10,13,5,13,13,15,18,13,14,17,,20,,,,,6,13,17,19,13,11,10,,,,1,13,16,15,23,11,0.254076898623901,15.60,4.56,131.00
32,Wikipedia,83791,Why are you uploading/changing badge files here? Surely you should just upload them to Commons then list the wikipedia version for deletion?,4,4,12,10,6,10,6,11,12,10,13,18,,14,,,,,4,11,3,12,15,12,15,,,,1,9,13,9,11,20,-0.522925209691691,12.40,4.56,140.00
33,Wikipedia,85093,I have attempted to address your concern. Could you take another look at the article?,19,10,11,16,14,10,16,19,14,10,17,19,,18,,,,,21,16,15,22,14,7,13,,,,1,16,17,13,15,21,0.390169569112205,16.40,2.97,85.00
34,Wikipedia,85552,"I have no idea how to explain that succinctly, though I'll probably write a couple of articles on the whole mess soon. Any idea how to incorporate that into the article?",19,16,11,10,14,10,17,13,16,13,18,18,,15,,,,,24,14,16,18,15,,10,,,,1,17,13,17,13,13,0.286249297379008,14.60,2.19,169.00
35,Wikipedia,98588,The notion that a hunter would kill dozens of birds with a single shot seems outlandish to me.  Do you have a reference for this?,6,10,13,10,6,10,13,10,14,11,17,15,,19,,,,,4,12,16,17,16,11,11,,,,1,17,13,9,13,9,-0.636128978963384,12.20,3.35,129.00
36,Wikipedia,98833,"I'm disappointed that your first response here was to revert me without discussion, and to assert a consensus that was not apparent.  Before you choose to revert me again, can you ''please'' participate in the discussion at WT:RD?",2,2,8,4,5,15,5,1,3,11,22,11,,22,,,,,1,4,3,16,18,5,10,,,,1,5,9,8,7,15,-1.134255679451480,8.80,3.77,230.00
37,Wikipedia,99444,Hello. Can you please pass the pilot whale article?,22,12,13,10,15,12,16,16,16,13,20,21,,18,,,,,23,9,8,24,13,11,13,,,,1,17,25,21,19,17,1.273460990563800,19.80,3.35,51.00
38,Wikipedia,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",16,12,12,10,10,12,14,14,15,13,22,17,,23,,,,,14,13,15,10,13,15,9,,,,1,9,13,19,16,9,-0.114050602532920,13.20,4.38,92.00
39,Wikipedia,105723,I noticed your nice improvements to 'url'. Are you thinking of merging/redirecting 'url' to that article?,20,15,15,17,14,10,16,20,22,15,18,18,,14,,,,,15,13,19,19,15,,11,,,,1,17,13,19,21,21,0.776670540575906,18.20,3.35,105.00
40,Wikipedia,109287,"You are so right, 'url' looks to be blatant advertising.  Why don't you put it up for 'url'?",19,13,10,12,18,18,13,14,18,12,14,18,,17,,,,,19,13,18,18,15,14,8,,,,1,9,17,13,13,15,0.027899153238735,13.40,2.97,92.00
41,Wikipedia,109807,"Can you please explain what the two fields you added to the table at 'url' are supposed to mean?  What ""reaction""?",18,12,11,13,9,10,5,15,18,12,21,15,,16,,,,,4,11,7,21,13,13,12,,,,1,9,9,17,17,12,-0.205932955532188,12.80,4.02,114.00
42,Wikipedia,110401,Have you received the 1972 Encyclopedia of PNG you mentioned during the discussion about 'url'? Was there a detailed entry for Dagora?,20,15,11,11,15,9,,19,19,13,11,17,,15,,,,,21,12,10,22,14,11,11,,,,1,13,13,17,10,13,-0.177223776729413,13.20,2.49,134.00
43,Wikipedia,119849,"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's 'url' instead?",5,12,7,12,10,9,13,22,17,12,17,16,,15,,,,,7,8,9,13,14,12,11,,,,1,9,17,9,5,11,-0.927986959763787,10.20,4.38,214.00
44,Wikipedia,123039,"When creating 'url', I also had to create 'url', 'url' and 'url'. I was wondering if you could populate them?",18,11,11,12,14,18,15,16,17,16,17,15,,16,,,,,20,13,18,15,14,,11,,,,1,21,13,21,18,17,0.937898588338058,18.00,3.32,109.00
45,Wikipedia,123350,if i send email to permissions-en@wikimedia.org is the email made public? where is it made public?,21,13,12,11,13,9,10,13,17,13,15,13,,14,,,,,19,8,11,8,14,,12,,,,1,13,17,9,9,15,-0.307304823931176,12.60,3.58,98.00
46,Wikipedia,123760,A question has come up whether 'url' was Jewish (see 'url').  Do you have any references that might help?,20,18,13,13,14,16,13,19,18,12,22,,,,,,,,25,15,15,16,,11,14,,,13,1,17,13,17,13,13,0.075375738706660,14.60,2.19,105.00
47,Wikipedia,125991,I wish I could find a better one but I don't think I know where one is I think the composition needs more information. Can you do that?,22,12,13,13,13,12,12,12,20,10,17,,,,,,,,7,13,14,18,,15,9,,,11,1,17,17,17,17,18,0.605574324657609,17.20,0.45,135.00
48,Wikipedia,127846,"Listed by designation, new to me? have you a guideline or discussion reference for that?",16,,13,13,12,12,13,13,,9,17,,,,,,,,12,9,15,15,,11,9,,,10,1,9,17,13,17,15,-0.114706250654829,14.20,3.35,88.00
49,Wikipedia,134176,Take a look at the most recent post to 'url'. Can you make a stub out of it?,15,9,13,12,11,19,14,12,18,11,18,,,,,,,,13,16,10,20,14,11,12,,,9,1,13,13,16,13,13,-0.064895929932581,13.60,1.34,76.00
50,Wikipedia,136176,"Hi, I just couldn't understand 'url' ! Could you explain,please ?",21,6,14,13,20,20,13,14,15,19,21,,,,,,,,21,5,10,23,19,13,13,,,8,1,17,17,21,17,25,1.075604362840910,19.40,3.58,65.00
51,Wikipedia,139091,"Hello Roman! If you have time, could you add a 'url' infobox (with census data) for 'url'?",22,18,12,15,20,19,15,19,20,20,20,,,,,,,,25,18,19,23,17,15,13,,,12,1,25,17,21,17,21,1.406669498985080,20.20,3.35,90.00
52,Wikipedia,139788,"I pretty much agree with 'url', except I would like to know why you modified the see also section to be a hatnote. Doesn't 'url' have specific requirements for this?",12,7,13,13,11,8,10,14,11,10,14,,,,,,,,24,14,19,17,,12,11,,,10,1,12,13,8,16,9,-0.486546086170630,11.60,3.21,165.00
53,Wikipedia,141299,"I did notice that some articles linked to the ones I worked on are now missing, which leaves a link hanging.  If you're going to delete articles, shouldn't someone clean up these broken links?",7,5,13,12,8,12,9,13,8,8,21,,,,,,,,1,2,18,12,10,,11,,,4,1,9,13,12,7,9,-1.060808404896350,10.00,2.45,192.00
54,Wikipedia,143574,"Hi, just returned from a longer vacation where I was 100% offline and can look at it soon if it is not too late. What is the deadline?",25,11,13,13,8,17,13,19,19,13,19,,,,,,,,25,13,18,14,,9,8,,,12,1,13,21,13,15,9,-0.096686400583472,14.20,4.38,134.00
55,Wikipedia,144161,I though it's better like that. Can you revert it?,19,7,12,12,10,10,13,13,18,13,16,,,,,,,,21,14,13,17,23,11,11,,,11,1,17,13,13,21,13,0.061511946724410,15.40,3.58,50.00
56,Wikipedia,147665,"Due to your edits to this template, 'url' is now required on all transclusions.  Are you running a bot to clean this up?",8,5,11,13,10,15,13,11,14,11,16,,,,,,,,17,11,18,,7,9,10,,,6,1,9,13,13,5,13,-0.808596278859061,10.60,3.58,120.00
57,Wikipedia,153742,An article about a craver named 'url' needs some work. Can you clean the article up?,19,9,13,12,14,10,13,12,13,13,18,,,,,,,,21,11,19,14,12,13,10,,,4,1,17,17,13,12,13,0.101565933999458,14.40,2.41,84.00
58,Wikipedia,153809,That user 'url' moved 'url' page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,2,2,13,11,9,16,13,16,18,10,16,,,,,,,,14,13,7,10,,11,11,,,4,1,9,9,13,13,9,-0.811539897605240,10.60,2.19,229.00
59,Wikipedia,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the 'url' article.  Do you have any source that supports this?",11,9,13,13,14,11,13,13,18,13,14,,,,,,,,12,13,18,22,14,13,9,,,9,1,13,17,13,13,15,0.108064554767780,14.20,1.79,162.00
60,Wikipedia,155694,"I see you've added 'url' to the category ""Jewish-Canadians"".  What is your source for this?",12,7,11,12,9,12,13,13,15,7,19,,,,,,,,17,12,16,12,16,12,10,,,10,1,9,13,13,9,13,-0.573366100451424,11.40,2.19,91.00
61,Wikipedia,157019,You've contributed a lot to Puget Sound area articles.  Would you be willing to take a look at the debate I'm having at 'url' and do whatever you think is best?,22,12,12,19,15,10,13,22,23,16,,16,,,,18,23,17,12,8,18,21,14,12,15,12,,,1,21,25,24,21,17,1.495876317018620,21.60,3.13,160.00
62,Wikipedia,157481,"Do you have any thoughts on renaming the page to reflect that the notability (and most of the content) is about the labor dispute/takeover, etc. than the company itself?",17,18,12,16,15,12,13,15,16,13,,15,,,13,17,17,15,16,15,17,13,15,13,12,16,,,1,17,17,17,13,15,0.437138055719730,15.80,1.79,169.00
63,Wikipedia,159734,I'm currently considering nominating you for adminship at 'url'. Are you interested?,20,18,12,13,20,10,13,13,18,17,,16,,,13,17,25,11,16,16,16,15,16,13,10,14,,,1,17,17,18,21,12,0.583193238560782,17.00,3.24,84.00
64,Wikipedia,165714,"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",20,15,11,16,15,8,13,18,18,20,,18,,,13,18,25,15,16,18,14,21,14,15,11,18,,,1,21,17,17,21,20,1.407345179578940,19.20,2.05,82.00
65,Wikipedia,168298,The main article needs a facelift. Do you want to make suggestions?,10,18,11,9,12,10,13,13,17,8,,13,,,12,17,23,16,17,14,15,17,13,10,12,16,,,1,17,20,18,15,17,0.578577052088436,17.40,1.82,67.00
66,Wikipedia,169878,Because I haven't seen it; I'm not even sure from the discussion whether it's on or off Wikipedia. Can you supply a link or a reference?,9,10,14,11,13,9,13,13,16,6,,14,,,13,16,13,16,9,15,15,11,16,11,11,17,,,1,16,13,16,13,12,0.024747683839975,14.00,1.87,136.00
67,Wikipedia,174873,I think the 'url' would be more precise and accurate as 'url'. What sayest thou?,20,12,10,15,17,10,13,14,11,5,,,,,11,13,17,10,20,9,16,4,15,13,9,7,,,1,13,17,15,13,25,0.301970040702370,16.60,4.98,80.00
68,Wikipedia,177451,"Are you saying that Scotty was being ""hot-headed""?  If so, can you please tell us what Scotty did that was ""hot-headed""?",18,12,7,8,5,8,10,14,12,10,,12,,,14,17,7,16,9,16,12,21,15,11,11,13,,,1,12,7,15,5,13,-0.885761995378590,10.40,4.22,120.00
69,Wikipedia,193182,"Why the removal of the citation dealing with coriolis?  Was the proof not within the citation, or was the citation not considered primary?",17,12,11,12,5,8,12,13,12,13,,16,,,11,7,5,9,10,16,17,13,14,,11,16,,,1,13,9,17,13,17,-0.149291238117281,13.80,3.35,138.00
70,Wikipedia,194790,You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,19,21,13,16,15,14,12,15,14,15,,19,,,13,18,4,16,10,15,18,22,14,12,12,19,,,1,17,16,21,25,21,0.820301812689236,20.00,3.61,103.00
71,Wikipedia,196624,I would like to create a few plots. Where can I access the geologic temperature record raw data?,14,13,14,11,15,8,13,14,17,10,,14,,,16,15,25,6,16,15,13,13,14,12,13,16,,,1,17,13,13,13,13,-0.114124472569021,13.80,1.79,96.00
72,Wikipedia,196952,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",19,10,8,12,4,10,14,14,18,16,,16,,,12,8,17,8,7,12,13,16,14,7,4,18,,,1,21,21,14,17,19,1.102925698125550,18.40,2.97,134.00
73,Wikipedia,199732,"No more saga! Help me by keeping this page the way it is right now, alright?",4,5,7,5,5,13,10,7,11,6,,9,,,15,7,1,1,3,1,10,2,15,,7,7,,,1,9,5,1,18,13,-0.926028866923165,9.20,6.65,76.00
74,Wikipedia,199817,"Who is going to contact all of the users?  Is a bot being set to do that in the event it's necessary, or is it being done manually?",19,12,13,11,6,9,13,13,16,14,,12,,,15,13,15,9,12,13,15,,14,,11,16,,,1,13,17,13,9,15,-0.146844316718187,13.40,2.97,131.00
75,Wikipedia,201885,I thought we had all agreed that the lead is fine as it is.  What is the sentence supposed to mean?,7,11,14,5,6,9,11,13,13,6,,15,,,14,13,9,5,9,15,11,9,16,13,12,10,,,1,9,16,13,17,13,-0.016309103183985,13.60,3.13,99.00
76,Wikipedia,209080,"What exactly are the rules on this page? Can stuff be added without discussion and ""consensus""?",18,5,12,11,15,7,13,9,3,8,16,11,,,4,10,1,,13,2,14,13,16,3,13,15,,,1,9,13,13,17,21,0.069320431383746,14.60,4.56,95.00
77,Wikipedia,210924,"In the 'url' article, is polar mount correct?  It might be improved by a bit more detail about how it works, perhaps?",19,13,13,14,13,8,13,20,19,12,14,7,,,10,13,10,,18,13,19,14,15,,11,9,,,1,17,17,21,21,25,1.276047205307320,20.20,3.35,117.00
78,Wikipedia,213945,Thanks for the note about my work on the above line. Would you mind if I copied and pasted your version over to mine to work on?,25,14,13,19,18,20,13,20,19,12,15,22,,,21,20,25,,15,16,21,23,17,15,16,20,,,1,21,21,21,19,21,1.951290012069590,20.60,0.89,128.00
79,Wikipedia,215346,"I was reading the article reverse overshot wheel, but I can't find anything about the ""reverse"" part. Can you expand this?",17,13,12,12,16,13,12,12,15,12,21,13,,,13,16,15,,14,17,17,20,15,12,13,19,,,1,17,17,13,15,13,0.277824942928260,15.00,2.00,122.00
80,Wikipedia,216645,"No problem, It was open and shut 'url' issue. For your next project can you find something that doesnt make your fanclub at the Wikipedia Review angry?",3,2,12,13,20,16,14,12,5,9,17,17,,,10,14,1,,2,4,17,17,16,2,12,13,,,1,9,15,10,6,5,-1.145079892346500,9.00,3.94,151.00
81,Wikipedia,221905,I don't know why claim that you reverted vandalism (rv edit summary) when to me they appeared to be good faith edits. What exactly was the vandalism?,12,6,11,10,8,10,11,12,10,11,19,6,,,11,17,1,,10,14,12,14,16,,11,17,,,1,9,9,5,11,13,-0.864569868305349,9.40,2.97,149.00
82,Wikipedia,225961,"So, now that it's clear there's no moratorium, you now think it's controverial?  Can you explain why?",15,7,13,14,6,14,10,12,14,10,19,15,,,11,13,1,,1,8,15,13,20,10,12,17,,,1,7,17,4,18,9,-0.300217804694396,11.00,6.20,101.00
83,Wikipedia,231869,These two factors make me think that Indian ice-cream is a better name for the article than sxusem.  What are your thoughts on this?,21,14,14,14,15,10,14,13,18,13,20,13,,,15,16,13,,,16,15,12,16,12,11,18,,,1,17,17,21,13,17,0.846499405930310,17.00,2.83,132.00
84,Wikipedia,234095,"On 'url' about the Chinese sex imbalance, you accused either the OP or the first responder (me) of 'url'. Could you explain why you thought either of us was advocating, opining, or recruiting, in a way that diminished the quality of the reference desk?",10,8,12,12,14,9,10,14,12,11,19,,,,9,13,1,,8,14,22,24,18,11,13,13,,,1,9,17,14,9,1,-1.047586294237750,10.00,6.08,252.00
85,Wikipedia,234547,"Hey US, I added a rationale to why the project was looking to create its own criteria.  Could you take a look at it and see if it changes your mind?",23,14,13,15,19,12,14,21,20,12,21,15,,,8,20,21,,23,6,17,15,14,11,17,9,,,1,17,14,17,17,18,0.378799345388798,16.60,1.52,148.00
86,Wikipedia,237529,"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",5,7,14,19,14,9,12,19,13,10,23,14,,,3,17,1,,10,16,12,13,13,13,12,22,,,1,17,11,9,13,13,-0.616034628044452,12.60,2.97,199.00
87,Wikipedia,238442,"Yet you did violate 'url' and could be blocked right now. If that edit recurred, would you revert it again?",5,6,12,8,8,14,11,8,15,11,19,15,,,4,17,1,,2,3,14,13,16,,12,17,,,1,13,9,13,5,13,-0.823492271846080,10.60,3.58,107.00
88,Wikipedia,250689,"Third: it's August 31 2010. Please check my userpage for reasons why I really don't feel useful today. Ask another admin, okay?",,4,8,11,2,9,10,2,6,4,20,5,,,3,19,1,,1,2,9,9,14,7,12,6,,,1,9,9,13,1,11,-1.192100867371490,8.60,4.56,127.00
89,Wikipedia,252731,"Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",2,2,5,5,6,13,7,3,15,13,11,1,,,3,16,1,,5,1,6,13,16,8,13,10,,,1,5,5,2,9,9,-1.914914508343240,6.00,3.00,89.00
90,Wikipedia,253209,Thanks for that - very nicely commented code (rare to see)! It seems to need a table to be set up - do you have the schema or sql for that handy?,25,19,17,18,18,16,14,20,24,16,17,20,,,11,19,25,,25,17,16,20,15,14,19,19,,,1,17,17,25,25,17,1.146350933707240,20.20,4.38,145.00
91,Wikipedia,253511,Hi. What was wrong with the Autamata page?,10,9,13,12,8,11,13,7,9,11,,,20,,6,,,17,13,7,5,13,,8,13,8,14,10,1,11,16,15,13,15,-0.263379305037461,14.00,2.00,42.00
92,Wikipedia,260538,I have absolutely no idea what you are talking about.  Please be more precise?,4,7,10,11,8,4,10,4,11,12,,,21,,5,,,17,13,4,3,11,14,10,10,6,15,8,1,7,18,10,11,2,-0.916107464886099,9.60,5.86,78.00
93,Wikipedia,264041,I refer you to my last answer about independent sources. Do you have press coverage?,7,11,14,12,13,9,13,13,17,12,,,16,,13,,,14,14,13,15,19,,,11,18,13,14,1,7,10,17,13,13,-0.521232644939991,12.00,3.74,84.00
94,Wikipedia,264811,"I.m keen to see your recent abbey article on the main page, but there are no references. Can this be fixed?",6,10,12,13,18,14,13,12,20,13,,,20,,8,,,8,16,14,15,7,15,,11,17,9,16,1,13,9,17,21,13,0.111385022520304,14.60,4.56,107.00
95,Wikipedia,275128,"I dunno, but this one reeks of that banned user 'url' - same mark-as-minor edits, same targets. Care for a look at this?",12,4,8,11,13,15,11,15,13,11,,,17,,7,,,4,25,14,5,7,17,12,16,6,13,10,1,6,17,9,17,13,-0.248019195563977,12.40,4.88,120.00
96,Wikipedia,279097,Ok I've moved 'url' back to 'url'. Oleg you want to write something on the talk page about the move?,17,11,12,13,13,21,13,,18,9,,,16,,14,,,8,15,13,20,11,10,10,12,15,19,12,1,13,13,13,15,13,-0.174420945279420,13.40,0.89,100.00
97,Wikipedia,282732,Somebody keeps moving the Shannan Prefecture to Lhoka Prefecture. What is your view on this?,16,7,11,13,11,13,14,13,19,14,,,20,,19,,,18,18,16,17,15,11,11,12,13,12,15,1,15,13,13,21,13,0.168522096347364,15.00,3.46,92.00
98,Wikipedia,288161,I've now supplied a free image on 'url' (thanks for motivating me to do so!). Could you perhaps consider your reassessment of the article?,16,16,13,15,21,10,13,22,24,11,,,22,,22,,,17,16,23,19,22,13,12,14,14,24,22,1,13,17,17,12,17,0.496707087414624,15.20,2.49,138.00
99,Wikipedia,291911,I see you've given her a code name in 'url'. Where did you run across this tidbit?,15,7,13,13,13,16,14,,16,10,,,19,,,,,13,16,12,17,10,10,10,13,15,16,13,1,9,13,13,13,13,-0.398114456426587,12.20,1.79,82.00
100,Wikipedia,295219,"oh, my, how did I get this here twice; trying to do too much at once (what else is new).  Can you copy instead a different color?",17,,12,12,15,8,14,16,18,9,,,18,,6,,,14,21,13,8,19,16,11,13,6,18,,1,20,9,13,13,25,0.032142121053549,16.00,6.40,129.00
101,Wikipedia,298086,Latest version (now on  Commons); all placenames included but still needs some tidying up and  tweaking. Comments?,19,11,13,12,12,15,14,13,17,12,,,19,,2,,,15,18,12,13,7,14,,13,11,14,13,1,21,13,9,17,10,-0.007342001239262,14.00,5.00,114.00
