Community,Num,Index,Id,Request,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,EN25,EN26,EN27,EN28,EN29,EN30,EN31,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,EN1_zscore,EN2_zscore,EN3_zscore,EN4_zscore,EN5_zscore,EN6_zscore,EN7_zscore,EN8_zscore,EN9_zscore,EN10_zscore,EN11_zscore,EN12_zscore,EN13_zscore,EN14_zscore,EN15_zscore,EN16_zscore,EN17_zscore,EN18_zscore,EN19_zscore,EN20_zscore,EN21_zscore,EN22_zscore,EN23_zscore,EN24_zscore,EN25_zscore,EN26_zscore,EN27_zscore,EN28_zscore,EN29_zscore,EN30_zscore,EN31_zscore,CH1_zscore,CH2_zscore,CH3_zscore,CH4_zscore,CH5_zscore,CH6_zscore,CH7_zscore,CH8_zscore,CH9_zscore,CH10_zscore,CH11_zscore,CH12_zscore,CH13_zscore,CH14_zscore,CH15_zscore,CH16_zscore,CH17_zscore,CH18_zscore,CH19_zscore,CH20_zscore,CH21_zscore,label_t,label_t_z,label_d,label_d_z
Wikipedia,14,13,394910,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?",,-3,,,-6,,,-2,,,,-4,,,,,-2,,,-4,,,,,,2,-1,,,,,,,,,,,,,-3,0,,,,,,-1,,-8,,,,,-0.390366855,,,-1.381106036,,,-0.233821686,,,,-0.845853983,,,,,-0.698141224,,,-1.287416631,,,,,,-0.293565189,-0.510448553,,,,,,,,,,,,,-0.943997719,0.080671398,,,,,,-0.191249692,,-1.723024744,,,,0,0,0,0
Wikipedia,15,14,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",,-12,,,-11,,,-12,,,,-10,,,,,-11,,,-10,,,,,,-1,-7,,,,,,,,,,,,,-10,-5,,,,,,,,-11,,,,,-2.364066821,,,-2.485754576,,,-1.827119904,,,,-1.878958084,,,,,-2.539392802,,,-3.008753631,,,,,,-1.648481445,-1.773414043,,,,,,,,,,,,,-2.307645333,-0.685706887,,,,,,,,-2.346305398,,,,0,0,-1,-1
Wikipedia,16,15,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?,,5,,,6,,,2,,,,8,,,,,6,,,6,,,,,,3,6,,,,,,,,,,,,,-3,0,,,,,,0,,5,,,,,1.364033114,,,1.270050461,,,0.403497601,,,,1.22035422,,,,,0.938526846,,,1.581478369,,,,,,0.158073563,0.963011187,,,,,,,,,,,,,-0.943997719,0.080671398,,,,,,0.057374908,,0.977858094,,,,1,1,1,1
Wikipedia,17,16,488272,Nothing messed up from where I'm sitting. What kind of messed up?,,5,,,3,,,-5,,,,-3,,,,,-8,,,0,,,,,,3,-6,,,,,,,,,,,,,0,0,,,,,,-3,,-4,,,,,1.364033114,,,0.607261337,,,-0.711811152,,,,-0.673669966,,,,,-1.925642276,,,-0.139858631,,,,,,0.158073563,-1.562919795,,,,,,,,,,,,,-0.359577313,0.080671398,,,,,,-0.688498892,,-0.89198387,,,,0,0,0,0
Wikipedia,18,17,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?",,4,,,-3,,,0,,,,7,,,,,0,,,2,,,,,,2,3,,,,,,,,,,,,,0,-1,,,,,,-3,,-6,,,,,1.144733118,,,-0.718316912,,,0.084837957,,,,1.048170203,,,,,-0.288974206,,,0.433920369,,,,,,-0.293565189,0.331528441,,,,,,,,,,,,,-0.359577313,-0.072604259,,,,,,-0.688498892,,-1.307504307,,,,1,0,-1,-1
Wikipedia,19,18,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?",,5,,,-1,,,1,,,,0,,,,,3,,,-1,,,,,,2,1,,,,,,,,,,,,,6,2,,,,,,0,,2,,,,,1.364033114,,,-0.276457496,,,0.244167779,,,,-0.157117915,,,,,0.32477632,,,-0.426748131,,,,,,-0.293565189,-0.089460056,,,,,,,,,,,,,0.809263499,0.387222713,,,,,,0.057374908,,0.354577439,,,,0,0,-1,-1
Wikipedia,20,19,622922,That is weird. What happens if you create Usor:Rolandus?,,7,,,0,,,0,,,,4,,,,,2,,,-1,,,,,,1,-2,,,,,,,,,,,,,3,0,,,,,,0,,,,,,,1.802633106,,,-0.055527788,,,0.084837957,,,,0.531618152,,,,,0.120192811,,,-0.426748131,,,,,,-0.745203941,-0.720942801,,,,,,,,,,,,,0.224843093,0.080671398,,,,,,0.057374908,,,,,,0,0,0,0
Wikipedia,21,20,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?,,,,,,7,,,4,,,,4,,,,,-1,,,,-6,,,,3,,3,1,,,-9,,,,,,,,-6,,-8,,,,2,,,,,-5,,,,,,,1.763512732,,,0.61176826,,,,0.922518666,,,,,-0.475537652,,,,-1.142128976,,,,0.158073563,,0.424169819,-0.429707952,,,-2.306614698,,,,,,,,-1.528418125,,-1.531258418,,,,-0.148491496,,,,,-1.164625618,,1,1,1,1
Wikipedia,22,21,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?",,,,,,8,,,9,,,,6,,,,,5,,,,4,,,,3,,6,6,,,12,,,,,,,,6,,12,,,,6,,,,,7,,,,,,,2.002815033,,,1.755260333,,,,1.540104384,,,,,1.492204355,,,,0.999362854,,,,0.158073563,,0.989729578,0.853002353,,,2.372684537,,,,,,,,0.809263499,,1.914822171,,,,1.527341102,,,,,2.306997244,,0,0,-1,-1
Wikipedia,23,22,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,,,,,,1,,,0,,,,0,,,,,0,,,,0,,,,4,,6,3,,,0,,,,,,,,0,,0,,,,2,,,,,0,,,,,,,0.327698929,,,-0.3030254,,,,-0.31265277,,,,,-0.14758065,,,,0.142766122,,,,0.609712315,,0.989729578,0.08337617,,,-0.30120074,,,,,,,,-0.359577313,,-0.152826183,,,,-0.148491496,,,,,0.281883908,,0,0,-1,-1
Wikipedia,24,23,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,,,,,,6,,,1,,,,-3,,,,,0,,,,,,,,2,,5,4,,,10,,,,,,,,6,,6,,,,4,,,,,-1,,,,,,,1.524210431,,,-0.074326985,,,,-1.239031346,,,,,-0.14758065,,,,,,,,-0.293565189,,0.801209659,0.339918231,,,1.927036991,,,,,,,,0.809263499,,0.880997994,,,,0.689424803,,,,,-0.007417998,,0,0,-1,-1
Wikipedia,25,24,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?",,,,,,4,,,-1,,,,0,,,,,0,,,,0,,,,1,,3,5,,,9,,,,,,,,7,,-6,,,,3,,,,,,,,,,,,1.04560583,,,-0.531723814,,,,-0.31265277,,,,,-0.14758065,,,,0.142766122,,,,-0.745203941,,0.424169819,0.596460292,,,1.704213218,,,,,,,,1.004070301,,-1.186650359,,,,0.270466653,,,,,,,0,0,-1,-1
Wikipedia,26,25,623298,"As another aside, they are mostly Germans. What's up with that?",,,,,,-7,,,-5,,,,1,,,,,-3,,,,0,,,,8,,-4,-3,,,-6,,,,,,,,0,,-3,,,,0,,,,,-2,,,,,,,-1.586719476,,,-1.446517474,,,,-0.003859911,,,,,-1.131451654,,,,0.142766122,,,,2.416267324,,-0.895469618,-1.455876197,,,-1.638143378,,,,,,,,-0.359577313,,-0.669738271,,,,-0.986407795,,,,,-0.296719903,,0,0,-1,-1
Wikipedia,27,26,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,,,,,,5,,,4,,,,3,,,,,0,,,,0,,,,0,,3,2,,,0,,,,,,,,3,,3,,,,2,,,,,3,,,,,,,1.284908131,,,0.61176826,,,,0.613725807,,,,,-0.14758065,,,,0.142766122,,,,-1.196842693,,0.424169819,-0.173165891,,,-0.30120074,,,,,,,,0.224843093,,0.364085906,,,,-0.148491496,,,,,1.149789623,,0,0,0,0
Wikipedia,28,27,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?,,,,,,1,,,0,,,,0,,,,,-3,,,,,,,,4,,-1,0,,,-3,,,,,,,,-3,,-9,,,,0,,,,,-10,,,,,,,0.327698929,,,-0.3030254,,,,-0.31265277,,,,,-1.131451654,,,,,,,,0.609712315,,-0.329909859,-0.686250014,,,-0.969672059,,,,,,,,-0.943997719,,-1.703562448,,,,-0.986407795,,,,,-2.611135145,,1,1,1,1
Wikipedia,29,28,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?",,,,,,2,,,2,,,,1,,,,,-2,,,,0,,,,-5,,-1,3,,,-3,,,,,,,,-5,,-8,,,,2,,,,,-10,,,,,,,0.567001229,,,0.15437143,,,,-0.003859911,,,,,-0.803494653,,,,0.142766122,,,,-3.455036454,,-0.329909859,0.08337617,,,-0.969672059,,,,,,,,-1.333611323,,-1.531258418,,,,-0.148491496,,,,,-2.611135145,,1,0,1,1
Wikipedia,30,29,629684,Out of curiosity what are you testing? How are things going?,,,,,,9,,,2,,,,1,,,,,6,,,,8,,,,7,,3,8,,,9,,,,,,,,0,,-3,,,,3,,,,,-10,,,,,,,2.242117333,,,0.15437143,,,,-0.003859911,,,,,1.820161356,,,,1.855959587,,,,1.964628572,,0.424169819,1.366086476,,,1.704213218,,,,,,,,-0.359577313,,-0.669738271,,,,0.270466653,,,,,-2.611135145,,0,1,1,1
Wikipedia,31,30,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?",,,,6,,,,,3,,6,,1,,,,,2,,0,,,,,3,,,,2,,,,,0,,,,1,,,,,,8,,3,,,9,,,,,,,1.367423039,,,,,0.383069845,,-0.502716488,,-0.003859911,,,,,0.508333352,,-0.139858631,,,,,0.069448151,,,,-0.173165891,,,,,-0.139064134,,,,-0.450203536,,,,,,0.936069999,,0.270466653,,,1.808898967,,,,0,0,-1,-1
Wikipedia,32,31,210822,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?",,,,12,,,,,9,,12,,8,,,,,3,,0,,,,,9,,,,11,,,,,9,,,,6,,,,,,7,,4,,,0,,,,,,,2.948113891,,,,,1.755260333,,1.055371699,,2.157690101,,,,,0.836290353,,-0.139858631,,,,,1.636992122,,,,2.135712659,,,,,2.184342489,,,,0.614844085,,,,,,0.68728063,,0.689424803,,,-0.060942997,,,,0,0,-1,-1
Wikipedia,33,32,264394,Would you like to elaborate? How are you empowering me exactly?,,,,-12,,,,,-5,,3,,-4,,,,,-5,,0,,,,,4,,,,-1,,,,,6,,,,3,,,,,,8,,2,,,-11,,,,,,,-3.374649517,,,,,-1.446517474,,-1.281760581,,-1.547824205,,,,,-1.787365656,,-0.139858631,,,,,0.330705479,,,,-0.942792075,,,,,1.409873615,,,,-0.024184487,,,,,,0.936069999,,-0.148491496,,,-2.346305398,,,,0,0,1,1
Wikipedia,34,33,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?",,,,11,,,,,2,,10,,1,,,,,3,,0,,,,,4,,,,1,,,,,3,,,,6,,,,,,8,,3,,,3,,,,,,,2.684665415,,,,,0.15437143,,0.53600897,,-0.003859911,,,,,0.836290353,,-0.139858631,,,,,0.330705479,,,,-0.429707952,,,,,0.63540474,,,,0.614844085,,,,,,0.936069999,,0.270466653,,,0.562337657,,,,0,0,0,0
Wikipedia,35,34,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?",,,,-2,,,,,-2,,7,,-2,,,,,4,,1,,,,,3,,,,-1,,,,,9,,,,8,,,,,,8,,6,,,-6,,,,,,,-0.740164764,,,,,-0.760422229,,-0.243035123,,-0.930238487,,,,,1.164247354,,0.147030869,,,,,0.069448151,,,,-0.942792075,,,,,2.184342489,,,,1.040863133,,,,,,0.936069999,,1.527341102,,,-1.307504307,,,,0,0,1,1
Wikipedia,36,35,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?",,,,0,,,,,0,,12,,-2,,,,,4,,0,,,,,0,,,,1,,,,,0,,,,-3,,,,,,9,,0,,,0,,,,,,,-0.213267813,,,,,-0.3030254,,1.055371699,,-0.930238487,,,,,1.164247354,,-0.139858631,,,,,-0.714323835,,,,-0.429707952,,,,,-0.139064134,,,,-1.302241632,,,,,,1.184859367,,-0.986407795,,,-0.060942997,,,,0,0,-1,-1
Wikipedia,37,36,596018,"Thanks for the help! That info should be on <url> in easy to read form, no?",,,,12,,,,,8,,12,,0,,,,,5,,1,,,,,4,,,,2,,,,,12,,,,1,,,,,,7,,3,,,3,,,,,,,2.948113891,,,,,1.526561919,,1.055371699,,-0.31265277,,,,,1.492204355,,0.147030869,,,,,0.330705479,,,,-0.173165891,,,,,2.958811363,,,,-0.450203536,,,,,,0.68728063,,0.270466653,,,0.562337657,,,,0,0,0,0
Wikipedia,38,37,421199,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?",,,,4,,,,,2,,10,,0,,,,,2,,0,,,,,1,,,,3,,,,,0,,,,2,,,,,,8,,4,,,5,,,,,,,0.840526088,,,,,0.15437143,,0.53600897,,-0.31265277,,,,,0.508333352,,-0.139858631,,,,,-0.453066507,,,,0.08337617,,,,,-0.139064134,,,,-0.237194012,,,,,,0.936069999,,0.689424803,,,0.977858094,,,,0,0,-1,-1
Wikipedia,39,38,621917,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",,,,12,,,,,11,,11,,2,,,,,4,,3,,,,,4,,,,-1,,,,,3,,,,3,,,,,,5,,8,,,12,,,,,,,2.948113891,,,,,2.212657163,,0.795690335,,0.304932948,,,,,1.164247354,,0.720809869,,,,,0.330705479,,,,-0.942792075,,,,,0.63540474,,,,-0.024184487,,,,,,0.189701893,,2.3652574,,,2.432179622,,,,0,0,-1,-1
Wikipedia,40,39,62073,Fatwa? What is that?,,,,0,,,,,0,,12,,-1,,,,,-3,,-1,,,,,-1,,,,0,,,,,-9,,,,-9,,,,,,8,,0,,,0,,,,,,,-0.213267813,,,,,-0.3030254,,1.055371699,,-0.621445628,,,,,-1.131451654,,-0.426748131,,,,,-0.975581164,,,,-0.686250014,,,,,-2.462470757,,,,-2.580298777,,,,,,0.936069999,,-0.986407795,,,-0.060942997,,,,0,0,-1,-1
Wikipedia,41,40,535410,"I see. What about ""Main Church""?",,,,,,0,,-1,,,8,,,2,,,2,,,,,2,,,1,,,,,,,,,,,,-1,,,,,,,1,,,0,,,0,,,,,,,,0.088396628,,-0.074491865,,,0.016646241,,,0.542273909,,,0.120192811,,,,,0.571064488,,,-0.453066507,,,,,,,,,,,,-1.625111075,,,,,,,-0.80545558,,,0.057374908,,,-0.249489407,,,0,1,-1,-1
Wikipedia,42,41,580856,"Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?",,,,,,-4,,12,,,6,,,-1,,,6,,,,,-4,,,9,,,,,,,,,,,,6,,,,,,,0,,,6,,,1,,,,,,,,-0.868812574,,1.996795818,,,-0.502716488,,,-0.132056341,,,0.938526846,,,,,-0.71383061,,,1.636992122,,,,,,,,,,,,0.144061168,,,,,,,-1.054244949,,,1.549122507,,,0.394354223,,,0,0,0,0
Wikipedia,43,42,607777,to the Citations missing template. What's the deal?,,,,,,-6,,-9,,,6,,,-3,,,-5,,,,,,,,-2,,,,,,,,,,,,0,,,,,,,4,,,0,,,0,,,,,,,,-1.347417175,,-1.349130439,,,-0.502716488,,,-0.58160984,,,-1.31189175,,,,,,,,-1.236838492,,,,,,,,,,,,-1.372372183,,,,,,,-0.059087475,,,0.057374908,,,-0.249489407,,,0,0,-1,-1
Wikipedia,44,43,277176,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?",,,,,,2,,12,,,3,,,1,,,3,,,,,-1,,,2,,,,,,,,,,,,3,,,,,,,0,,,10,,,0,,,,,,,,0.567001229,,1.996795818,,,-1.281760581,,,0.317497159,,,0.32477632,,,,,-0.071383061,,,-0.191809178,,,,,,,,,,,,-0.614155507,,,,,,,-1.054244949,,,2.543620906,,,-0.249489407,,,0,0,0,0
Wikipedia,45,44,134361,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?,,,,,,6,,6,,,12,,,0,,,4,,,,,6,,,9,,,,,,,,,,,,2,,,,,,,7,,,12,,,2,,,,,,,,1.524210431,,1.040816888,,,1.055371699,,,0.092720409,,,0.529359829,,,,,1.42766122,,,1.636992122,,,,,,,,,,,,-0.866894399,,,,,,,0.68728063,,,3.040870106,,,1.038197854,,,0,0,0,0
Wikipedia,46,45,444059,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?,,,,,,7,,10,,,5,,,0,,,5,,,,,5,,,2,,,,,,,,,,,,1,,,,,,,0,,,6,,,-1,,,,,,,,1.763512732,,1.678136175,,,-0.762397852,,,0.092720409,,,0.733943338,,,,,1.213512037,,,-0.191809178,,,,,,,,,,,,-1.119633291,,,,,,,-1.054244949,,,1.549122507,,,-0.893333037,,,0,0,1,1
Wikipedia,47,46,38632,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?",,,,,,7,,-3,,,8,,,-2,,,7,,,,,1,,,2,,,,,,,,,,,,2,,,,,,,0,,,,,,0,,,,,,,,1.763512732,,-0.393151508,,,0.016646241,,,-0.356833091,,,1.143110355,,,,,0.356915305,,,-0.191809178,,,,,,,,,,,,-0.866894399,,,,,,,-1.054244949,,,,,,-0.249489407,,,0,0,1,1
Wikipedia,48,47,133723,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?",,,,,,-3,,9,,,5,,,-5,,,3,,,,,-3,,,0,,,,,,,,,,,,-1,,,,,,,2,,,-3,,,0,,,,,,,,-0.629510273,,1.518806353,,,-0.762397852,,,-1.03116334,,,0.32477632,,,,,-0.499681427,,,-0.714323835,,,,,,,,,,,,-1.625111075,,,,,,,-0.556666212,,,-0.688498892,,,-0.249489407,,,0,0,-1,-1
Wikipedia,49,48,209322,What do you think? And how does one go about establishing this project group?,,,,,,0,,11,,,12,,,0,,,4,,,,,-2,,,2,,,,,,,,,,,,0,,,,,,,0,,,0,,,0,,,,,,,,0.088396628,,1.837465996,,,1.055371699,,,0.092720409,,,0.529359829,,,,,-0.285532244,,,-0.191809178,,,,,,,,,,,,-1.372372183,,,,,,,-1.054244949,,,0.057374908,,,-0.249489407,,,0,1,1,1
Wikipedia,50,49,369741,"I will understand if you decline, but would very much like you to accept. May I nominate you?",,,,,,12,,12,,,12,,,7,,,8,,,,,12,,,9,,,,,,,,,,,,8,,,,,,,-2,,,0,,,6,,,,,,,,2.960024235,,1.996795818,,,1.055371699,,,1.666157659,,,1.347693864,,,,,2.712556319,,,1.636992122,,,,,,,,,,,,0.649538952,,,,,,,-1.551823686,,,0.057374908,,,3.613572374,,,1,0,1,1
