Num,Id,Request#,Label1,Label2,Label3
15,620687,"That's "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?#""hat's "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalis""at's "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent cap""t's "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsisten""'s "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsi""s "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inco"" "fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) in"""fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) i""fucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) i""ucking consistent naming-schemers", please. Unless there's some actual reason for a) restriction to highways, b) infeasib""cking consistent naming-schemers", please. Unless there's some actual reason for a) res""king consistent naming-schemers", please. Unless there""ing consistent naming-",0,0,0
16,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?#,0,1,0
17,488272,Nothing messed up from where I'm sitting. What kind of messed up?#,0,1,0
18,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?#",1,1,1
19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?#",1,0,0
20,622922,That is weird. What happens if you create Usor:Rolandus?#,1,0,0
21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?#,1,1,1
22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?#",0,0,0
23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?#,0,0,0
24,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?#,0,1,0
25,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?#",0,1,0
26,623298,"As another aside, they are mostly Germans. What's up with that?#",0,0,0
27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?#,0,1,0
28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?#,0,1,1
29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?#",0,1,1
30,629684,Out of curiosity what are you testing? How are things going?#,0,1,0
31,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?#",0,1,0
32,210822,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?#",0,0,0
33,264394,Would you like to elaborate? How are you empowering me exactly?#,1,1,1
34,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?#",0,0,0
35,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?#",0,1,0
36,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?#",0,0,0
37,596018,"Thanks for the help! That info should be on <url> in easy to read form, no?#",0,0,0
38,421199,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?#",0,1,0
39,621917,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?#",0,0,0
40,62073,Fatwa? What is that?#,0,1,0
41,535410,"I see. What about "Main Church"?#"" see. What abo",1,0,0
42,580856,"Could you please explain to me what the buttons do? How do you "Not accept" a change, that's what...you revert it, don't you...?#""ould you please explain to me what the buttons do? How do you "No""ul",0,0,0
43,607777,to the Citations missing template. What's the deal?#,0,1,0
44,277176,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?#",0,0,0
45,134361,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?#,0,0,0
46,444059,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?#,1,1,1
47,38632,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?#",1,0,1
48,133723,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?#",0,1,0
49,209322,What do you think? And how does one go about establishing this project group?#,1,0,1
50,369741,"I will understand if you decline, but would very much like you to accept. May I nominate you?#",0,0,0
51,257936,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?#,1,0,1
52,241828,"Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?#",0,0,0
53,84622,<url> shows that Geo Swan has become active and <url> indicates that the problems mentioned at the RfC may be continuing. Would you close the RfC with the drafted summary?#,0,1,0
54,137339,"I have looked back in my archives a year, and cannot find the issue concerned - although I certainly remember the name, your account, and the style. Can you give me the relevant link/diff, so I can refresh my memory and be best informed what action might be appropriate?#",0,1,0
55,106275,I just sent you an email. Did it work?#,1,0,0
56,13662,"Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?#",0,0,0
57,89515,"Hi there. Regarding the comment you added <url>, how can this be verified?#",1,1,0
58,573934,"Not a whole lot of contrast with the letters now, if you've traversed the link. Maybe a green pattern is just not the right base color, if we are trying to avoid confusing with WP officialstuff?#",0,0,0
59,297046,I hope this makes my concerns clearer. Perhaps we can work together to resolve them?#,0,0,0
60,148704,"I'm curious: how do you make those beautiful coats of arms? Do you have a script that generates them from the heraldic descriptions, or do you make them by hand?#",1,1,0
61,622223,"Unfortunately, I have no clue what you mean. Can you point me to a page that has such a feature?#",0,1,1
62,888,Thanks for the heads up. He doesn't know any english?#,1,1,0
63,531742,"I took a quick look and I'm not up to reading through it properly at the moment. :) I'll be back on here tomorrow morning and I'll have a look then, if that's OK?#",0,1,0
64,273774,Hi <name> it is taking a while for Longhair to get back to me on a couple of things. Is he on wikibreak or something?#,1,0,0
65,507189,"Deleting Val Klassen's page. I redirected it to the creator's talkpage, wasn't that enough?#",0,0,0
66,509055,I'm afraid I don't entirely understand what you mean. Is there some conflict with using user authorization and the GPL license?#,0,0,0
67,445252,"The policy is tricky - I guess it comes down to whether or not you think the account is going to be disruptive, and whether it is appropriate to guess that ahead of time. On the other hand, looks like another overreaction to <name> in my opinion - what do you think?#",0,0,0
68,204594,Who???#,0,0,0
69,457189,Can you help with this user:<url> I suspect that it is sockpuppet of banned user Bonaparte and he vandalizing various articles related to Romanians and Vlachs. Can we do something about it?#,1,0,0
70,469273,"Is there any reason you keep moving boldface marks? ITN is on my watchlist and you seem to do this quite frequently, yet, as far as I can see, it makes no difference, so I feel compelled to ask if there's any particular reason?#",0,0,0
71,192707,"I always thought that even if you need an account to view the info, it was allowed to be used on Wikipedia. Like the Magazine references?#",0,0,0
72,354587,"Sorry, what? Could you be more specific please?#",1,1,1
73,134181,"I don't have the full list online, but I do have the 07-08 AJHL record book. Are there any specific seasons or teams you are looking for?#",0,1,0
74,627256,How does it feel being wikifamous??#,1,1,0
75,292274,You're welcome. What else is peer review for?#,0,0,0
76,219928,Why did you remove those German emigrant cases. Shouldn't we include those cases of people who was born in what was then Germany at the time?#,0,0,0
77,394222,just wondering how the chapters were going. you think they are notable enough to have their own article?#,1,1,1
78,164799,"What would the recommended sequencing be, then?... Good Article then Feautred Article recommendation?#",0,0,0
79,576947,"I noticed you added the Jean Chretien link to the homepage, which is nice, but you didn't put any comment for the changelog and you also didn't bump of the last article, you bumped off the 2nd last article. Why?#",0,1,0
80,207737,"In <url>, you removed a cartoon image of Wendy Thomas that had been used in the infobox on her article. I'm not very familiar with the NFCC policy you cite, so I was wondering if you thought that giving a rationale on the image for use in that particular article would bring it up to specs?#",0,1,0
81,628231,"Also, 'topological proof'? Isn't 'proof' a bit strong?#",0,1,0
82,625715,"When you say you emailed Crystal, do you mean ''Crystal Evans, AKA Country Girl in Girl Authority?'' She was the one who wanted me to recieve the Barnstar?#",0,1,1
83,153143,I seem to have stuffed up creating 4 April 2009 very badly. Can you help?#,1,0,1
84,414976,"Hello. Regarding <url>, could you tell me what supports this being a free image?#",1,1,0
85,234380,"Yes, I do have the Family Guy DVD collection, Volume 1, Seasons 1&2. What's up?#",1,1,1
86,137251,"An editor you recently blocked for a week, <url>, is now editing the same articles and topics under an IP account <url>. Is this allowed or should it just be ignored?#",0,0,0
87,627674,"I agree, and that is something that I have believed to be the case for a few weeks now, but <name> won't let me make any significant changes that would result as such. So has it been propsed that the material be merged?#",0,1,0
88,476597,I'm confused: what did you do? And how did you delete it twice without restoring it in between?#,0,1,1
89,516456,<url>. What do you think should be done?#,1,0,1
90,544688,"This would make a great addition to DYK, you know. (<url> :) It's just under a thousand wordsu2014maybe more of your thesis would like to make it onto WP?#",0,1,0
91,172545,Iulius! Could you provide exact reference of article u017dirmu016bnai part ''Demographics'' ethnicity composition?#,1,0,0
92,71974,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?#,0,0,0
93,447985,"As a timid Wikipedia end-user who never makes more than a rare grammatical or spelling edit, learning the history to be found on this talk page and Kate's userpage history makes me sad. Why is it that so many communities change the way they do as the size of the project they revolve around increases..?#",0,0,0
94,537248,Title says it all.<url> I dont have time to put up a page... but might I suggest <url>?#,1,1,1
95,6478,Thanks. Do you happen to know if the postcard was origianlly published in Japan?#,0,0,0
96,13280,"Sorry, but which talk page? I came across the graphic at <url> - is there another?#",0,0,0
97,599609,So....what's up with this article? Is it a joke?#,0,0,0
98,532224,The content has recently been added to <url>. Would you consider changing your vote to delete?#,0,0,0
99,629673,No problem. Have you heard anything new about HRE?#,0,0,0
100,334732,"Again samething with the second site, again outside of taking they're word for it how do we know they are are right. What is your opinion on the 2 logos in the forum discussion think they were made up?#",0,0,0
101,626770,"Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?#",0,0,0
102,459747,Howdy Resolute. Is <url> for real?#,1,1,0
103,102225,"I just reverted your addition of a fossil range template to <url>, because with only an arrow at the very right it didn't seem to add much useful information. Perhaps we could make a separate template to show only the Cenozoic or so, which would allow us to show more detail in these fossil ranges?#",0,0,0
104,399040,That's making the fundamental assertion that the second source is reliable. Can you prove that it is?#,1,1,1
105,620486,? What?#,0,0,0
106,71828,"There seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the "align" tags in the beginning infobox made the text grotesquely overflow the margins. I've trimmed these down; mind checking my work?#""here seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the "align" ta""ere seems",0,1,0
107,475979,"Some links look notable, others do not, <url>. Thoughts?#",0,1,0
108,532687,You might be just the person I need- <url> has just been repeatedly vandalised and with ? German - in there - wonder what you would do with the vandal?#,1,1,0
109,500692,"Hello, I know that the article <url> isn't exactly football related, but can you help out on <url>? and tell me if the article is ready for a GA nominee?#",0,1,0
110,303013,Based on what? Don't you think a little discussion is in order before doing this?#,0,0,0
111,300945,I tried to fix your problem with <url>. Is that what you were looking for?#,0,0,0
112,475912,I was really unsure on what to do with <url> so I made it into a dab. That ok?#,1,0,1
113,520796,What do you think? Perhaps the coat of arms field can contain the picture that the article's family name infobox already has?#,0,0,0
114,343273,"I consider <url> to be the single most important edit I have ever made. God, what is happening with The Beatles coverage on Wikipedia?#",0,1,0
115,397759,I find it hard to believe one editor (even one so prolific as RickK) can have much of an effect overall. Do contributors on either side have any (non-anecdotal) evidence that suggests otherwise?#,1,0,0
116,235522,Which discussion are you referring to? On which article's talk page?#,1,0,0
117,464868,"Hi, I recently got approval for your requested link replacement (sorry for the delay), but, after doing a <url> there seems to be very few links left to replace. Could you confirm the problem is solved?#",0,0,0
118,337509,The Olbermann thing is being discussed on the <url> talk page. Do you have anything to add?#,0,1,0
119,626197,REVERT???#,0,0,0
120,72763,"I started, but gave up. And why link the word 'mother'?#",0,0,0
121,283735,"So how are u gonna concider weither the licences used by Fluckr are accurate...? ,and if this image has to bee conciderd than Image:Petercrouch_liverpool.JPG should be to..?#",0,1,0
122,524373,"AnonEMouse, I have noticed today that there are many recent comments on the <url> talk page that do not show in "history". How can that happen?#""nonEMouse, I have noticed today",0,0,1
123,25727,"It turns out that the Zelda Collection you referred to in <url> didn't include aLttP, reportedly because the GBA remake was still being sold at that time, so that disc included NES and N64 emulation but left out SNES. Do you have another example?#",1,1,0
124,629591,I just did some edits on it. Feedback?#,1,1,1
125,184558,"That looks better. I think I'm about done now, but old Theobald's still at Featured Article candidates isn't he?#",1,0,0
126,626716,"Even worse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar contributions you've made?#""ven worse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar contributions y""en worse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar cont""n worse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any si"" worse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know ""worse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do y""orse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the articl""rse: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the ""se: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete""e: "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to de"": "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to"" "The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have """The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have""The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes." This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have""he authorized use of this data is limited to informational and educational purpos",0,1,0
127,30722,You added to the Order of Victoria and Albert page that no awards were given out after the death of Queen Victoria. According to the <url> she became the tSovereign of the Order in 1952. Is this just because the order was never officially scrapped ?#,0,0,1
128,392689,As you can tell from my user page I do like art. I noticed you talking about a film ambassador on WikiProject Film (An project that I am active on) and I was wondering what is the main goals of film ambassador?#,0,1,0
129,404995,I noticed that you are the major contributor to the articles. Mind if I nominate <url> at <url>?#,0,0,0
130,297846,Would my doing a read-through looking out for that kind of thing be useful? Or would it be merely annoying?#,0,1,0
131,292769,What would that do? Is that good?#,0,0,0
132,621555,"Creating and improving images, or just placing them in articles/making sure they have the right copyrights/etc.?#",0,0,1
133,378972,"Your DYK hook for <url> is missing something. It says "''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''" - maybe "'''his''' now-defunct Major League Baseball '''team, the''' Providence Grays,..."?#""our DYK hook for <url> is missing something. It says "''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''" - maybe "'''his''' now-defunct Major L""ur DYK hook for <url> is missing something. It says "''Frank Bancroft managed the now-defunct Major League Baseball Providen""r DYK hook for <url> is missing something. It says "''Frank Bancroft ma"" DYK hook for <url>",0,1,1
134,625006,"Yes, ''kaen chokugeki hou'' is exactly right. Do you have that same NTSC Hong Kong DVD that I do?#",1,0,0
135,490623,I'll also add some categories to cover the collaboration nomination procedure and we should think about setting up a project <url>. Can you think of anything else that we need to tag that could be better handled through the comicsproj template than a banner on the front page?#,0,0,0
136,557002,One oddity is that the Library of Congress isn't officially the U.S. national library; there are only national libraries in Medicine and Agriculture. Do you compare specialized libraries?#,0,0,0
137,621427,"I don't think so, <name>. Can we just once attempt to let this pass by without calling for the heads of people?#",0,1,0
138,198022,"Senta.jpg was garbled or empty or some such, so I deleted it. You might want to try re-uploading?#",0,0,0
139,607112,"It's probably a bit late to be asking this, but why did you dispute the factual accuracy of the page <url>? Also, why was no mention of the nature of the dispute made anywhere?#",0,1,0
140,619630,"Do you know how to make the 'All Star Template' appear only at the bottom, as well as the 'Confirmed future sites', so the actual table appears at the top of the page??#",0,0,0
141,522923,"Just letting you know (since you have mentioned AFDing <url>) that weu2019ve gone to some effort to establish notability with <url>, and have added three reliable, notable, third-party sources to the article. Do you feel these sources establish <url> as being notable (<url> and all that)?#",0,0,0
142,164112,"Hi, you've done a lot of work on comparing Featured Article country articles. Are you aware of any country that got special praise for the selection of images in the article?#",0,1,0
143,627346,"One wonders, of course, who "Elliott of Macedon" would have been. Probably something analogous to Brian of Nazareth but in a Macedonian phalanx?#""ne wonders, of course, who "Elliott of Macedon" would have been. Probably something analogous to Brian of Nazareth b""e wonders, of course, who "Elliott of Macedon" would have been. Probably something analo"" wonders, of course, who "Elliott of Macedon" would have been""wonders, of course, who "Elliott of""onders, of",1,0,0
144,630160,"SO!?!?'', what has it got to do with you?#",0,0,0
145,559372,how do i propose to change the name of <url> to <url> ??#,1,0,1
146,623158,"Deletion requires some care: an administrator has to check that the prod tag has been on the article for 5 day continously, that the prod'ed version was not the result of vandalism, that the prod reason is acceptable (possibly checking the talk page), then has to delete the article reporting this reason, possibly deleting the talk page, and finally checking the incoming links. Before starting doing this on every article in the category this adimin relies on the number of categories instead of calculating five days to today?#",0,0,0
147,502036,"Is 10 months sufficient time to relist a Article for deletion Not too soon, correct?#",0,0,0
148,41079,Is Castle Donington an incorporate municipality? Or is it just a place name?#,1,0,0
149,415277,Sorry for not replying sooner. What would you like done with your page?#,0,0,0
150,125539,"I am in the process of responding to your message on my talk page. In the mean time, did Lochdale ever inadvertently expose his IP, such as editing while logged out and then logging in and signing?#",1,0,0
151,432640,"Hi, I tweaked it again. Could you check please?#",0,1,0
152,255097,"To be quite frank it doesn't matter that the quotes don't appear any other place on the internet, the point is that they violate policy by being here and you could always set up a personal website to host them where all you'd have to worry about is fair use and not Wikipedia's stricter requirements. Are there more of these quote/source pages than <url>, <url> and <url>?#",1,1,0
153,565696,Oh dear. Does that mean it's too difficult a read for Wiki?#,1,1,0
154,620540,"Oh, yeah, I've heard of that--that was the issue the Colonel was (incorrectly) alluding to, right? Is that list to which your link sent me something that Steve had to create, or was it generated automatically?#",0,0,0
155,237753,"I'm wondering why in the <url> article, you keep changing the link <url> to <url> which just redirects to <url>? Why not just leave the link to point to the intended article directy?#",0,0,0
156,589985,"PS I also am wondering about the letter "ll". It seems, like the Welsh <url>, to have a particular (and tricky) pronunciation, but thereu2019s nothing on the <url> or <url> pages about it: Can you shed any light on this?#""S I also am wondering about the letter "ll". It seems, like the Welsh <url>, to have a particular (and tricky) pronunciation, but thereu2019s nothing on the <url> or <url> pages ab"" I also am wondering about the letter "ll". It seems, like the Welsh <url>, to have a particular (and tricky) pronunciation, but thereu2019s""I also am wondering about the letter "ll". It seems, like the Welsh <url>, to have a particular (and "" also am wondering about the letter "ll". It seems, like the We""also am wondering about th",1,0,1
157,473852,"More a bot to flag articles where persondata and defaultsort disagree, so that humans can check which is correct. I presume your bot already detects cases where DEFAULTSORT and listas disagree?#",0,1,0
158,619643,Really? When/where did that happen?#,0,0,0
159,196201,The <url> disambiguation page seems to be a model for collecting the related entries for IOOF buildings in a single place. Do you agree?#,1,0,0
160,564946,"Hi there, I've raised the possibility of unprotecting the tamazepam page <url>. What are your thoughts?#",0,1,0
161,291631,"Also, how does that vandalism thing on your page work? Do you have to change the count manually, or does it detect vandalism itself?#",0,0,0
162,620910,"Thanks, can we write an article on that ? do you think it is notable enough ?#",0,0,0
163,262902,Why haven't you submitted the diet to Good Article? And when are you going for Featured Article candidates?#,0,0,0
164,624484,"Where is the exception in <url> for "tossing out citations and verifiable in order to make it easier for the reader"? Who are you to disagree with Nikon's label of "Compact Professional"?#""here is the exception in <url> for "tossing out citations and verifiable in order to make it easier for the reader"? Who are you to disagree with Nikon""ere is the exception in <url> for "tossing out citations and verifiable in order to make it easier for the reader"?""re is the exception in <url> for "tossing out citations and verifiable in order ""e is the exception in <url> for "tossing out c"" is the excep",0,0,0
165,620852,Thanks! =D And how soon are we going to try to get The Lost Age to Featured Article?#,0,0,0
166,577073,"I am doing stub cleaning and consolidation that is needed to reduce the incidence of tiny articles. For instance, did you know that the Luis Rodriguez article was linked to by a music producer, two boxers and a singer?#",0,0,0
167,215843,"I didn't remove the image; I just moved it down to the bottom of the box, to avoid having a long stack of images at the top. Is that a problem?#",0,1,0
168,629841,Is there any way I could talk you into being more conservative with creation of new articles? Do you agree that some of what you're creating here would be seen as obviously deletable material by most editors?#,0,1,0
169,612483,"I still prefer Huxley's version, as I don't think that version makes the dying off clear, and ignores the r-type organism analogue. Is there any way to work more emphasis into the dying off part in, as it's absolutely crucial to the removal of unfit forms?#",1,0,1
170,554731,"By chance, I have indef blocked <person> over your 31-hour block. Would you like me to keep indef block or change it back to 31 hours?#",0,0,0
171,83784,"OK, the 3920th is done. Any further thoughts?#",1,1,0
172,384811,"Yobot labelled <url> as a stub, though it has <person>. Perhaps that's a dab template Yobot doesn't know about?#",1,1,0
173,508269,"...why not try something a bit more proactive? Now, obviously he's using proxies, but are there no rangeblocks that might make his job harder?#",0,1,0
174,328920,The copyediting is being done as I speak. Anything else you can think of?#,1,1,1
175,594145,thank you. any clue what happened?#,0,0,0
176,542963,"See: <url>. If I remember correctly, you said you planned on cleaning up after the bot tagged the images; is that still the case?#",1,1,1
177,133725,"I don't think I've used it in Wikipedia. So, if I haven't, why did you bring it up?#",0,0,0
178,355457,"Some pictures are not mine, but those that I have changed, their own. And you can submit a complaint the owners of those photos?#",0,1,0
179,496654,"When I find 20 sources calling an Individual Armenian including TURKISH, the NYT and Time's article are presented in a dubious manner, how can I bey considered aggressive? It is the duty of every editor and admin to weed out Original research and dubious citations, no?#",0,0,0
180,567951,Are you calling me a vandal for visiting your user page? Or am I just <url>?#,0,0,0
181,34411,I was thinking about creating a page about Nintendo eShop. And since you are a well trusted user I am asking you if you think that would just be deleted because there isn't enough information?#,0,0,0
182,381792,It is an obvious and strongly followed point that april fools jokes ''should not disrupt the running of the wiki''. Could you explain why the HELLS you coated a dozen users' pages with pictures of jimbo's ugly bearded fizzogg?#,0,0,0
183,141067,There is a special tool which shows you page sizes? Would you like to know how to use it?#,0,1,0
184,258490,"Your <url> is a brilliant idea! Would you mind if I linked to it from my collection of "Useful things" on my user page?#""our <url> is a brilliant idea! W",0,0,0
185,280419,"See the page <url>, and in particular the section <url>. Does that make sense?#",0,1,1
186,625663,"Thank you for your comments. May I refer you to <url>, where I think you will find the sort of criticism section that you are looking for?#",0,0,0
187,563491,"The Hitchin-related hoax claims by <url> seem to have led to a rather precipitate response, considering that he has only been an editor for a few days. Is there something going on here that isn't obvious?#",0,0,0
188,163563,Hello im trying to make a task force for the Empire of Brazil with some people but we dont know how to make the actually task force stuff like the banner and how to make the quality chart template to see what class each article is. Im asking if you can help make it since i saw you made WikiProject Dam?#,1,1,0
189,358625,I can't find anything about Crimson Echoes' Gameplay. Do you think that its good as it is?#,0,0,0
190,380241,"Sorry <name>, but I don't understand. Even if your man didn't meet <url>, how could he fail to meet <url>?#",0,0,0
191,214946,"Hey, several of the footnotes that you use in <url> are Harvard footnotes, which means that they need the full citation of the books in works cited section. I imagine you grabbed some of that information from some other places, would you mind retriveing the bibliographic data?#",0,0,0
192,231174,Don't you think it's taken too far back to be of any use? Do we have any alternatives?#,0,1,0
