Community,,Num,Id,Id,Request,Request,Batch,,,,,,,,,
Wikipedia,18,123039,"When creating &lt;url&gt;, I also had to create &lt;url&gt;, &lt;url&gt; and &lt;url&gt;. I was wondering if you could populate them?","When creating <url>, I also had to create <url>, <url> and <url>. I was wondering if you could populate them?",21,13,21,18,17,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPK94CUWL45W,0.937898588,TRUE
Wikipedia,19,194790,You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,17,16,21,25,21,A2WKPCZU4U110T,A22SZHZTF72TRM,A3L8MJ1C4OEDGV,A3E157ZN8XPUKJ,AC25X12LNYY6Y,0.820301813,TRUE
Wikipedia,20,333023,You may want to look at the nomination. What did you intend to do?,You may want to look at the nomination. What did you intend to do?,9,13,5,13,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,-0.984104782,TRUE
Wikipedia,21,98588,The notion that a hunter would kill dozens of birds with a single shot seems outlandish to me. Do you have a reference for this?,The notion that a hunter would kill dozens of birds with a single shot seems outlandish to me. Do you have a reference for this?,17,13,9,13,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,-0.636128979,TRUE
Wikipedia,22,569261,I have applied to become an admin but no one has voted? Why is this?,I have applied to become an admin but no one has voted? Why is this?,13,13,13,13,13,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ANVEDG15GV3QE,AIPK94CUWL45W,-0.315272756,TRUE
Wikipedia,23,619638,"Thank you for coming in, reading what is there, and saying what I mean in terms better than what I'm using. What is the next step - doing an official call for opinions?","Thank you for coming in, reading what is there, and saying what I mean in terms better than what I'm using. What is the next step - doing an official call for opinions?",21,16,13,16,17,A16PRU8T6NZLN5,ANMGOZ451W9ZN,A3454T4PU9GJM0,A1F4D2PZ7NNWTL,A38N58BSMTA0BE,0.418492055,TRUE
Wikipedia,24,391212,"The link to Sciencedude by Gary Robbins: Obituary of Joel Hedgpeth, which I believe you added, no longer includes the obituary. Can you up-date the link?","The link to Sciencedude by Gary Robbins: Obituary of Joel Hedgpeth, which I believe you added, no longer includes the obituary. Can you up-date the link?",18,13,13,13,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A1G05O3HM7DNVZ,0.018862294,TRUE
Wikipedia,25,157481,"Do you have any thoughts on renaming the page to reflect that the notability (and most of the content) is about the labor dispute/takeover, etc. than the company itself?","Do you have any thoughts on renaming the page to reflect that the notability (and most of the content) is about the labor dispute/takeover, etc. than the company itself?",17,17,17,13,15,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,0.437138056,TRUE
Wikipedia,26,621823,Since you already had the filmography listed I cut some films from the intro which you didn't tell much else about. Are you happy with my changes?,Since you already had the filmography listed I cut some films from the intro which you didn't tell much else about. Are you happy with my changes?,12,17,9,20,21,A1486XFUE4FA27,A233ONYNWKDIYF,A3GEHPUTISVNB4,AO5E3LWBYM72K,AC25X12LNYY6Y,0.327515948,TRUE
Wikipedia,27,563652,"Hi GW.. I was a bit bored today, so I made this: &lt;url&gt;.. What do you think so far?","Hi GW.. I was a bit bored today, so I made this: <url>.. What do you think so far?",13,13,21,13,13,A233ONYNWKDIYF,A34A6MSJTD9A4L,AO5E3LWBYM72K,AQWC8BPA9JB7T,A37ADCYLCSB5O2,-0.067904292,TRUE
Wikipedia,28,28354,&lt;url&gt; is fooling around with the Rubinstein and Horowitz articles again. Is there a way to get him banned?,<url> is fooling around with the Rubinstein and Horowitz articles again. Is there a way to get him banned?,13,9,15,15,13,A2UFD1I8ZO1V4G,A3Q5YG3X67WHFD,A3EJ5TT2ZGBIDA,A38WUWONC7EXTO,A1DTQSIIYIZL62,-0.172213296,TRUE
Wikipedia,29,618622,"Okay - later tonight (I'm a bit busy right now), I'll restore them for... hm. Will three days be long enough for you to copy the information?","Okay - later tonight (I'm a bit busy right now), I'll restore them for... hm. Will three days be long enough for you to copy the information?",17,9,17,14,1,A233ONYNWKDIYF,A1BJTTNDDFZ3ZP,ARYGQ46IMW8AU,AC25X12LNYY6Y,A2BKPNKU3EG41Z,-0.049481213,TRUE
Wikipedia,30,625120,"Hey, if you took this picture you can release it into the public domain. If not, do you know who took it?","Hey, if you took this picture you can release it into the public domain. If not, do you know who took it?",13,21,13,17,15,A233ONYNWKDIYF,A2ZKDPANCVA690,A22SZHZTF72TRM,AHH34KPTA2LSS,A37ADCYLCSB5O2,0.3162875,TRUE
Wikipedia,31,196624,I would like to create a few plots. Where can I access the geologic temperature record raw data?,I would like to create a few plots. Where can I access the geologic temperature record raw data?,17,13,13,13,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ASDKBXZBSJNZD,A2QH1BQA6GR48O,A19ZT0TQPFA2,-0.114124473,TRUE
Wikipedia,32,39167,"Like most users with their articles screwed over by &lt;url&gt;'s new web facelift, I'm at a lost with &lt;url&gt; being dead. Can you help?","Like most users with their articles screwed over by <url>'s new web facelift, I'm at a lost with <url> being dead. Can you help?",17,17,5,13,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A3GOI327COFGY5,A00613921OIEGJA322163,-0.065407123,TRUE
Wikipedia,33,489092,"You deleted this, but somehow it still shows up on the parent category's page &lt;url&gt;. Is this normal and/or can you fix this?","You deleted this, but somehow it still shows up on the parent category's page <url>. Is this normal and/or can you fix this?",17,17,13,13,13,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,0.027776706,TRUE
Wikipedia,34,458314,You know there's no excuse for the edits you're making related to your position at &lt;url&gt;. This has to go to &lt;url&gt;; would you like to make the report?,You know there's no excuse for the edits you're making related to your position at <url>. This has to go to <url>; would you like to make the report?,13,9,9,9,5,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A00613921OIEGJA322163,AIPK94CUWL45W,A19ZT0TQPFA2,-1.570315604,TRUE
Wikipedia,35,505765,Your bot has ruined the formatting on ref 2 in &lt;url&gt;. Would you care to either call off the bot or suggest an alternate formatting that will work better?,Your bot has ruined the formatting on ref 2 in <url>. Would you care to either call off the bot or suggest an alternate formatting that will work better?,9,5,9,8,15,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A2QH1BQA6GR48O,AIPK94CUWL45W,-1.16765446,TRUE
Wikipedia,36,530060,"Excellent, thank you! Can you also delete the &lt;url&gt; from en and move hooks from the &lt;url&gt; to &lt;url&gt;?","Excellent, thank you! Can you also delete the <url> from en and move hooks from the <url> to <url>?",21,21,21,21,21,A1486XFUE4FA27,A9Y5N2QRY4PNW,AE3D6SE2D8UPQ,A2UBXHCHM2I6IL,A2MR8AA4I9S89Y,1.762599486,TRUE
Wikipedia,37,550275,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?,6,13,17,18,9,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A2GD31JIW0OCYO,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,-0.61230134,TRUE
Wikipedia,38,119849,"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's &lt;url&gt; instead?","I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's <url> instead?",9,17,9,5,11,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2AMGE57IJVSHF,A3IHLWMZNBLUR4,A3FYTE61RANQTF,-0.92798696,TRUE
Wikipedia,39,325216,"Hello, I and a few others have made many edits to &lt;url&gt;. Do you have any more comments and can you be persuaded to change your vote?","Hello, I and a few others have made many edits to <url>. Do you have any more comments and can you be persuaded to change your vote?",17,9,17,21,15,A3G9MSZVWB7W42,A3GEHPUTISVNB4,A1TLLJDX8H4JP1,AC25X12LNYY6Y,A1F4D2PZ7NNWTL,0.235468446,TRUE
Wikipedia,40,513103,"It isn't clear to me that he knew WHO Amorrow was, someone has left a message that will hopefully set him straight. Do you have a link to the blog?","It isn't clear to me that he knew WHO Amorrow was, someone has left a message that will hopefully set him straight. Do you have a link to the blog?",17,13,13,21,13,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28ZB4ZB13BWAI,A00613921OIEGJA322163,A2AMGE57IJVSHF,0.231112674,TRUE
Wikipedia,41,426769,"Hi, I hadn't realized that you had made a revert on redirecting this. Could you see my comments on &lt;url&gt;?","Hi, I hadn't realized that you had made a revert on redirecting this. Could you see my comments on <url>?",17,19,16,9,17,A2UFD1I8ZO1V4G,AVWFW00UYDVUD,AYG3MF094634L,A1TLLJDX8H4JP1,A3KVLFBRO8X2MZ,0.561095105,TRUE
Wikipedia,42,629553,"No, I said that targetting images merely because of their uploader would be considered wikistalking- I explicitly said I did not want to accuse anyone of anything. Which images do you feel have been tagged incorrectly?","No, I said that targetting images merely because of their uploader would be considered wikistalking- I explicitly said I did not want to accuse anyone of anything. Which images do you feel have been tagged incorrectly?",17,13,17,9,13,A16PRU8T6NZLN5,A233ONYNWKDIYF,A1KC138MX47DXA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,-0.182824105,TRUE
Wikipedia,43,157019,You've contributed a lot to Puget Sound area articles. Would you be willing to take a look at the debate I'm having at &lt;url&gt; and do whatever you think is best?,You've contributed a lot to Puget Sound area articles. Would you be willing to take a look at the debate I'm having at <url> and do whatever you think is best?,21,25,24,21,17,A233ONYNWKDIYF,A26YKYQIA3GX8B,ATVZXUW7O31EV,A29B522D0BX6HN,AIPK94CUWL45W,1.495876317,TRUE
Wikipedia,44,476584,Something's still not right with me here. Think you can perform one of those cleanups?,Something's still not right with me here. Think you can perform one of those cleanups?,13,13,13,9,14,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A3GOI327COFGY5,A3RAW3BLRGAIVQ,-0.659355279,TRUE
Wikipedia,45,216645,"No problem, It was open and shut &lt;url&gt; issue. For your next project can you find something that doesnt make your fanclub at the Wikipedia Review angry?","No problem, It was open and shut <url> issue. For your next project can you find something that doesnt make your fanclub at the Wikipedia Review angry?",9,15,10,6,5,A233ONYNWKDIYF,A22SZHZTF72TRM,AHH34KPTA2LSS,A1F4D2PZ7NNWTL,A1DTQSIIYIZL62,-1.145079892,TRUE
Wikipedia,46,627968,"Hi &lt;name&gt; - this would be a fine article, but its already pretty fleshed out - do you have a specific sub-topic regarding propaganda films that you'd like to write about? Have you found some research about propaganda films that you'd like to synthesize?","Hi <name> - this would be a fine article, but its already pretty fleshed out - do you have a specific sub-topic regarding propaganda films that you'd like to write about? Have you found some research about propaganda films that you'd like to synthesize?",20,16,13,17,11,AW6UIL04MLQ9N,AYG3MF094634L,A2LBBOZZ22O24L,A1TLLJDX8H4JP1,A1F4D2PZ7NNWTL,0.594685237,TRUE
Wikipedia,47,360251,"On that topic, not every DOS game on Wikipedia has a screenshot. Do you plan on taking any yourself?","On that topic, not every DOS game on Wikipedia has a screenshot. Do you plan on taking any yourself?",21,13,15,11,11,A16PRU8T6NZLN5,A233ONYNWKDIYF,AW6UIL04MLQ9N,A2H8VMF0FQIFUM,A1DTQSIIYIZL62,-0.118710239,TRUE
Wikipedia,48,492399,"Hello - someone moved &lt;url&gt; to a new title with diacritics - and a hyphen, which nobody in the talk page had ever discussed. How does one undo that?","Hello - someone moved <url> to a new title with diacritics - and a hyphen, which nobody in the talk page had ever discussed. How does one undo that?",13,17,13,11,17,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,ANVEDG15GV3QE,AIPK94CUWL45W,-0.002468155,TRUE
Wikipedia,49,549682,"As I wrote above, at first I thought lets keep it, but after I heard some arguments, and when I made analysis of my own, I got to my conclusion. What's yours?","As I wrote above, at first I thought lets keep it, but after I heard some arguments, and when I made analysis of my own, I got to my conclusion. What's yours?",21,17,15,18,17,A1BQCRF5Q76YFY,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A31RP7HI5172B,A3SQ6ORWDN5BGZ,0.580143976,TRUE
Wikipedia,50,66092,"Per &lt;url&gt;, there was an autoblock affecting your editing that has now been lifted. Can you edit freely now?","Per <url>, there was an autoblock affecting your editing that has now been lifted. Can you edit freely now?",17,13,13,18,21,A233ONYNWKDIYF,APDWVWS2HMSFD,A3GOI327COFGY5,A29B522D0BX6HN,A3IHLWMZNBLUR4,0.410750308,TRUE
Wikipedia,51,618793,"I am an administrator on this project and my task is to enforce these rules. Now, will you cooperate or will I have to block you?","I am an administrator on this project and my task is to enforce these rules. Now, will you cooperate or will I have to block you?",1,9,14,6,5,A233ONYNWKDIYF,A2X9AEDAHF7O7S,AYG3MF094634L,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,-1.780212351,TRUE
Wikipedia,52,144161,I though it's better like that. Can you revert it?,I though it's better like that. Can you revert it?,17,13,13,21,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A00613921OIEGJA322163,ANVEDG15GV3QE,0.061511947,TRUE
Wikipedia,53,586714,Hmm...it appears to be an infobox at the moment and lacking in any content other than that. Have you done a search for the battle at all?,Hmm...it appears to be an infobox at the moment and lacking in any content other than that. Have you done a search for the battle at all?,13,7,17,15,10,AE3D6SE2D8UPQ,A6YO9886DY2SC,A3L8MJ1C4OEDGV,ARYGQ46IMW8AU,A3EJ5TT2ZGBIDA,-0.452850512,TRUE
Wikipedia,54,358773,"Hey, did you ever read over the material I laid out for you - content as well as ideas for organization of an article? Any feedback?","Hey, did you ever read over the material I laid out for you - content as well as ideas for organization of an article? Any feedback?",21,17,16,11,9,A2ZABRSFZKUOKV,A3L8MJ1C4OEDGV,A2ULMYRKQMNNFG,A3EJ5TT2ZGBIDA,A3TFQK7QK8X6LM,-0.096455957,TRUE
Wikipedia,55,350274,"When JaGaBot updated the monthly challenge winners on &lt;url&gt;, it stripped the image. Could the bot be fixed to leave the image?","When JaGaBot updated the monthly challenge winners on <url>, it stripped the image. Could the bot be fixed to leave the image?",17,13,14,13,14,A2EJ6MKRFATU5I,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,ANVEDG15GV3QE,A29B522D0BX6HN,0.040130794,TRUE
Wikipedia,56,550622,"Hi, I noticed on &lt;url&gt; you mentioned its Alexa traffic rank. How do you find out the Alexa traffic rank of something?","Hi, I noticed on <url> you mentioned its Alexa traffic rank. How do you find out the Alexa traffic rank of something?",13,13,17,13,13,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3GOI327COFGY5,ANVEDG15GV3QE,0.018445532,TRUE
Wikipedia,57,210924,"In the &lt;url&gt; article, is polar mount correct? It might be improved by a bit more detail about how it works, perhaps?","In the <url> article, is polar mount correct? It might be improved by a bit more detail about how it works, perhaps?",17,17,21,21,25,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28ZB4ZB13BWAI,A3IHLWMZNBLUR4,1.276047205,TRUE
Wikipedia,58,209080,"What exactly are the rules on this page? Can stuff be added without discussion and ""consensus""?","What exactly are the rules on this page? Can stuff be added without discussion and ""consensus""?",9,13,13,17,21,A233ONYNWKDIYF,A3S5L3I8O3Q2G,ANVEDG15GV3QE,A2AMGE57IJVSHF,A3IHLWMZNBLUR4,0.069320431,TRUE
Wikipedia,59,105723,I noticed your nice improvements to &lt;url&gt;. Are you thinking of merging/redirecting &lt;url&gt; to that article?,I noticed your nice improvements to <url>. Are you thinking of merging/redirecting <url> to that article?,17,13,19,21,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2QH1BQA6GR48O,A3IHLWMZNBLUR4,0.776670541,TRUE
Wikipedia,60,201885,I thought we had all agreed that the lead is fine as it is. What is the sentence supposed to mean?,I thought we had all agreed that the lead is fine as it is. What is the sentence supposed to mean?,9,16,13,17,13,A21753FQKCM5DQ,A1QV3X9YMQQ3OQ,A2GSW5RBAT5LQ5,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-0.016309103,TRUE
Wikipedia,61,396333,"Yes, this is a nice illustration. I'd love to have a look of the code; is it possible for you to mail it to me?","Yes, this is a nice illustration. I'd love to have a look of the code; is it possible for you to mail it to me?",25,21,21,20,17,APDWVWS2HMSFD,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,AIPK94CUWL45W,1.5837754,TRUE
Wikipedia,62,628721,"Sorry for the slow reply, something I needed to take care of. &lt;url&gt; is restored- if it is mentioned in such &lt;url&gt;, could you please &lt;url&gt; them in the article?","Sorry for the slow reply, something I needed to take care of. <url> is restored- if it is mentioned in such <url>, could you please <url> them in the article?",19,17,17,19,21,A6YO9886DY2SC,AO5E3LWBYM72K,A3KVLFBRO8X2MZ,A1E0EK09CA5OIO,A2UBXHCHM2I6IL,1.070741711,TRUE
Wikipedia,63,519222,"Also, I undid the recent move to Eris, pending some discussion. Maybe you'd like to support/oppose the move?","Also, I undid the recent move to Eris, pending some discussion. Maybe you'd like to support/oppose the move?",17,17,13,17,7,AEWF3138PFWEN,A2ZKDPANCVA690,A2HUIIM8G3Q1VI,A2LQ33BQ8G259D,A1F4D2PZ7NNWTL,-0.000434798,TRUE
Wikipedia,64,345879,Where did you get the tracklist for the album? Can you please drop me a messafe with the link?,Where did you get the tracklist for the album? Can you please drop me a messafe with the link?,17,21,17,22,18,A1T5YMBH35PDBX,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A2GODV4YZGD8X9,1.318247951,TRUE
Wikipedia,65,79211,Is as usual being overrun with pointless blather. Would you like to set up a subpage to discuss sources?,Is as usual being overrun with pointless blather. Would you like to set up a subpage to discuss sources?,21,9,13,9,17,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A2QH1BQA6GR48O,AIPXB863TARAK,AIPK94CUWL45W,0.058063636,TRUE
Wikipedia,66,384109,I feel &lt;url&gt; is a personal attack against me. Can you please remove it for me per &lt;url&gt;?,I feel <url> is a personal attack against me. Can you please remove it for me per <url>?,17,9,13,13,17,A233ONYNWKDIYF,A26YKYQIA3GX8B,ATVZXUW7O31EV,A29B522D0BX6HN,AIPK94CUWL45W,0.157194123,TRUE
Wikipedia,67,446166,I note that you've edited since this was brought up here. Could you please respond?,I note that you've edited since this was brought up here. Could you please respond?,21,21,17,11,12,AD8ZUKPJT9E6,A233ONYNWKDIYF,A22SZHZTF72TRM,A13CO3B2BRXQLZ,AEYHIQUDWJ3KV,0.536175338,TRUE
Wikipedia,68,238442,"Yet you did violate &lt;url&gt; and could be blocked right now. If that edit recurred, would you revert it again?","Yet you did violate <url> and could be blocked right now. If that edit recurred, would you revert it again?",13,9,13,5,13,AYG3MF094634L,A34A6MSJTD9A4L,A2ULMYRKQMNNFG,A204JAK7QRDWVM,A37ADCYLCSB5O2,-0.823492272,TRUE
Wikipedia,69,607523,"As to our last discussion, you said that &lt;url&gt; wasn't comprehensive enough and didn't show clearly its goal. Do you have any suggesting to improve this template?","As to our last discussion, you said that <url> wasn't comprehensive enough and didn't show clearly its goal. Do you have any suggesting to improve this template?",18,17,9,21,9,A21753FQKCM5DQ,A2UFD1I8ZO1V4G,AAZKHFKG1B8VQ,A2LQ33BQ8G259D,A1F4D2PZ7NNWTL,0.255764518,TRUE
Wikipedia,70,609847,Can you look at this page &lt;url&gt; and tell me what you think. It has the vandal picture but wasn't edited today?,Can you look at this page <url> and tell me what you think. It has the vandal picture but wasn't edited today?,21,13,9,18,15,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,AIPK94CUWL45W,0.43163142,TRUE
Wikipedia,71,311058,There's an interesting discussion here: &lt;url&gt;. Care to explain?,There's an interesting discussion here: <url>. Care to explain?,7,5,13,9,17,A2WMO1T9CJW4YO,A1BQCRF5Q76YFY,AO3XB5I5QNNUI,A1ST1WRDA4ALST,A3SQ6ORWDN5BGZ,-0.765506037,TRUE
Wikipedia,72,438343,"Hello, I noticed you recently did a lot of work on the ''&lt;url&gt;'' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?","Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?",21,21,18,21,13,A3I83CQLOZRO79,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28ZB4ZB13BWAI,AIPK94CUWL45W,1.114793561,TRUE
