Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,AVERAGE_SCORES,AVERAGE_EN,AVERAGE_CH
12,388839,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?#",3,,,-4,,,-5,,,,3,,,,,,,2,,,,,,-4,3,,,,,,,,,,,,,-6,0,,,,,,0,,7,,,,-1,,,,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,0.814814815,0.806451613,0.826086957
13,206259,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?#",1,,,-2,,,-1,,,,-3,,,,,,,0,,,,,,3,0,,,,,,,,,,,,,-3,0,,,,,,-3,,-1,,,,-2,,,,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,0.740740741,0.806451613,0.652173913
14,394910,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?#",-3,,,-6,,,-2,,,,-4,,,,,,,-4,,,,,,2,-1,,,,,,,,,,,,,-3,0,,,,,,-1,,-8,,,,-2,,,,-1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,0.62962963,0.612903226,0.652173913
15,620687,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?#",-12,,,-11,,,-12,,,,-10,,,,,,,-10,,,,,,-1,-7,,,,,,,,,,,,,-10,-5,,,,,,,,-11,,,,-9,,,,-1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0.592592593,0.548387097,0.652173913
16,506658,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?#,5,,,6,,,2,,,,8,,,,,,,6,,,,,,3,6,,,,,,,,,,,,,-3,0,,,,,,0,,5,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,1,0.913043478
17,488272,Nothing messed up from where I'm sitting. What kind of messed up?#,5,,,3,,,-5,,,,-3,,,,,,,0,,,,,,3,-6,,,,,,,,,,,,,0,0,,,,,,-3,,-4,,,,,,,,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,0.814814815,0.806451613,0.826086957
18,237849,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?#",4,,,-3,,,0,,,,7,,,,,,,2,,,,,,2,3,,,,,,,,,,,,,0,-1,,,,,,-3,,-6,,,,-2,,,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,0.814814815,0.935483871,0.652173913
19,555289,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?#",5,,,-1,,,1,,,,0,,,,,,,-1,,,,,,2,1,,,,,,,,,,,,,6,2,,,,,,0,,2,,,,0,,,,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925925926,0.870967742,1
20,622922,That is weird. What happens if you create Usor:Rolandus?#,7,,,0,,,0,,,,4,,,,,,,-1,,,,,,1,-2,,,,,,,,,,,,,3,0,,,,,,0,,,,,,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925925926,0.870967742,1
21,342386,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?#,12,,,,,,7,,,4,,,,4,,,,-1,,,,-6,,,,3,,3,1,,,-9,,,,,,,,-6,,-8,,,,2,,,,,-5,,-3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,0.740740741,0.870967742,0.565217391
22,446216,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?#",12,,,,,,8,,,9,,,,6,,,,5,,,,4,,,,3,,6,6,,,12,,,,,,,,6,,12,,,,6,,,,,7,,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,208007,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?#,5,,,,,,1,,,0,,,,0,,,,0,,,,0,,,,4,,6,3,,,0,,,,,,,,0,,0,,,,2,,,,,0,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,109408,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?#,0,,,,,,6,,,1,,,,-3,,,,0,,,,,,,,2,,5,4,,,10,,,,,,,,6,,6,,,,4,,,,,-1,,-1,,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,0.888888889,0.935483871,0.826086957
25,390848,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?#",7,,,,,,4,,,-1,,,,0,,,,0,,,,0,,,,1,,3,5,,,9,,,,,,,,7,,-6,,,,3,,,,,,,2,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0.925925926,0.935483871,0.913043478
26,623298,"As another aside, they are mostly Germans. What's up with that?#",-9,,,,,,-7,,,-5,,,,1,,,,-3,,,,0,,,,8,,-4,-3,,,-6,,,,,,,,0,,-3,,,,0,,,,,-2,,-1,,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,0.62962963,0.612903226,0.652173913
27,34843,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?#,-6,,,,,,5,,,4,,,,3,,,,0,,,,0,,,,0,,3,2,,,0,,,,,,,,3,,3,,,,2,,,,,3,,2,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,0.935483871,1
28,241254,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?#,5,,,,,,1,,,0,,,,0,,,,-3,,,,,,,,4,,-1,0,,,-3,,,,,,,,-3,,-9,,,,0,,,,,-10,,-4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,0.740740741,0.870967742,0.565217391
29,21906,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?#",2,,,,,,2,,,2,,,,1,,,,-2,,,,0,,,,-5,,-1,3,,,-3,,,,,,,,-5,,-8,,,,2,,,,,-10,,-4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,0.703703704,0.806451613,0.565217391
30,629684,Out of curiosity what are you testing? How are things going?#,5,,,,,,9,,,2,,,,1,,,,6,,,,8,,,,7,,3,8,,,9,,,,,,,,0,,-3,,,,3,,,,,-10,,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,0.925925926,1,0.826086957
31,629602,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?#",6,,,,,3,,6,,1,,,,2,,0,,,,,3,,,,2,,,,,0,,,,1,,,,,,8,,3,,,9,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,210822,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?#",12,,,,,9,,12,,8,,,,3,,0,,,,,9,,,,11,,,,,9,,,,6,,,,,,7,,4,,,0,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,264394,Would you like to elaborate? How are you empowering me exactly?#,-12,,,,,-5,,3,,-4,,,,-5,,0,,,,,4,,,,-1,,,,,6,,,,3,,,,,,8,,2,,,-11,,,,,,,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0.777777778,0.677419355,0.913043478
34,279719,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?#",11,,,,,2,,10,,1,,,,3,,0,,,,,4,,,,1,,,,,3,,,,6,,,,,,8,,3,,,3,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,120107,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?#",-2,,,,,-2,,7,,-2,,,,4,,1,,,,,3,,,,-1,,,,,9,,,,8,,,,,,8,,6,,,-6,,,,,,,,,,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0.814814815,0.741935484,0.913043478
36,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?#",0,,,,,0,,12,,-2,,,,4,,0,,,,,0,,,,1,,,,,0,,,,-3,,,,,,9,,0,,,0,,,,,,,,,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925925926,0.935483871,0.913043478
37,596018,"Thanks for the help! That info should be on <url> in easy to read form, no?#",12,,,,,8,,12,,0,,,,5,,1,,,,,4,,,,2,,,,,12,,,,1,,,,,,7,,3,,,3,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,421199,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?#",4,,,,,2,,10,,0,,,,2,,0,,,,,1,,,,3,,,,,0,,,,2,,,,,,8,,4,,,5,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,621917,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?#",12,,,,,11,,11,,2,,,,4,,3,,,,,4,,,,-1,,,,,3,,,,3,,,,,,5,,8,,,12,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,0.935483871,1
40,62073,Fatwa? What is that?#,,,0,,,,,0,,12,,-1,,,,-3,,-1,,,,,-1,,,,0,,,,,-9,,,,-9,,,,,,8,,0,,,0,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777778,0.741935484,0.826086957
41,535410,"I see. What about ""Main Church""?#",,,,0,,-1,,,8,,,2,,,,,,,2,,,1,,,,,,,,,,,,-1,,,,,,,1,,,0,,,0,,,,0,,,,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.925925926,0.935483871,0.913043478
42,580856,"Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?#",-4,,12,,,6,,,-1,,,,,,,-4,,,9,,,,,,,,,,,,6,,,,,,,0,,,6,,,1,,,,3,,,,,,,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888889,0.806451613,1
43,607777,to the Citations missing template. What's the deal?#,,-6,,-9,,,6,,,-3,,,,,,,,,,-2,,,,,,,,,,,,0,,,,,,,4,,,0,,,0,,,,-8,,,,,,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0.814814815,0.741935484,0.913043478
44,277176,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?#",2,,12,,,3,,,1,,,,,,,-1,,,2,,,,,,,,,,,,3,,,,,,,0,,,10,,,0,,,,3,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,0.935483871,1
45,134361,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?#,6,,6,,,12,,,0,,,,,,,6,,,9,,,,,,,,,,,,2,,,,,,,7,,,12,,,2,,,,2,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,444059,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?#,7,,10,,,5,,,0,,,,,,,5,,,2,,,,,,,,,,,,1,,,,,,,0,,,6,,,-1,,,,-1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0.925925926,1,0.826086957
47,38632,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?#",7,,-3,,,8,,,-2,,,,,,,1,,,2,,,,,,,,,,,,2,,,,,,,0,,,,,,0,,,,-1,,,,,,,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0.888888889,0.870967742,0.913043478
48,133723,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?#",-3,,9,,,5,,,-5,,,,,,,-3,,,0,,,,,,,,,,,,-1,,,,,,,2,,,-3,,,0,,,,-3,,,,,,,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0.777777778,0.741935484,0.826086957
49,209322,What do you think? And how does one go about establishing this project group?#,0,,11,,,12,,,0,,,,,,,-2,,,2,,,,,,,,,,,,0,,,,,,,0,,,0,,,0,,,,-1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0.925925926,0.935483871,0.913043478
50,369741,"I will understand if you decline, but would very much like you to accept. May I nominate you?#",12,,12,,,12,,,7,,,,,,,12,,,9,,,,,,,,,,,,8,,,,,,,-2,,,0,,,6,,,,6,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,1,0.913043478
51,257936,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?#,-3,,,1,,,,-2,,,,,,9,-2,,,,,,,,,1,-5,,,,,,,,2,,,0,,,,-1,,,,,,0,3,,,,,,,,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.814814815,0.741935484,0.913043478
52,241828,"Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?#",-2,,,0,,,,9,,,,,,4,3,,,,,,,,,0,-5,,,,,,,,0,,,2,,,,-2,,,,,,0,4,,,,,,,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.888888889,0.870967742,0.913043478
