Community,Num,Num,Id,,
Wikipedia,69,669,239674,I have reverted your relocation of the images of this fragment - as I think it better if the images and transcripts can be seen side-by-side. Do you agree?,I have reverted your relocation of the images of this fragment - as I think it better if the images and transcripts can be seen side-by-side. Do you agree?
Wikipedia,70,670,629394,In the Catalan Wikipedia we have more than 60 wrong pages that we want to delete but nobody can do it. Where I have to request the permition?,In the Catalan Wikipedia we have more than 60 wrong pages that we want to delete but nobody can do it. Where I have to request the permition?
Wikipedia,71,671,404271,"I've wikified this and added some categories. Any idea of his dates, and is he still alive?","I've wikified this and added some categories. Any idea of his dates, and is he still alive?"
Wikipedia,72,672,339733,"&lt;name&gt; this guy's ( &lt;url&gt;) talk page as well as the history of vandalism to the &lt;url&gt; page seems to indicate that he's the main perpetrator. Is there some way to ban one particular user from editing a page, based on repeat incidents of vandalism to that page?","<name> this guy's ( <url>) talk page as well as the history of vandalism to the <url> page seems to indicate that he's the main perpetrator. Is there some way to ban one particular user from editing a page, based on repeat incidents of vandalism to that page?"
Wikipedia,73,673,553444,"&lt;name&gt; not got a picture of one yet, but I notice in you wrote that it is rare. Where did you get that information as I wonder how rare it is?","<name> not got a picture of one yet, but I notice in you wrote that it is rare. Where did you get that information as I wonder how rare it is?"
Wikipedia,74,674,137324,"I'm not sure how I caught this, but &lt;url&gt; made the same edits to &lt;url&gt; that blocked &lt;url&gt; made several years ago to &lt;url&gt; (which I have redir'ed because it is almost the same as the plastic pipework article). Can the former be blocked for quacking despite a lack of recent activity?","I'm not sure how I caught this, but <url> made the same edits to <url> that blocked <url> made several years ago to <url> (which I have redir'ed because it is almost the same as the plastic pipework article). Can the former be blocked for quacking despite a lack of recent activity?"
Wikipedia,75,675,11599,I notice that you added a period to the middle of a sentence in the article about &lt;url&gt;. Why?,I notice that you added a period to the middle of a sentence in the article about <url>. Why?
Wikipedia,76,676,184287,"I wondered, simply because I see you occasionally and had never seen him before, so at first I thought he was you. I wonder if there's a User:Nyttned running around?","I wondered, simply because I see you occasionally and had never seen him before, so at first I thought he was you. I wonder if there's a User:Nyttned running around?"
Wikipedia,77,677,566137,"Maybe I'm on crack, but in your edit summaries you're saying ""MT"" and ""Not MT"". What is MT an abbreviation for?","Maybe I'm on crack, but in your edit summaries you're saying ""MT"" and ""Not MT"". What is MT an abbreviation for?"
Wikipedia,78,678,82322,You support Scotland leaving the United Kingdom despite the fact most Scots do not? I am curious as to why?,You support Scotland leaving the United Kingdom despite the fact most Scots do not? I am curious as to why?
Wikipedia,79,679,511005,"&lt;person&gt;, whom you blocked for 3RR, is contesting their block with what appear to be defensible arguments. Would you like to comment?","<person>, whom you blocked for 3RR, is contesting their block with what appear to be defensible arguments. Would you like to comment?"
Wikipedia,80,680,630171,"Tell me, after your uni starts again, will you not be as present again? And when does it get over?","Tell me, after your uni starts again, will you not be as present again? And when does it get over?"
Wikipedia,81,681,45337,"Oh, lookee &lt;url&gt;: who put all the 'breakups' back with a blind revert???","Oh, lookee <url>: who put all the 'breakups' back with a blind revert???"
Wikipedia,82,682,98690,&lt;url&gt;. Are you planning to merge the info into &lt;url&gt; or just redirect to the article as is?,<url>. Are you planning to merge the info into <url> or just redirect to the article as is?
Wikipedia,83,683,429591,"Can you check if there was ever an article for ""Kenneth Eng""? It seems to have been deleted, if so could you supply me with an archive of the article?","Can you check if there was ever an article for ""Kenneth Eng""? It seems to have been deleted, if so could you supply me with an archive of the article?"
Wikipedia,84,684,197104,I've started an article called &lt;url&gt;. Would you be able to do a good intro paragraph?,I've started an article called <url>. Would you be able to do a good intro paragraph?
Wikipedia,85,685,25445,"I also have problems with a lot of the other recategorisation you have done to these articles, but I won't revert any more until I hear from you. Taking &lt;url&gt; as an example: why have you removed it from &lt;url&gt; when it clearly is a linear filter; why remove it from &lt;url&gt; when it forms part of image parameter theory; why does an article which discusses electronic designs not belong in &lt;url&gt;; why remove it from &lt;url&gt; when, obviously, it is a term?","I also have problems with a lot of the other recategorisation you have done to these articles, but I won't revert any more until I hear from you. Taking <url> as an example: why have you removed it from <url> when it clearly is a linear filter; why remove it from <url> when it forms part of image parameter theory; why does an article which discusses electronic designs not belong in <url>; why remove it from <url> when, obviously, it is a term?"
Wikipedia,86,686,554641,"Can I ask why you deleted this Article for Deletion as ""A3: Article has no meaningful, substantive content""? It obviously did have meaningful content; was there any reason it couldn't simply be closed like any other Article for Deletion?","Can I ask why you deleted this Article for Deletion as ""A3: Article has no meaningful, substantive content""? It obviously did have meaningful content; was there any reason it couldn't simply be closed like any other Article for Deletion?"
Wikipedia,87,687,626819,"When you say ""thrown off"" articles which tend to be in math, the sciences, IT, etc., do you mean making them inaccurate? Or do you mean they were helpful in creating them?","When you say ""thrown off"" articles which tend to be in math, the sciences, IT, etc., do you mean making them inaccurate? Or do you mean they were helpful in creating them?"
Wikipedia,88,688,630388,I agreed from my very first post on the first subject that it shouldn't be included yet you and the other user continued to misrepresent my position. Would you disagree with that?,I agreed from my very first post on the first subject that it shouldn't be included yet you and the other user continued to misrepresent my position. Would you disagree with that?
Wikipedia,89,689,379811,The thread at &lt;url&gt; ground to a halt. Any way to get this implemented?,The thread at <url> ground to a halt. Any way to get this implemented?
Wikipedia,90,690,331754,"I noticed you put ""NB"" and then the credit for the original picture that I cropped. What does ""NB"" stand for?","I noticed you put ""NB"" and then the credit for the original picture that I cropped. What does ""NB"" stand for?"
Wikipedia,91,691,59965,"Hi, not sure exactly what you are asking, the three web refs you list (IUCN, Birdlife, Audubon) all work fine for me, possible a server might have been down temporally, since these rarely give trouble otherwise? Or have I misunderstood your question?","Hi, not sure exactly what you are asking, the three web refs you list (IUCN, Birdlife, Audubon) all work fine for me, possible a server might have been down temporally, since these rarely give trouble otherwise? Or have I misunderstood your question?"
Wikipedia,92,692,610844,&lt;name&gt; has edited his post on the Wikipedia Review and is now lying about me. Did you see the actual post there before he changed it so you can back up my cut-n-paste of what it said?,<name> has edited his post on the Wikipedia Review and is now lying about me. Did you see the actual post there before he changed it so you can back up my cut-n-paste of what it said?
Wikipedia,93,693,253114,"I note you reverted my edit on &lt;url&gt;, quoting ""consensus"". What consensus?","I note you reverted my edit on <url>, quoting ""consensus"". What consensus?"
Wikipedia,94,694,481308,Hi.. I'd actually like to move all images in &lt;url&gt; to the Commons. Is there a way that I can do it myself?,Hi.. I'd actually like to move all images in <url> to the Commons. Is there a way that I can do it myself?
Wikipedia,95,695,434403,...just vandalized my page again. What level warning is appropriate?,...just vandalized my page again. What level warning is appropriate?
Wikipedia,96,696,217142,"I seem to have adopted this article, since country music and dance are interests of mine. Can you recommend an easy to use bot that would help me in keeping those unwanted links out of the article?","I seem to have adopted this article, since country music and dance are interests of mine. Can you recommend an easy to use bot that would help me in keeping those unwanted links out of the article?"
Wikipedia,97,697,620785,"I don't understand. So then you decide by yourself, and the people who stated their support for the original are ignored?","I don't understand. So then you decide by yourself, and the people who stated their support for the original are ignored?"
Wikipedia,98,698,466062,&lt;url&gt;. Who is Alan climate gore?,<url>. Who is Alan climate gore?
Wikipedia,99,699,307913,"Among the measures you described, it sounds as if the next thing to try is option-command-start and rebuild the desktop. Does rebuilding the desktop mean I'd get a blank and have to restore all the icons?","Among the measures you described, it sounds as if the next thing to try is option-command-start and rebuild the desktop. Does rebuilding the desktop mean I'd get a blank and have to restore all the icons?"
Wikipedia,100,700,621505,"I personally cannot see why it is justified, well not from a quick perusal of his edit history anyway. Can you explain please?","I personally cannot see why it is justified, well not from a quick perusal of his edit history anyway. Can you explain please?"
Wikipedia,101,701,599383,&lt;url&gt; is the featured article on the main page. Is that not supposed to be protected?,<url> is the featured article on the main page. Is that not supposed to be protected?
Wikipedia,102,702,261531,"I'm not sure what needs doing now, or if there are further modifications required (this is the first article I've ever nominated for GA). Is there anything you can point me in the direction of?","I'm not sure what needs doing now, or if there are further modifications required (this is the first article I've ever nominated for GA). Is there anything you can point me in the direction of?"
Wikipedia,103,703,209437,I clean up the &lt;url&gt; article a bit. What do you think?,I clean up the <url> article a bit. What do you think?
Wikipedia,104,704,568559,"Hi again, OK, say we don't go along the lines of Blair will go before the end of 2007; but we list the announced candidates for when Blair does resign (which will inevitably happen at some point). Do you think this would be any better/more suitable?","Hi again, OK, say we don't go along the lines of Blair will go before the end of 2007; but we list the announced candidates for when Blair does resign (which will inevitably happen at some point). Do you think this would be any better/more suitable?"
Wikipedia,105,705,210820,"Hi &lt;name&gt;., I just read through your RFA including your reform proposals. Could you take a look at &lt;url&gt;, a proposal I have developed which would give just the rollback tool to people who request it?","Hi <name>., I just read through your RFA including your reform proposals. Could you take a look at <url>, a proposal I have developed which would give just the rollback tool to people who request it?"
Wikipedia,106,706,615799,"kindly explain why did you remove my changes. The added links were quite relevant and informational, also The Vanguard Group and Hi5, why do you revert my edits?","kindly explain why did you remove my changes. The added links were quite relevant and informational, also The Vanguard Group and Hi5, why do you revert my edits?"
Wikipedia,107,707,143994,"Thanks for your recent edits on &lt;url&gt;, but what does ""inapplicable category"" (referring to &lt;url&gt;) in &lt;url&gt; mean? And why did you remove that category from &lt;url&gt;?","Thanks for your recent edits on <url>, but what does ""inapplicable category"" (referring to <url>) in <url> mean? And why did you remove that category from <url>?"
Wikipedia,108,708,439141,"Thanks. Are you Slashdot user Anothy by any chance, or someone else?","Thanks. Are you Slashdot user Anothy by any chance, or someone else?"
Wikipedia,109,709,475765,"Well, which is the given name in &lt;url&gt;? And which is the surname?","Well, which is the given name in <url>? And which is the surname?"
Wikipedia,110,710,437991,I'd like not to receive any notices from this bot on my talk page. Is there a way to do this?,I'd like not to receive any notices from this bot on my talk page. Is there a way to do this?
Wikipedia,111,711,220937,"Hi there, you entered info in the bio of &lt;url&gt;, saying he is related to &lt;url&gt;. Do you have any more info on the specific relationship, and also how they were related to &lt;url&gt; ?","Hi there, you entered info in the bio of <url>, saying he is related to <url>. Do you have any more info on the specific relationship, and also how they were related to <url> ?"
Wikipedia,112,712,620761,"I think that if you use an example paragraph, and show the options in a nowiki tag, it will make it easier for people to ""vote"" for the method they like. Make sense?","I think that if you use an example paragraph, and show the options in a nowiki tag, it will make it easier for people to ""vote"" for the method they like. Make sense?"
Wikipedia,113,713,533882,"Hi, Thank you for closing &lt;url&gt; as ""delete"", but much of the material immediately re-appeared at &lt;url&gt; (see &lt;url&gt;) so the questionable content hasn't been deleted at all. Can we do something about this?","Hi, Thank you for closing <url> as ""delete"", but much of the material immediately re-appeared at <url> (see <url>) so the questionable content hasn't been deleted at all. Can we do something about this?"
Wikipedia,114,714,620600,I'm not sure what you are asking here. Admins cannot check IPs but why would you even want the same IP that would be foolish wouldn't it?,I'm not sure what you are asking here. Admins cannot check IPs but why would you even want the same IP that would be foolish wouldn't it?
Wikipedia,115,715,69540,I believe I may have addressed (at least a substantial portion of) your comments. Could you weigh in again?,I believe I may have addressed (at least a substantial portion of) your comments. Could you weigh in again?
Wikipedia,116,716,391245,"My concern about the article above still stands (re: notability). Now that it has been unmerged (against the Article for Deletion), will it be merged into the Begin articles as suggested, or will it have to be renominated?","My concern about the article above still stands (re: notability). Now that it has been unmerged (against the Article for Deletion), will it be merged into the Begin articles as suggested, or will it have to be renominated?"
Wikipedia,117,717,559053,The block you created on April 18th has expired and a new rash of vandalism has broken out. Would you mind blocking this school for even longer than 1 month?,The block you created on April 18th has expired and a new rash of vandalism has broken out. Would you mind blocking this school for even longer than 1 month?
Wikipedia,118,718,496173,"It would seem to me that this category provides no overall benefit to wiki and only serves as another list of organizations which seem to be targeted by the generally negative tone of LGAT articles. Would it make more sense, or be more proper, to include the relevant categories on the individual articles themselves, rather than have an LGAT category?","It would seem to me that this category provides no overall benefit to wiki and only serves as another list of organizations which seem to be targeted by the generally negative tone of LGAT articles. Would it make more sense, or be more proper, to include the relevant categories on the individual articles themselves, rather than have an LGAT category?"
Wikipedia,119,719,414825,Seems to be down again. I assume this is nothing I can resurrect on my own when you have intermittent Internet access like this?,Seems to be down again. I assume this is nothing I can resurrect on my own when you have intermittent Internet access like this?
Wikipedia,120,720,232433,It should be deleted. Do you want to nominate it or should I?,It should be deleted. Do you want to nominate it or should I?
Wikipedia,121,721,624684,Another thing: &lt;url&gt; has created &lt;url&gt;. What do you think about it?,Another thing: <url> has created <url>. What do you think about it?
Wikipedia,122,722,1230,"Last month &lt;url&gt; was not promoted to Featured Article because, apparently, not enough people had taken the time to read and comment. If I nominate it again, will you read it (it's lengthy) and comment?","Last month <url> was not promoted to Featured Article because, apparently, not enough people had taken the time to read and comment. If I nominate it again, will you read it (it's lengthy) and comment?"
Wikipedia,123,723,451163,You &lt;url&gt; that you were working on an overhaul of the archiving system. Do you have any plans to start working on this again?,You <url> that you were working on an overhaul of the archiving system. Do you have any plans to start working on this again?
Wikipedia,124,724,618765,"Lunch sounds great, Rocket. Do you have an e-mail address I can use to get in touch with you?","Lunch sounds great, Rocket. Do you have an e-mail address I can use to get in touch with you?"
Wikipedia,125,725,245897,Thanks for the revert on &lt;url&gt;. Kinda curious how this blanking is always done by IPs that trace back to USAF installations isn't it?,Thanks for the revert on <url>. Kinda curious how this blanking is always done by IPs that trace back to USAF installations isn't it?
