Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,EN_10,EN_20,EN_30,EN_40,EN_50,EN_60,EN_70,EN_80,EN_90,EN_100,EN_110,EN_120,EN_130,EN_140,EN_150,EN_160,EN_170,EN_180,EN_190,EN_200,EN_210,EN_220,EN_230,EN_240,EN_250,EN_260,EN_270,EN_280,EN_290,EN_300,EN_310,EN_320,EN_330,EN_340,EN_350,CH_10,CH_20,CH_30,CH_40,CH_50,CH_60,CH_70,CH_80,CH_90,CH_100,CH_110,CH_120,CH_130,CH_140,CH_150,CH_160,CH_170,CH_180,CH_190,CH_200,CH_210,CH_220,CH_230,CH_240,CH_250,CH_260,CH_270,CH_280,CH_290,CH_300,CH_310,CH_320,CH_330,EN100,EN200,EN300,EN400,EN500,EN600,EN700,EN800,EN900,EN1000,EN1100,EN1200,EN1300,EN1400,EN1500,EN1600,EN1700,EN1800,EN1900,EN2000,EN2100,EN2200,EN2300,EN2400,CH100,CH200,CH300,CH400,CH500,CH600,CH700,CH800,CH900,CH1000,CH1100,CH1200,CH1300,CH1400,CH1500,CH1600,CH1700,CH1800,CH1900,CH2000,CH2100,CH2200,CH2300,CH2400,CH2500,CH2600,CH2700
36,159127,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?#",0,,,,,0,,12,,-2,,,,4,,0,,,,,0,,,,1,,,,,0,,,,-3,,,,,,9,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,596018,"Thanks for the help! That info should be on <url> in easy to read form, no?#",12,,,,,8,,12,,0,,,,5,,1,,,,,4,,,,2,,,,,12,,,,1,,,,,,7,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,421199,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?#",4,,,,,2,,10,,0,,,,2,,0,,,,,1,,,,3,,,,,0,,,,2,,,,,,8,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,621917,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?#",12,,,,,11,,11,,2,,,,4,,3,,,,,4,,,,-1,,,,,3,,,,3,,,,,,5,,8,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,62073,Fatwa? What is that?#,,,0,,,,,0,,12,,-1,,,,-3,,-1,,,,,-1,,,,0,,,,,-9,,,,-9,,,,,,8,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,535410,"I see. What about ""Main Church""?#",,,,0,,-1,,,8,,,2,,,,,,,2,,,1,,,,,,,,,,,,-1,,,,,,,1,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,580856,"Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?#",-4,,12,,,6,,,-1,,,,,,,-4,,,9,,,,,,,,,,,,6,,,,,,,0,,,6,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,607777,to the Citations missing template. What's the deal?#,,-6,,-9,,,6,,,-3,,,,,,,,,,-2,,,,,,,,,,,,0,,,,,,,4,,,0,,,0,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,277176,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?#",2,,12,,,3,,,1,,,,,,,-1,,,2,,,,,,,,,,,,3,,,,,,,0,,,10,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,134361,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?#,6,,6,,,12,,,0,,,,,,,6,,,9,,,,,,,,,,,,2,,,,,,,7,,,12,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,444059,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?#,7,,10,,,5,,,0,,,,,,,5,,,2,,,,,,,,,,,,1,,,,,,,0,,,6,,,-1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,38632,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?#",7,,-3,,,8,,,-2,,,,,,,1,,,2,,,,,,,,,,,,2,,,,,,,0,,,,,,0,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,133723,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?#",-3,,9,,,5,,,-5,,,,,,,-3,,,0,,,,,,,,,,,,-1,,,,,,,2,,,-3,,,0,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,209322,What do you think? And how does one go about establishing this project group?#,0,,11,,,12,,,0,,,,,,,-2,,,2,,,,,,,,,,,,0,,,,,,,0,,,0,,,0,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,369741,"I will understand if you decline, but would very much like you to accept. May I nominate you?#",12,,12,,,12,,,7,,,,,,,12,,,9,,,,,,,,,,,,8,,,,,,,-2,,,0,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,257936,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?#,-3,,,1,,,,-2,,,,,,9,-2,,,,,,,,,1,-5,,,,,,,,2,,,0,,,,-1,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
