Community,Num,Id,Request,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11
Wikipedia,1034,85552,"I have no idea how to explain that succinctly, though I'll probably write a couple of articles on the whole mess soon. Any idea how to incorporate that into the article?",1,4,1,6,6,,3,,,,
Wikipedia,1035,98588,The notion that a hunter would kill dozens of birds with a single shot seems outlandish to me.  Do you have a reference for this?,-2,2,-1,5,3,,7,,,,
Wikipedia,1036,98833,"I'm disappointed that your first response here was to revert me without discussion, and to assert a consensus that was not apparent.  Before you choose to revert me again, can you ''please'' participate in the discussion at WT:RD?",-11,-9,-1,10,-1,,10,,,,
Wikipedia,1037,99444,Hello. Can you please pass the pilot whale article?,4,4,1,8,9,,6,,,,
Wikipedia,1038,102052,"What you linked to looks good, but what was I supposed to compare it with again? Got a link?",2,3,1,10,5,,11,,,,
Wikipedia,1039,105723,I noticed your nice improvements to 'url'. Are you thinking of merging/redirecting 'url' to that article?,8,10,3,6,6,,2,,,,
Wikipedia,1040,109287,"You are so right, 'url' looks to be blatant advertising.  Why don't you put it up for 'url'?",2,6,0,2,6,,5,,,,
Wikipedia,1041,109807,"Can you please explain what the two fields you added to the table at 'url' are supposed to mean?  What ""reaction""?",3,6,0,9,3,,4,,,,
Wikipedia,1042,110401,Have you received the 1972 Encyclopedia of PNG you mentioned during the discussion about 'url'? Was there a detailed entry for Dagora?,7,7,1,-1,5,,3,,,,
Wikipedia,1043,119849,"I've noticed that you're engaged in several edit wars, with Meliniki, regarding minor alterations to multiple Greek language articles. Perhaps you should consider discussing the changes on Meliniki's 'url' instead?",10,5,0,5,4,,3,,,,
Wikipedia,1044,123039,"When creating 'url', I also had to create 'url', 'url' and 'url'. I was wondering if you could populate them?",4,5,4,5,3,,4,,,,
Wikipedia,1045,123350,if i send email to permissions-en@wikimedia.org is the email made public? where is it made public?,1,5,1,3,1,,2,,,,
Wikipedia,1046,123760,A question has come up whether 'url' was Jewish (see 'url').  Do you have any references that might help?,7,6,0,10,,,,,,,
Wikipedia,1047,125991,I wish I could find a better one but I don't think I know where one is I think the composition needs more information. Can you do that?,0,8,-2,5,,,,,,,
Wikipedia,1048,127846,"Listed by designation, new to me? have you a guideline or discussion reference for that?",1,,-3,5,,,,,,,
Wikipedia,1049,134176,Take a look at the most recent post to 'url'. Can you make a stub out of it?,0,6,-1,6,,,,,,,
Wikipedia,1050,136176,"Hi, I just couldn't understand 'url' ! Could you explain,please ?",2,3,7,9,,,,,,,
Wikipedia,1051,139091,"Hello Roman! If you have time, could you add a 'url' infobox (with census data) for 'url'?",7,8,8,8,,,,,,,
Wikipedia,1052,139788,"I pretty much agree with 'url', except I would like to know why you modified the see also section to be a hatnote. Doesn't 'url' have specific requirements for this?",2,-1,-2,2,,,,,,,
Wikipedia,1053,141299,"I did notice that some articles linked to the ones I worked on are now missing, which leaves a link hanging.  If you're going to delete articles, shouldn't someone clean up these broken links?",1,-4,-4,9,,,,,,,
Wikipedia,1054,143574,"Hi, just returned from a longer vacation where I was 100% offline and can look at it soon if it is not too late. What is the deadline?",7,7,1,7,,,,,,,
Wikipedia,1055,144161,I though it's better like that. Can you revert it?,1,6,1,4,,,,,,,
Wikipedia,1056,147665,"Due to your edits to this template, 'url' is now required on all transclusions.  Are you running a bot to clean this up?",-1,2,-1,4,,,,,,,
Wikipedia,1057,153742,An article about a craver named 'url' needs some work. Can you clean the article up?,0,1,1,6,,,,,,,
Wikipedia,1058,153809,That user 'url' moved 'url' page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,4,6,-2,4,,,,,,,
Wikipedia,1059,153974,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the 'url' article.  Do you have any source that supports this?",1,6,1,2,,,,,,,
Wikipedia,1060,155694,"I see you've added 'url' to the category ""Jewish-Canadians"".  What is your source for this?",1,3,-5,7,,,,,,,
Wikipedia,1061,157019,You've contributed a lot to Puget Sound area articles.  Would you be willing to take a look at the debate I'm having at 'url' and do whatever you think is best?,10,11,4,,4,,,,6,11,5
Wikipedia,1062,157481,"Do you have any thoughts on renaming the page to reflect that the notability (and most of the content) is about the labor dispute/takeover, etc. than the company itself?",3,4,1,,3,,,1,5,5,3
Wikipedia,1063,159734,I'm currently considering nominating you for adminship at 'url'. Are you interested?,1,6,5,,4,,,1,5,13,-1
Wikipedia,1064,165714,"I'm trying to install Lupin/Anti-vandal tool, but im stuck. Could you help please?",6,6,8,,6,,,1,6,13,3
Wikipedia,1065,168298,The main article needs a facelift. Do you want to make suggestions?,1,5,-4,,1,,,0,5,11,4
Wikipedia,1066,169878,Because I haven't seen it; I'm not even sure from the discussion whether it's on or off Wikipedia. Can you supply a link or a reference?,1,4,-6,,2,,,1,4,1,4
Wikipedia,1067,174873,I think the 'url' would be more precise and accurate as 'url'. What sayest thou?,2,-1,-7,,,,,-1,1,5,-2
Wikipedia,1068,177451,"Are you saying that Scotty was being ""hot-headed""?  If so, can you please tell us what Scotty did that was ""hot-headed""?",2,0,-2,,0,,,2,5,-5,4
Wikipedia,1069,193182,"Why the removal of the citation dealing with coriolis?  Was the proof not within the citation, or was the citation not considered primary?",1,0,1,,4,,,-1,-5,-7,-3
Wikipedia,1070,194790,You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,3,2,3,,7,,,1,6,-8,4
Wikipedia,1071,196624,I would like to create a few plots. Where can I access the geologic temperature record raw data?,2,5,-2,,2,,,4,3,13,-6
Wikipedia,1072,196952,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",2,6,4,,4,,,0,-4,5,-4
Wikipedia,1073,199732,"No more saga! Help me by keeping this page the way it is right now, alright?",-5,-1,-6,,-3,,,3,-5,-11,-11
Wikipedia,1074,199817,"Who is going to contact all of the users?  Is a bot being set to do that in the event it's necessary, or is it being done manually?",1,4,2,,0,,,3,1,3,-3
Wikipedia,1075,201885,I thought we had all agreed that the lead is fine as it is.  What is the sentence supposed to mean?,1,1,-6,,3,,,2,1,-3,-7
Wikipedia,1076,209080,"What exactly are the rules on this page? Can stuff be added without discussion and ""consensus""?",-3,-9,-4,4,-1,,,-8,-2,-11,
Wikipedia,1077,210924,"In the 'url' article, is polar mount correct?  It might be improved by a bit more detail about how it works, perhaps?",8,7,0,2,-5,,,-2,1,-2,
Wikipedia,1078,213945,Thanks for the note about my work on the above line. Would you mind if I copied and pasted your version over to mine to work on?,8,7,0,3,10,,,9,8,13,
Wikipedia,1079,215346,"I was reading the article reverse overshot wheel, but I can't find anything about the ""reverse"" part. Can you expand this?",0,3,0,9,1,,,1,4,3,
Wikipedia,1080,216645,"No problem, It was open and shut 'url' issue. For your next project can you find something that doesnt make your fanclub at the Wikipedia Review angry?",0,-7,-3,5,5,,,-2,2,-11,
Wikipedia,1081,221905,I don't know why claim that you reverted vandalism (rv edit summary) when to me they appeared to be good faith edits. What exactly was the vandalism?,0,-2,-1,7,-6,,,-1,5,-11,
Wikipedia,1082,225961,"So, now that it's clear there's no moratorium, you now think it's controverial?  Can you explain why?",0,2,-2,7,3,,,-1,1,-11,
Wikipedia,1083,231869,These two factors make me think that Indian ice-cream is a better name for the article than sxusem.  What are your thoughts on this?,1,6,1,8,1,,,3,4,1,
Wikipedia,1084,234095,"On 'url' about the Chinese sex imbalance, you accused either the OP or the first responder (me) of 'url'. Could you explain why you thought either of us was advocating, opining, or recruiting, in a way that diminished the quality of the reference desk?",2,0,-1,7,,,,-3,1,-11,
Wikipedia,1085,234547,"Hey US, I added a rationale to why the project was looking to create its own criteria.  Could you take a look at it and see if it changes your mind?",9,8,0,9,3,,,-4,8,9,
Wikipedia,1086,237529,"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",7,1,-2,11,2,,,-9,5,-11,
Wikipedia,1087,238442,"Yet you did violate 'url' and could be blocked right now. If that edit recurred, would you revert it again?",-4,3,-1,7,3,,,-8,5,-11,
Wikipedia,1088,250689,"Third: it's August 31 2010. Please check my userpage for reasons why I really don't feel useful today. Ask another admin, okay?",-10,-6,-8,8,-7,,,-9,7,-11,
Wikipedia,1089,252731,"Hey, can you block this moron from editing the IIHF Page? Or what can i do in such cases?",-9,3,1,-1,-11,,,-9,4,-11,
Wikipedia,1090,253209,Thanks for that - very nicely commented code (rare to see)! It seems to need a table to be set up - do you have the schema or sql for that handy?,8,12,4,5,8,,,-1,7,13,
Wikipedia,1091,253511,Hi. What was wrong with the Autamata page?,-5,-3,-1,,,8,,-6,,,5
Wikipedia,1092,260538,I have absolutely no idea what you are talking about.  Please be more precise?,-8,-1,0,,,9,,-7,,,5
Wikipedia,1093,264041,I refer you to my last answer about independent sources. Do you have press coverage?,1,5,0,,,4,,1,,,2
Wikipedia,1094,264811,"I.m keen to see your recent abbey article on the main page, but there are no references. Can this be fixed?",0,8,1,,,8,,-4,,,-4
Wikipedia,1095,275128,"I dunno, but this one reeks of that banned user 'url' - same mark-as-minor edits, same targets. Care for a look at this?",3,1,-1,,,5,,-5,,,-8
Wikipedia,1096,279097,Ok I've moved 'url' back to 'url'. Oleg you want to write something on the talk page about the move?,,6,-3,,,4,,2,,,-4
Wikipedia,1097,282732,Somebody keeps moving the Shannan Prefecture to Lhoka Prefecture. What is your view on this?,1,7,2,,,8,,7,,,6
Wikipedia,1098,288161,I've now supplied a free image on 'url' (thanks for motivating me to do so!). Could you perhaps consider your reassessment of the article?,10,12,-1,,,10,,10,,,5
Wikipedia,1099,291911,I see you've given her a code name in 'url'. Where did you run across this tidbit?,,4,-2,,,7,,,,,1
Wikipedia,1100,295219,"oh, my, how did I get this here twice; trying to do too much at once (what else is new).  Can you copy instead a different color?",4,6,-3,,,6,,-6,,,2
Wikipedia,1101,298086,Latest version (now on  Commons); all placenames included but still needs some tidying up and  tweaking. Comments?,1,5,0,,,7,,-10,,,3
Wikipedia,1102,299080,I see that you don't have an account linked to the Wikipedia email. Would you be able to send me a message so that we can talk off Wikipedia?,9,10,5,,,7,,11,,,6
Wikipedia,1103,299306,"Sorry, its not immeadiately obvious why thats a revert. Can you clarify?",4,5,0,,,4,,4,,,-1
Wikipedia,1104,299583,"Hello, csloat. What is your response to my suggestion 'url'?",-1,2,-3,,,3,,-2,,,2
Wikipedia,1105,305475,"Hey, I noticed you protected the article 'url' from being recreated. Will you be able to reverse that If I recreate the article with sourced, factual, real world content?",5,11,1,,,7,,7,,,3
Wikipedia,1106,311058,There's an interesting discussion here: 'url'. Care to explain?,3,3,-7,6,,5,7,,,,
Wikipedia,1107,317346,"Hi, welcome to Wikipedia.  Could you explain in your 'url' just '''''what''''' a Universiade is?",4,9,-3,4,,8,3,,,,
Wikipedia,1108,323592,"I've just seen your message on my Talk page.  Why do you want the disambiguation page to be the one that doesn't say ""disambiguation""?",1,4,-1,5,,6,10,,,,
Wikipedia,1109,325216,"Hello, I and a few others have made many edits to 'url'.  Do you have any more comments and can you be persuaded to change your vote?",4,1,6,4,,9,4,,,,
Wikipedia,1110,333023,You may want to look at the nomination.  What did you intend to do?,1,1,-2,4,,9,7,,,,
Wikipedia,1111,335369,I just noticed you've added me as a sock puppet for Blue Sea? Can I ask what led you to this conclusion?,2,,-4,5,,9,3,,,,
Wikipedia,1112,339348,"All the images are on the right side, which means they sometime clash and push the text away from itself. Have you considered moving some images to the left to stop this?",3,7,-5,11,,9,10,,,,
Wikipedia,1113,339977,"I have found a better citation for reference 7, but am not sure how to insert the page number (p. 97 from the book cited).  Do you know the right format for this?",2,12,10,9,,10,5,,,,
Wikipedia,1114,344363,pls see my comments on your revert on the talk page.  Perhaps you'll consider undoing my revert?,4,6,3,6,,7,9,,,,
Wikipedia,1115,344970,Do you mean article edits with sock puppets? Could you give me more precise examples?,6,2,6,8,,7,9,,,,
Wikipedia,1116,345103,"Why tag for deletion? It was obviously a new user's attempt at creating a disambiguation page, why not clean it up?",-1,2,-6,2,,4,4,,,,
Wikipedia,1117,345879,Where did you get the tracklist for the album? Can you please drop me a messafe with the link?,2,4,-5,3,,10,3,,,,
Wikipedia,1118,347262,"I removed that second paragraph entirely, since the information is covered in the article.  Do you feel that the lead should be larger?",5,6,-5,10,,10,2,,,,
Wikipedia,1119,348668,I noticed you just removed this category from 'url' and 'url'. Why don't you think they qualify as historical films?,1,3,-5,4,,6,3,,,,
Wikipedia,1120,350274,"When JaGaBot updated the monthly challenge winners on 'url', it stripped the image. Could the bot be fixed to leave the image?",1,3,7,7,,5,1,,,,
Wikipedia,1121,353762,Why are capital letters used in the article title '''url'''? Is this a proper name of a particular proprietary software package?,-1,3,1,7,3,,3,-6,6,-11,
Wikipedia,1122,355141,My contribution tried to show the impression to others I'am only trying to improve spelling. What's the difference between personel and persona?,1,6,1,2,4,,4,4,11,2,
Wikipedia,1123,355369,"Right, but not all of it. So can you retrieve it or not?",-11,3,0,2,0,,13,-5,5,-11,
Wikipedia,1124,356288,Hi im currently compiling a college project on unreliable information and would like to view the deleted article Dudley O'Neill. Can you help?,3,10,2,2,4,,12,-4,5,-5,
Wikipedia,1125,358145,"My page now has a template of ""multiple issues"", but I have put in several references, and there are links to other pages.  What more should I do?",1,12,1,6,-1,,6,-11,5,3,
Wikipedia,1126,358773,"Hey, did you ever read over the material I laid out for you - content as well as ideas for organization of an article?  Any feedback?",-1,7,1,7,0,,12,-4,7,-11,
Wikipedia,1127,359316,"Zero has taken a break from Wikipedia, and RK has recused himself from editing controversial articles.  Why don't you and I fix up the 'url' article now?",1,10,-3,3,-3,,6,2,-2,-5,
Wikipedia,1128,360251,"On that topic, not every DOS game on Wikipedia has a screenshot. Do you plan on taking any yourself?",1,5,-1,0,-1,,4,7,8,1,
Wikipedia,1129,362361,Did you just revert back to the old article? Or did I do something wrong with the move?,2,5,1,7,-3,,7,1,7,-7,
Wikipedia,1130,364742,"at the end of the <nowiki><head> </head></nowiki>. Could that be fixed again, please?",4,10,8,7,3,,12,7,5,-9,
Wikipedia,1131,369400,"Your comment about ""the additions were left intact as a courtesy"" sounds a bit strange to me. Maybe you should read 'url'?",-2,4,1,5,2,,3,5,-5,-11,
Wikipedia,1132,379713,Looks like 'url' (the one missing the side-chain) is unused and doesn't seem useful (due to that structural flaw). Maybe tag it for deletion?,4,7,1,7,2,,5,6,7,2,
Wikipedia,1133,379823,"I get the error message ""sorry, not enough content to play this station"". Can you explain a bit what your code do, and does this need an account on Lastfm or something else ?",1,12,-1,9,6,,10,-10,-3,-6,
Wikipedia,1134,379987,It's a shame that 'url' still needs repair.  What do you think?,1,7,1,9,5,,6,-8,6,-1,
Wikipedia,1135,383875,As someone who has edited 'url' you might be interested to see that it has been suggested for deletion (or some other form of bastardization).  Care to join in the discussion?,4,9,-1,6,-1,,3,3,3,13,
Wikipedia,1136,384109,I feel 'url' is a personal attack against me. Can you please remove it for me per 'url'?,2,4,-2,,,12,,4,,-4,2
Wikipedia,1137,385164,"FloraBase has an entry for this, but no other information.'url' Know anything about it?",-1,7,-1,,,7,,-3,,-8,-6
Wikipedia,1138,385974,That link just takes me to the arbcom main page. Are you intending to link me to something else?,1,4,-4,,,7,,-1,,-8,3
Wikipedia,1139,387960,"I have never heard of the 1933 ""freakish heat flash"" in Coimbra, Portugal. Will you please provide some sources that you used for forming such a conclusion?",4,4,-1,,,10,,-3,,-6,2
Wikipedia,1140,389573,"That was nice work you did improving the reference I added. I still have to learn that, can you show me?",3,9,1,,,7,,-6,,4,2
Wikipedia,1141,391212,"The link to Sciencedude by Gary Robbins: Obituary of Joel Hedgpeth, which I believe you added, no longer includes the obituary.  Can you up-date the link?",0,4,-5,,,5,,,,-9,4
Wikipedia,1142,393977,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",9,8,5,,,7,,5,,2,3
Wikipedia,1143,394295,I am not sure why 'url' is not just in the article 'url' as a straight table. Is there some chance the template might be used on another article?,7,8,4,,,8,,-6,,-2,4
Wikipedia,1144,394690,You deleted Ricardo Marinello. What was written in the article?,-2,4,-3,,,12,,-9,,-11,5
Wikipedia,1145,395661,I had a look at the place noted on the top of the talk page about 1rr and I was unable to find the sanction you talked about. Where is it listed please?,4,5,4,,,9,,-6,,-11,5
Wikipedia,1146,396333,"Yes, this is a nice illustration. I'd love to have a look of the code; is it possible for you to mail it to me?",6,12,6,,,5,,-5,,11,3
Wikipedia,1147,397366,"Hi, I reverted vandalism on a couple of your subpages that you transclude in your main userpage. Do you want me to semi-protect them (your subpages) so that it is more difficult for vandals to subtly vandalize you?",,8,3,,,8,,9,,9,6
Wikipedia,1148,397562,Please explain this 'url'. Is there a valid reason why this image was removed?,-5,-3,-1,,,8,,-6,,-9,3
Wikipedia,1149,407369,"I replied... also, are you watching that page?  If so, I will stop bothering you here?",1,2,-3,,,11,,-5,,-8,5
Wikipedia,1150,417587,"Also - for some reason images on image pages now appear in full size when I view them, rather than more convienient viewing sizes. Do you know how I can fix this?",2,6,1,,,4,,6,,-2,6
Wikipedia,1151,419038,"Hmmm, Dev, Jet123's nom doesn't really count as your second one, right? I can overwrite it?",3,2,-6,,,,,,4,,-8
Wikipedia,1152,419907,"I have also put speedy delete tags on 'url' and 'url'.  Was there any particular reason to move your user/user talk pages to that name, and back again?",3,5,1,,,,,,1,,-7
Wikipedia,1153,421270,Are you saying that Racepacket attempted to contact Laura's employer? When and where did this happen?,1,1,0,,,,,,-5,,-3
Wikipedia,1154,423432,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",1,6,1,,,,,,10,,-4
Wikipedia,1155,423536,"And what, may I ask, is ''your'' relationship to Hammersoft? How did you come upon this matter?",7,-1,1,,,,,,,,-8
Wikipedia,1156,423540,I went to 'url' and couldn't find it. Can you provide a link?,2,2,1,,,,,,8,,2
Wikipedia,1157,426769,"Hi, I hadn't realized that you had made a revert on redirecting this.  Could you see my comments on 'url'?",4,7,-2,,,,,,0,,-8
Wikipedia,1158,428392,I have an email from the owner of this image that your BOT deleted.  Can you please restore this and I can send in the email granting me permission to post?,2,6,3,,,,,,6,,2
Wikipedia,1159,431479,"I would like to do the same for 'url', a Houston neighborhood. How do I do this?",2,7,1,,,,,,5,,-4
Wikipedia,1160,438343,"Hello, I noticed you recently did a lot of work on the '''url''' page. I was wondering if you know of the origin of the word ""Nassarius"" - its etymology/ what is it named after?",1,9,-2,,,,,,3,,-3
Wikipedia,1161,438448,Understood. Do you know of any legal expert you could contact to clarify this issue?,3,5,1,,,,,,0,,-6
Wikipedia,1162,439715,"Hello again. Could you move this to 'url', please?",2,5,9,,,,,,11,,2
Wikipedia,1163,442925,Why on earth have you deleted the article on the 'url'?  Can you please undelete it?,-10,-7,-7,,,,,,-5,,-9
Wikipedia,1164,446166,I note that you've edited since this was brought up here. Could you please respond?,-1,5,6,,,,,,10,,6
Wikipedia,1165,448921,"Hey, I just noticed 'url', and something doesn't seem right. What should be done?",4,8,-2,,,,,,1,,-8
Wikipedia,1166,454457,"Hi Deb, I created the page which was deleted which I hoped could have been a stub starting point for building up a better and more detailed article about the organisation. Could you offer some advice on how I could have made it better and have avoided deletion?",10,13,6,,,,,-3,6,13,
Wikipedia,1167,456164,The large coat of arms is still be commented on. Maybe you can lend a word or two?,8,8,2,,,,,2,4,7,
Wikipedia,1168,458314,You know there's no excuse for the edits you're making related to your position at 'url'. This has to go to 'url'; would you like to make the report?,-2,4,3,,,,,3,3,-3,
Wikipedia,1169,460261,"My edit on 'url' was written by me, not copied from a forum. Out of curiousity, which forum copied my post on Wikipedia?",2,8,-2,,,,,-6,4,-11,
Wikipedia,1170,460480,"I thought that I should tell you that I created a new SVG version of the Wikipedia logo, located 'url'. It has a few problems, could you help me with it?",10,6,6,,,,,-7,8,4,
Wikipedia,1171,466813,"Some time ago you uploaded an image of the Knowledge Navigator, which was speedied some time later. Can you upload the file again?",3,5,1,,,,,0,0,3,
Wikipedia,1172,471521,Have a look at the changes. Do you think they will break anything?,0,8,1,,,,,-1,1,-11,
Wikipedia,1173,476471,The primary meaning is not formatted well here. Care to take a shot at it?,2,4,-2,,,,,4,5,13,
Wikipedia,1174,476584,Something's still not right with me here. Think you can perform one of those cleanups?,0,8,-1,,,,,2,5,2,
Wikipedia,1175,476673,Either 'url' is really misinterpreting the guidelines or I missed out on something. Care to shed light here?,1,6,-1,,,,,-2,3,13,
Wikipedia,1176,478167,"<person>, with whom you discussed linkspam in 2006, has returned. Could you offer your views on his talkpage?",4,7,6,,,,,0,5,13,
Wikipedia,1177,480295,"I ""voted"" weak keep, based on what I've found.  Can you comment?",0,5,-2,,,,,2,3,-3,
Wikipedia,1178,489092,"You deleted this, but somehow it still shows up on the parent category's page 'url'.  Is this normal and/or can you fix this?",0,6,-5,,,,,0,4,-11,
Wikipedia,1179,492399,"Hello - someone moved 'url' to a new title with diacritics - and a hyphen, which nobody in the talk page had ever discussed. How does one undo that?",-1,7,-2,,,,,-1,9,0,
Wikipedia,1180,493880,Without information about the source and whether it's a free use or fair use picture it can't be used under the Wikipedia rules. Do you have this information?,-1,3,-1,,,,,-2,4,5,
Wikipedia,1181,494638,"I never received any notification of any deletion proposal, lest I would have contested. Is there any way to find the original proposal and/or artical, or has it just been sent to oblivion?",4,8,3,,,,3,,,10,6
Wikipedia,1182,499757,Welcome to WikiProject Austria. I'm wondering if you're willing to coordinate the project for a while?,7,7,8,,,,12,,,13,11
Wikipedia,1183,500319,"You added managerial stats but they state Ferguson only managed St.Mirren for 12 games.  That's too few given he was there for 4 years, please can you fix?",1,7,0,,,,8,,,-7,6
Wikipedia,1184,505413,I notice that you are using a very old version of my monobook script. Have you considered updating it?,5,4,-3,,,,6,,,2,-2
Wikipedia,1185,505765,Your bot has ruined the formatting on ref 2 in 'url'. Would you care to either call off the bot or suggest an alternate formatting that will work better?,4,-3,-5,,,,-11,,,-11,4
Wikipedia,1186,507179,"You may not remember doing this but, you erased a page entitled, Earl Newton.  Why did you do it?",-9,1,-3,,,,4,,,-11,-9
Wikipedia,1187,507499,"url' is telling me that your talk page and 'url' supposedly both link there, but I can't find them for the life of me. Any ideas?",2,3,1,,,,12,,,2,3
Wikipedia,1188,508961,"I hope I am now signed on and you remove the erroneous vandalism report. Don't you think it would be more politic to send a message with a question than to preemptorily declare an edit ""vandalism""?",3,-7,-4,,,,-11,,,-11,3
Wikipedia,1189,513103,"It isn't clear to me that he knew WHO Amorrow was, someone has left a message that will hopefully set him straight. Do you have a link to the blog?",1,2,1,,,,5,,,1,2
Wikipedia,1190,513734,"Hi, thanks for moving three of the Brussels municipalities. Could you move 'url' to 'url' as well?",4,4,6,,,,13,,,13,2
Wikipedia,1191,517632,"Are you there? I just posted YAP, Yet Another Plea, on 'url', might you wish to pitch in with something technical or at least magisterial?",4,6,3,,,,13,,,2,6
