Community,Num,Num,Id,Request,Type,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,EN15,EN16,EN17,EN18,EN19,EN20,EN21,EN22,EN23,EN24,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27
Wikipedia,6,606,488320,"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",Rating,-7,,,2,,,,,1,,,,0,,0,,,,3,,,,,,,,,,,0,,2,,,-1,,,,,2,,,,-1,,,,2,,-4,5
Wikipedia,6,606,488320,"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",Highlight,"10: May,11: be,12: you,13: want,14: to,15: make",,,"10: May,11: be,12: you",,,,,"1: Hi,,2: we,3: worked",,,,"1: Hi,,10: May,11: be",,20: <url>?,,,,"1: Hi,,9: together.,10: May",,,,,,,,,,,"10: May,11: be,12: you,13: want",,"10: May,11: be,12: you,13: want,14: to,15: make,16: a,17: look,18: on,19: my",,,"10: May,11: be,12: you,13: want,14: to,15: make,16: a,17: look,18: on,19: my,20: <url>?",,,,,"10: May,11: be,12: you,13: want",,,,"2: we,10: May",,,,"1: Hi,,10: May,11: be",,"10: May,11: be","1: Hi,,10: May,11: be,12: you,13: want,14: to"
Wikipedia,7,607,619476,"Well, as you <name> my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?",Rating,-1,,,-6,,,,,-9,,,,-1,,0,,,,-1,,,,,,,,,,,-4,,-4,,,-5,,,,,1,,,,-3,,,,-1,,-6,-5
Wikipedia,7,607,619476,"Well, as you <name> my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?",Highlight,"23: do,24: you,25: not,26: find,27: it,28: interesting",,,"1: Well,,2: as,3: you,8: OR,23: do,24: you,25: not,36: sourced),,44: unsourced?",,,,,"22: Secondly,,23: do,24: you,25: not,26: find,27: it,28: interesting,29: that",,,,"1: Well,,2: as,3: you,4: <name>,5: my,6: standards",,44: unsourced?,,,,"11: strict,,22: Secondly,,40: remove",,,,,,,,,,,"22: Secondly,,23: do,24: you,25: not,26: find,27: it,28: interesting,29: that,30: Arrow,31: only,32: removes,33: Muhammad,34: (who,35: is,36: sourced),",,"22: Secondly,,23: do,24: you,25: not,26: find,27: it,28: interesting,29: that",,,"38: does,39: not,40: remove,41: Archimedes,42: who,43: is,44: unsourced?",,,,,"23: do,24: you,25: not,26: find,27: it,28: interesting",,,,"25: not,31: only",,,,"23: do,24: you,25: not,26: find,27: it,28: interesting",,"22: Secondly,,23: do,24: you,25: not,26: find,27: it,28: interesting","1: Well,,23: do,24: you,25: not"
Wikipedia,8,608,385875,"You are talking about direktor, right? He begin the edit war again, as seen by diffs, so C was blocked instead of direktor, see?",Rating,-10,,,-2,,,,,0,,,,1,,0,,,,3,,,,,,,,,,,-2,,-3,,,-3,,,,,-2,,,,-1,,,,-2,,-2,-8
Wikipedia,8,608,385875,"You are talking about direktor, right? He begin the edit war again, as seen by diffs, so C was blocked instead of direktor, see?",Highlight,"5: direktor,,6: right?,23: direktor,,24: see?",,,"6: right?,13: as,14: seen,15: by,24: see?",,,,,"1: You,2: are,3: talking,4: about",,,,"6: right?,24: see?",,24: see?,,,,"6: right?,24: see?",,,,,,,,,,,6: right?,,24: see?,,,24: see?,,,,,"1: You,2: are,3: talking",,,,24: see?,,,,"6: right?,24: see?",,24: see?,"1: You,2: are,6: right?,24: see?"
Wikipedia,9,609,420251,"I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?",Rating,-10,,,-4,,,,,-4,,,,-1,,0,,,,-2,,,,,,,,,,,-6,,-2,,,-5,,,,,-2,,,,-2,,,,-2,,-11,-9
Wikipedia,9,609,420251,"I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?",Highlight,20: ''I'',,,"1: I,2: certainly,3: think,15: Are,16: you,17: complaining,20: ''I''",,,,,"15: Are,16: you,17: complaining,18: about,19: something,20: ''I'',21: did?",,,,"20: ''I'',21: did?",,21: did?,,,,"2: certainly,14: fickle.,20: ''I''",,,,,,,,,,,17: complaining,,17: complaining,,,"15: Are,16: you,17: complaining,18: about,19: something,20: ''I'',21: did?",,,,,"15: Are,16: you,17: complaining",,,,17: complaining,,,,"15: Are,16: you,17: complaining,18: about,19: something,20: ''I'',21: did?",,"17: complaining,20: ''I''","1: I,2: certainly,3: think,15: Are,16: you,17: complaining,18: about,19: something,20: ''I'',21: did?"
Wikipedia,10,610,263166,"Thanks for the copyedit. Rather than waiting for the PR rigamarole, do you think it meets GA criteria and should I submit it?",Rating,0,,,4,,,,,3,,,,3,,0,,,,0,,,,,,,,,,,-1,,9,,,1,,,,,2,,,,4,,,,2,,5,-1
Wikipedia,10,610,263166,"Thanks for the copyedit. Rather than waiting for the PR rigamarole, do you think it meets GA criteria and should I submit it?",Highlight,1: Thanks,,,"1: Thanks,12: do,13: you,14: think,20: should,21: I",,,,,1: Thanks,,,,"1: Thanks,12: do,13: you,14: think",,23: it?,,,,"1: Thanks,12: do,13: you",,,,,,,,,,,1: Thanks,,"1: Thanks,12: do,13: you",,,"12: do,13: you,14: think,15: it,16: meets,17: GA,18: criteria,19: and,20: should,21: I,22: submit,23: it?",,,,,"1: Thanks,2: for,12: do,13: you,14: think",,,,1: Thanks,,,,"1: Thanks,2: for,3: the,4: copyedit.",,"1: Thanks,5: Rather,6: than,12: do,13: you,14: think","1: Thanks,12: do,13: you,14: think,20: should,21: I"
Wikipedia,11,611,621975,Very nice. How could I doubt you?,Rating,,,,0,,,,,2,,,,,,3,,,6,,4,,,,,,,,,,,,1,,,,,1,,,,,,5,,0,,,,,,-6
Wikipedia,11,611,621975,Very nice. How could I doubt you?,Highlight,,,,"1: Very,2: nice.,3: How,4: could,5: I",,,,,"1: Very,2: nice.",,,,,,"1: Very,2: nice.,6: doubt",,,2: nice.,,"4: could,5: I,6: doubt",,,,,,,,,,,,"1: Very,2: nice.",,,,,"1: Very,2: nice.",,,,,,"1: Very,2: nice.",,"1: Very,2: nice.,3: How,4: could,5: I,6: doubt,7: you?",,,,,,"3: How,4: could,5: I,6: doubt,7: you?"
Wikipedia,12,612,385786,"Working on it - sent an email to the people at the Cambridge U Library to see if they know where it's from. In the meantime, could you check with Jappalang that his concern about the infobox image has been addressed?",Rating,,,,-2,,,,,3,,,,,,-1,,,0,,3,,,,,,,,,,,,4,,,,,3,,,,,,4,,1,,,,,,-3
Wikipedia,12,612,385786,"Working on it - sent an email to the people at the Cambridge U Library to see if they know where it's from. In the meantime, could you check with Jappalang that his concern about the infobox image has been addressed?",Highlight,,,,"1: Working,2: on,3: it,4: -,24: In,25: the,26: meantime,,27: could,28: you",,,,,"39: has,40: been,41: addressed?",,,,,,41: addressed?,,,34: concern,,"19: they,20: know,21: where",,,,,,,,,,,,"24: In,25: the,26: meantime,,27: could,28: you,29: check,30: with,31: Jappalang,32: that,33: his,34: concern,35: about,36: the,37: infobox,38: image,39: has,40: been,41: addressed?",,,,,"27: could,28: you",,,,,,"1: Working,2: on,3: it,27: could",,"27: could,28: you,29: check",,,,,,"27: could,28: you"
Wikipedia,13,613,256896,"Btw, what's ""WPC MOS"", and where/when was it decided that we don't use volume indicators? Why is this, and how do we distinguish between different volumes of series when mentioning issue numbers?",Rating,,,,-1,,,,,1,,,,,,0,,,3,,6,,,,,,,,,,,,3,,,,,-4,,,,,,-5,,0,,,,,,0
Wikipedia,13,613,256896,"Btw, what's ""WPC MOS"", and where/when was it decided that we don't use volume indicators? Why is this, and how do we distinguish between different volumes of series when mentioning issue numbers?",Highlight,,,,"2: what's,6: where/when,7: was,8: it,9: decided,16: Why,17: is,18: this,,20: how",,,,,"16: Why,17: is,18: this,,19: and,20: how,21: do,22: we,23: distinguish,24: between,25: different,26: volumes,27: of,28: series",,,,,,"1: Btw,,6: where/when",,,16: Why,,"3: ""WPC,4: MOS"",,5: and,6: where/when,7: was,8: it,9: decided,10: that,11: we,12: don't,13: use,14: volume,15: indicators?,16: Why",,,,,,,,,,,,"20: how,21: do,22: we,23: distinguish,24: between,25: different,26: volumes,27: of,28: series,29: when,30: mentioning,31: issue,32: numbers?",,,,,"16: Why,17: is,18: this,,19: and,20: how,21: do,22: we",,,,,,"1: Btw,,2: what's,6: where/when,16: Why,20: how",,"2: what's,16: Why,20: how",,,,,,"6: where/when,7: was,8: it,9: decided,16: Why,17: is,18: this,,20: how,21: do,22: we"
Wikipedia,14,614,55189,"Hi - there are a few issues that I've pointed out at the nomination page. Also, why does your sign link to the talkpage of <url>?",Rating,,,,-1,,,,,-1,,,,,,-1,,,-1,,2,,,,,,,,,,,,0,,,,,-2,,,,,,-6,,-1,,,,,,-2
Wikipedia,14,614,55189,"Hi - there are a few issues that I've pointed out at the nomination page. Also, why does your sign link to the talkpage of <url>?",Highlight,,,,"7: issues,8: that,9: I've,10: pointed,16: Also,,17: why",,,,,"4: are,5: a,6: few,7: issues,16: Also,,17: why,18: does,19: your",,,,,,"1: Hi,16: Also,",,,7: issues,,"1: Hi,2: -,3: there,4: are,5: a,6: few,7: issues,8: that,9: I've,10: pointed,11: out,12: at,13: the,14: nomination,15: page.,16: Also,,17: why,18: does",,,,,,,,,,,,"17: why,18: does,19: your,20: sign,21: link",,,,,"16: Also,,17: why,18: does,19: your",,,,,,"16: Also,",,"1: Hi,3: there,4: are,5: a,6: few,7: issues,17: why",,,,,,"1: Hi,9: I've,10: pointed,11: out,17: why,18: does,19: your,20: sign"
Wikipedia,15,615,511695,Hi. Is there no chance that you could take a photograph of RCMP officers in the uniform we don't have a picture of?,Rating,,,,2,,,,,2,,,,,,-3,,,1,,5,,,,,,,,,,,,2,,,,,1,,,,,,-5,,1,,,,,,-6
Wikipedia,15,615,511695,Hi. Is there no chance that you could take a photograph of RCMP officers in the uniform we don't have a picture of?,Highlight,,,,"2: Is,3: there,4: no,5: chance",,,,,1: Hi.,,,,,,"1: Hi.,4: no,19: don't",,,1: Hi.,,"1: Hi.,2: Is,3: there,4: no,5: chance,6: that,7: you",,,,,,,,,,,,"1: Hi.,2: Is,3: there,4: no,5: chance,6: that",,,,,1: Hi.,,,,,,"2: Is,3: there,4: no,5: chance",,"2: Is,3: there,4: no,5: chance,6: that",,,,,,"1: Hi.,2: Is,3: there,4: no,5: chance,6: that,7: you,8: could"
Wikipedia,16,616,625700,"Well, welcome, and thanks for helping out, as you can see it's greatly needed. Do you have <url> yet?",Rating,,,,5,,,,,2,,,,,,1,,,4,,7,,,,,,,,,,,,3,,,,,2,,,,,,6,,3,,,,,,3
Wikipedia,16,616,625700,"Well, welcome, and thanks for helping out, as you can see it's greatly needed. Do you have <url> yet?",Highlight,,,,"2: welcome,,4: thanks,13: greatly,14: needed.",,,,,"1: Well,,2: welcome,,3: and,4: thanks,5: for,6: helping",,,,,,"2: welcome,,4: thanks,14: needed.",,,"2: welcome,,4: thanks,14: needed.",,"1: Well,,2: welcome,,3: and,4: thanks",,,,,,,,,,,,"1: Well,,2: welcome,",,,,,"1: Well,,2: welcome,,3: and,4: thanks,5: for",,,,,,"2: welcome,,4: thanks,13: greatly",,"4: thanks,5: for,6: helping,7: out,,8: as,9: you,10: can,11: see,12: it's,13: greatly,14: needed.",,,,,,"1: Well,,2: welcome,,4: thanks,8: as,9: you,10: can,11: see,15: Do,16: you,17: have"
Wikipedia,17,617,221519,"<url> posted a wonderful grammatical analysis of the ""has/had"" thing, another editor agreed, so I'm thinking we should make another request for the change, using Bluewave's post as the basis. What do you think?",Rating,,,,4,,,,,2,,,,,,-1,,,1,,7,,,,,,,,,,,,3,,,,,0,,,,,,3,,2,,,,,,3
Wikipedia,17,617,221519,"<url> posted a wonderful grammatical analysis of the ""has/had"" thing, another editor agreed, so I'm thinking we should make another request for the change, using Bluewave's post as the basis. What do you think?",Highlight,,,,"31: What,32: do,33: you,34: think?",,,,,"31: What,32: do,33: you,34: think?",,,,,,34: think?,,,21: request,,"2: posted,3: a,4: wonderful,5: grammatical",,,,,,,,,,,,"17: we,18: should,19: make,20: another,21: request,22: for,23: the,24: change,",,,,,"14: so,15: I'm,16: thinking,17: we,18: should,31: What,32: do,33: you,34: think?",,,,,,"31: What,32: do,33: you,34: think?",,"15: I'm,16: thinking,31: What,32: do,33: you,34: think?",,,,,,"15: I'm,16: thinking,17: we,18: should,31: What,32: do,33: you,34: think?"
Wikipedia,18,618,542856,"Hi, congrats on your admin promotion, but in preparing the short note about it for ''The Signpost'', I'm puzzled as to ""the backlog"", which appeared in your Request for Adminship text. Is it a copyright backlog for images?",Rating,,,,3,,,,,3,,,,,,-2,,,5,,5,,,,,,,,,,,,4,,,,,1,,,,,,2,,2,,,,,,0
Wikipedia,18,618,542856,"Hi, congrats on your admin promotion, but in preparing the short note about it for ''The Signpost'', I'm puzzled as to ""the backlog"", which appeared in your Request for Adminship text. Is it a copyright backlog for images?",Highlight,,,,"2: congrats,7: but,18: I'm,19: puzzled",,,,,"1: Hi,,2: congrats,3: on,4: your",,,,,,7: but,,,2: congrats,,"3: on,4: your,5: admin,6: promotion,,7: but,8: in,9: preparing,10: the,11: short,12: note,13: about,14: it,15: for,16: ''The,17: Signpost'',",,,,,,,,,,,,"1: Hi,,2: congrats,3: on,4: your,5: admin,6: promotion,",,,,,2: congrats,,,,,,2: congrats,,"2: congrats,3: on,18: I'm,19: puzzled",,,,,,"1: Hi,,2: congrats,18: I'm,19: puzzled"
Wikipedia,19,619,247167,Replied there. Should we keep it in that one place for now?,Rating,,,,3,,,,,1,,,,,,-2,,,0,,7,,,,,,,,,,,,1,,,,,0,,,,,,0,,1,,,,,,2
Wikipedia,19,619,247167,Replied there. Should we keep it in that one place for now?,Highlight,,,,"3: Should,4: we",,,,,"1: Replied,2: there.,3: Should",,,,,,"2: there.,12: now?",,,12: now?,,"3: Should,4: we,5: keep,6: it,7: in,8: that,9: one,10: place,11: for,12: now?",,,,,,,,,,,,3: Should,,,,,"3: Should,4: we",,,,,,3: Should,,"3: Should,4: we",,,,,,"3: Should,4: we,11: for,12: now?"
Wikipedia,20,620,319083,"I am sorry you ""don't like <url> tone"", but I have made scrupulous efforts to be entirely civil. Your opinion of my tone apart, would you care to respond to my points?",Rating,,,,-6,,,,,-7,,,,,,-9,,,-3,,7,,,,,,,,,,,,1,,,,,3,,,,,,-7,,-2,,,,,,8
Wikipedia,20,620,319083,"I am sorry you ""don't like <url> tone"", but I have made scrupulous efforts to be entirely civil. Your opinion of my tone apart, would you care to respond to my points?",Highlight,,,,"1: I,2: am,3: sorry,4: you,9: but,10: I,19: Your,20: opinion,21: of,22: my,23: tone,25: would,26: you,27: care",,,,,"2: am,3: sorry,4: you,5: ""don't,6: like,7: <url>,8: tone"",",,,,,,"5: ""don't,6: like,8: tone"",,24: apart,,32: points?",,,"3: sorry,20: opinion",,"1: I,2: am,3: sorry,4: you,5: ""don't,6: like,7: <url>,8: tone"",,9: but,10: I,11: have,12: made,13: scrupulous,14: efforts,15: to,16: be,17: entirely",,,,,,,,,,,,"1: I,2: am,3: sorry,4: you,25: would,26: you,27: care,28: to,29: respond",,,,,"1: I,2: am,3: sorry",,,,,,"5: ""don't,8: tone"",,13: scrupulous,25: would,26: you,27: care",,"1: I,2: am,3: sorry,4: you,5: ""don't,6: like,9: but,25: would,26: you,27: care",,,,,,"1: I,2: am,3: sorry,4: you,13: scrupulous,14: efforts,17: entirely,18: civil.,25: would,26: you,27: care,28: to"
Wikipedia,21,621,8289,Leon Liebgold played a rabbi. Was he a rabbi?,Rating,0,,,,-1,,,,,0,,,0,,,,0,,,,,,0,,,,,,,,0,,,,,,-2,,,,,0,,,0,,,,,,0
Wikipedia,21,621,8289,Leon Liebgold played a rabbi. Was he a rabbi?,Highlight,6: Was,,,,"3: played,6: Was,7: he,9: rabbi?",,,,,7: he,,,"6: Was,7: he",,,,"6: Was,7: he",,,,,,"6: Was,7: he,8: a,9: rabbi?",,,,"3: played,4: a,5: rabbi.",,,,"3: played,5: rabbi.,6: Was",,,,,,"6: Was,7: he,8: a,9: rabbi?",,,,,6: Was,,,"6: Was,7: he,8: a,9: rabbi?",,,,,,"6: Was,7: he,8: a,9: rabbi?"
Wikipedia,22,622,38100,"This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??",Rating,-9,,,,-5,,,,,-9,,,-1,,,,-3,,,,,,-9,,,,-3,,,,-3,,,,,,-5,,,,,0,,,-2,,,,,,-2
Wikipedia,22,622,38100,"This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??",Highlight,"1: This,2: is,3: what,4: you,5: wrote:",,,,"1: This,4: you,24: 1948??",,,,,24: 1948??,,,"1: This,2: is,3: what,22: What,23: book,,24: 1948??",,,,"1: This,2: is,3: what,4: you,5: wrote:,22: What,23: book,,24: 1948??",,,,,,"22: What,23: book,,24: 1948??",,,,"22: What,23: book,,24: 1948??",,,,"1: This,2: is,3: what,4: you,5: wrote:,22: What,23: book,,24: 1948??",,,,,,"1: This,2: is,3: what",,,,,2: is,,,"22: What,23: book,,24: 1948??",,,,,,"1: This,2: is,3: what,4: you,5: wrote:,22: What,23: book,,24: 1948??"
Wikipedia,23,623,46143,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",Rating,2,,,,7,,,,,-1,,,0,,,,7,,,,,,12,,,,9,,,,3,,,,,,7,,,,,5,,,1,,,,,,5
Wikipedia,23,623,46143,"Sorry, I've moved a number of articles and thought I did it correctly. How is moving done properly without losing the edit history?",Highlight,"1: Sorry,",,,,"1: Sorry,,9: thought,14: How,23: history?",,,,,"1: Sorry,",,,"1: Sorry,,14: How,15: is",,,,"1: Sorry,,14: How,15: is,16: moving,17: done,18: properly",,,,,,"1: Sorry,,14: How",,,,"1: Sorry,",,,,"1: Sorry,,9: thought,18: properly",,,,,,"1: Sorry,",,,,,"1: Sorry,",,,"1: Sorry,,14: How,15: is,16: moving,17: done,18: properly",,,,,,"1: Sorry,,9: thought,10: I,11: did,12: it,13: correctly."
Wikipedia,24,624,545256,Indeed. How did you find this?,Rating,0,,,,1,,,,,9,,,-1,,,,2,,,,,,8,,,,3,,,,0,,,,,,1,,,,,0,,,1,,,,,,0
Wikipedia,24,624,545256,Indeed. How did you find this?,Highlight,1: Indeed.,,,,"1: Indeed.,2: How",,,,,1: Indeed.,,,"1: Indeed.,2: How,3: did,4: you,5: find,6: this?",,,,"1: Indeed.,2: How,3: did,4: you",,,,,,1: Indeed.,,,,1: Indeed.,,,,1: Indeed.,,,,,,1: Indeed.,,,,,"1: Indeed.,2: How",,,"1: Indeed.,2: How,3: did",,,,,,"1: Indeed.,2: How,3: did,4: you,5: find,6: this?"
Wikipedia,25,625,322965,I objected because the image is replaceable. Why can't someone take a picture of it and release it freely?,Rating,-2,,,,-3,,,,,5,,,-2,,,,1,,,,,,-3,,,,0,,,,-3,,,,,,0,,,,,-3,,,-2,,,,,,-7
Wikipedia,25,625,322965,I objected because the image is replaceable. Why can't someone take a picture of it and release it freely?,Highlight,"8: Why,9: can't",,,,"1: I,2: objected,7: replaceable.,8: Why,9: can't",,,,,2: objected,,,"1: I,2: objected,3: because,8: Why,9: can't",,,,"1: I,2: objected,3: because,8: Why,9: can't",,,,,,"1: I,2: objected,8: Why,9: can't,10: someone",,,,"1: I,2: objected",,,,"2: objected,8: Why,9: can't",,,,,,"8: Why,9: can't",,,,,"2: objected,8: Why,9: can't",,,"2: objected,8: Why,9: can't,10: someone",,,,,,"8: Why,9: can't"
Wikipedia,26,626,560944,"Re: your comment at <url>, I suppose you know there's a list at <url>?",Rating,-6,,,,,,,,,5,,,-1,,,,-1,,,,,,-6,,,,0,,,,-3,,,,,,-5,,,,,-1,,,-1,,,,,,-11
Wikipedia,26,626,560944,"Re: your comment at <url>, I suppose you know there's a list at <url>?",Highlight,"1: Re:,7: suppose,8: you,9: know",,,,"1: Re:,5: <url>,,14: <url>?",,,,,7: suppose,,,"6: I,7: suppose,8: you,9: know",,,,"6: I,7: suppose,8: you,9: know",,,,,,"6: I,7: suppose,8: you,9: know",,,,"6: I,7: suppose,8: you,9: know",,,,7: suppose,,,,,,"6: I,7: suppose",,,,,7: suppose,,,"6: I,7: suppose,8: you,9: know",,,,,,"1: Re:,6: I,7: suppose,8: you,9: know"
Wikipedia,27,627,246622,Also I noticed you made new Europe and USA maps for this and <url>. Do you think it would be good to have a world map for <url>?,Rating,8,,,,2,,,,,0,,,0,,,,5,,,,,,9,,,,9,,,,3,,,,,,1,,,,,0,,,3,,,,,,5
Wikipedia,27,627,246622,Also I noticed you made new Europe and USA maps for this and <url>. Do you think it would be good to have a world map for <url>?,Highlight,"3: noticed,16: you,17: think,18: it,19: would,20: be,21: good",,,,"1: Also,3: noticed,15: Do,16: you,17: think,21: good",,,,,"2: I,3: noticed",,,"1: Also,2: I,3: noticed",,,,"2: I,3: noticed,4: you,15: Do,16: you,17: think",,,,,,"15: Do,16: you,17: think",,,,"1: Also,2: I,3: noticed,15: Do,16: you,17: think,18: it,19: would,20: be,21: good",,,,"3: noticed,15: Do,16: you,17: think,18: it,19: would,20: be,21: good",,,,,,"2: I,3: noticed",,,,,"3: noticed,15: Do,16: you",,,"15: Do,16: you,17: think,18: it,19: would,20: be,21: good",,,,,,"2: I,3: noticed,4: you,15: Do,16: you,17: think,18: it,19: would,20: be,21: good"
