Community,,Num,Id,Request,Type,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,EN_32,EN_33,EN_34,EN_35,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,CH_24,CH_25,CH_26,CH_27,CH_28,CH_29,CH_30,CH_31,CH_32,CH_33
Wikipedia,10,310,153809,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,Highlight,"7: for,8: no,9: reason,11: I,12: do,13: not,14: understand,22: persistent,23: vandalist,24: like,25: this,33: anyway,34: at,35: all,44: permanently,45: banned?",,,,"22: persistent,23: vandalist",,,,"7: for,8: no,9: reason,11: I,12: do,13: not,14: understand,15: why,45: banned?",,,"22: persistent,23: vandalist,44: permanently,45: banned?",,,"1: That,2: user,8: no,9: reason,12: do,13: not,14: understand,22: persistent,23: vandalist,27: allowed,44: permanently,45: banned?","31: Is,32: there,33: anyway,34: at,35: all,36: to,37: get,38: it,39: moved,40: back,41: and,42: that,43: user,44: permanently,45: banned?",,,,"7: for,8: no,9: reason,34: at,35: all",,"7: for,8: no,9: reason,20: why,21: a,22: persistent,23: vandalist",,,,"31: Is,32: there,33: anyway,34: at,35: all,36: to,37: get,38: it,39: moved,40: back,41: and,42: that,43: user,44: permanently,45: banned?",,"8: no,9: reason,12: do,13: not,14: understand,15: why,16: it,17: was,18: moved,19: or,20: why,21: a,22: persistent,23: vandalist,24: like,25: this,26: was,27: allowed,28: to,29: move,30: it.",,,,,,,"7: for,8: no,9: reason,14: understand,43: user,44: permanently,45: banned?","16: it,17: was,18: moved,19: or,20: why,21: a,22: persistent,23: vandalist,24: like,25: this,26: was,27: allowed,28: to,29: move,30: it.,31: Is,32: there,33: anyway",,,,,"11: I,12: do,13: not,14: understand,15: why,31: Is,32: there,33: anyway",,"22: persistent,23: vandalist,43: user,44: permanently,45: banned?",,,,"31: Is,32: there,33: anyway,34: at,35: all",,,,,,,"37: get,38: it,39: moved,40: back","31: Is,32: there,33: anyway,34: at,35: all,36: to,37: get",,,,,,31: Is,,31: Is,,,,,"7: for,8: no,9: reason,42: that,43: user,44: permanently,45: banned?"
Wikipedia,11,311,237529,"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",Rating,,-2,,,0,,,1,,,4,,,,1,,-4,,,9,,,-1,,-5,,,,1,,,-3,,,,,,3,,7,,,7,,,,4,,,,,,,4,3,,,6,,-3,,,,-3,,,,5
Wikipedia,11,311,237529,"Do you mind if you tell me why do you add duplicate links to the article? More specifically, why do you add internal links to the See Also sections when those links are already in the article navbox?",Highlight,,"8: why,9: do,10: you",,,"1: Do,2: you,3: mind",,,"1: Do,2: you,3: mind,17: More,18: specifically,,19: why,30: when,34: already",,,"1: Do,2: you,3: mind",,,,"1: Do,2: you,3: mind,20: do,21: you",,"1: Do,2: you,3: mind,8: why,9: do,10: you,11: add,19: why,20: do,21: you,22: add,30: when,31: those,32: links,33: are,34: already,35: in",,,"1: Do,2: you,3: mind,33: are,34: already",,,"17: More,18: specifically,",,"1: Do,2: you,3: mind",,,,"1: Do,2: you,3: mind",,,"19: why,20: do,21: you,31: those,32: links,33: are,34: already",,,,,,"1: Do,2: you,3: mind,4: if",,"1: Do,2: you,3: mind",,,"1: Do,2: you,3: mind,17: More,18: specifically,",,,,"1: Do,2: you,3: mind,4: if,5: you,6: tell,17: More,18: specifically,",,,,,,,"1: Do,2: you,3: mind","1: Do,2: you,3: mind,19: why,20: do,21: you",,,"1: Do,2: you,3: mind,4: if,17: More,18: specifically,",,"1: Do,2: you,3: mind,4: if,5: you,6: tell,7: me,8: why,9: do",,,,"19: why,20: do,21: you",,,,"1: Do,2: you,3: mind,4: if"
Wikipedia,12,312,553125,"I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?",Rating,,-5,,,-9,,,-6,,,-8,,,,0,,-8,,,-3,,,-5,,-8,,,,-2,,,-2,,,,,,-9,,2,,,8,,,,0,,,,,,,4,-2,,,-3,,-5,,,,1,,,,3
Wikipedia,12,312,553125,"I presume you haven't obliterated them completely, because that would be to be editorialise enormously. Where have you put them instead?",Highlight,,"2: presume,5: obliterated,15: enormously.",,,"5: obliterated,6: them,7: completely,",,,"1: I,2: presume,5: obliterated,7: completely,,8: because,15: enormously.,21: instead?",,,2: presume,,,,"2: presume,16: Where,17: have,18: you,19: put,20: them,21: instead?",,"5: obliterated,6: them,7: completely,,8: because,9: that,10: would,11: be,12: to,13: be,14: editorialise,15: enormously.,16: Where,17: have,18: you,19: put,20: them,21: instead?",,,"2: presume,5: obliterated",,,"2: presume,14: editorialise,15: enormously.",,2: presume,,,,"2: presume,5: obliterated,16: Where",,,"2: presume,9: that,10: would,11: be,12: to,13: be,14: editorialise,15: enormously.",,,,,,"2: presume,5: obliterated,7: completely,,14: editorialise,15: enormously.",,"16: Where,17: have,18: you,19: put,20: them,21: instead?",,,"1: I,2: presume,3: you,16: Where,17: have,18: you,19: put,20: them,21: instead?",,,,2: presume,,,,,,,"16: Where,17: have,18: you","2: presume,4: haven't,5: obliterated",,,"2: presume,16: Where,17: have,18: you,19: put,20: them,21: instead?",,"1: I,2: presume,3: you,4: haven't,5: obliterated,6: them,7: completely,",,,,15: enormously.,,,,"2: presume,3: you,4: haven't"
Wikipedia,13,313,407369,"I replied... also, are you watching that page? If so, I will stop bothering you here?",Rating,,-2,,,3,,,-6,,,-9,,,,0,,,,,3,,,-2,,2,,,,-1,,,3,,,,,,0,,9,,,5,,,,3,,,,,,,3,2,,,-5,,0,,,,2,,,,1
Wikipedia,13,313,407369,"I replied... also, are you watching that page? If so, I will stop bothering you here?",Highlight,,2: replied...,,,"9: If,10: so,,11: I,12: will,13: stop,14: bothering,15: you,16: here?",,,"2: replied...,3: also,,4: are,5: you,11: I,12: will,13: stop,14: bothering",,,"11: I,12: will,13: stop,14: bothering,15: you,16: here?",,,,2: replied...,,"9: If,10: so,,11: I,12: will,13: stop,14: bothering,15: you,16: here?",,,"9: If,10: so,",,,"2: replied...,9: If,10: so,",,2: replied...,,,,"2: replied...,14: bothering,15: you",,,"12: will,13: stop,14: bothering,15: you",,,,,,"9: If,10: so,",,"12: will,13: stop,14: bothering,15: you,16: here?",,,"11: I,12: will,13: stop,14: bothering,15: you,16: here?",,,,"4: are,5: you,13: stop,14: bothering",,,,,,,"11: I,12: will,13: stop","11: I,12: will,13: stop,14: bothering,15: you,16: here?",,,"4: are,5: you,6: watching,7: that,8: page?,13: stop,14: bothering,15: you,16: here?",,"9: If,10: so,,11: I",,,,"9: If,10: so,,11: I,12: will,13: stop,14: bothering,15: you,16: here?",,,,"11: I,12: will,13: stop,14: bothering,15: you,16: here?"
Wikipedia,14,314,507499,"<url> is telling me that your talk page and <url> supposedly both link there, but I can't find them for the life of me. Any ideas?",Rating,,0,,,3,,,-2,,,7,,,,0,,8,,,6,,,1,,8,,,,3,,,0,,,,,,0,,3,,,5,,,,-1,,,,,,,1,0,,,0,,0,,,,0,,,,0
Wikipedia,14,314,507499,"<url> is telling me that your talk page and <url> supposedly both link there, but I can't find them for the life of me. Any ideas?",Highlight,,"25: Any,26: ideas?",,,"25: Any,26: ideas?",,,"2: is,3: telling,4: me,11: supposedly,20: for,21: the,22: life,23: of,24: me.",,,"25: Any,26: ideas?",,,,"25: Any,26: ideas?",,"16: I,17: can't,18: find,19: them,20: for,21: the,22: life,23: of,24: me.,25: Any,26: ideas?",,,"16: I,17: can't,18: find,25: Any,26: ideas?",,,"17: can't,18: find,19: them,20: for,21: the,22: life,23: of,24: me.",,"25: Any,26: ideas?",,,,"25: Any,26: ideas?",,,"25: Any,26: ideas?",,,,,,"25: Any,26: ideas?",,"17: can't,25: Any,26: ideas?",,,"25: Any,26: ideas?",,,,"11: supposedly,20: for,21: the,22: life,23: of,24: me.",,,,,,,"25: Any,26: ideas?","25: Any,26: ideas?",,,"25: Any,26: ideas?",,"25: Any,26: ideas?",,,,11: supposedly,,,,"25: Any,26: ideas?"
Wikipedia,15,315,394295,I am not sure why <url> is not just in the article <url> as a straight table. Is there some chance the template might be used on another article?,Rating,,3,,,4,,,4,,,7,,,,0,,4,,,6,,,1,,4,,,,3,,,0,,,,,,3,,6,,,7,,,,3,,,,,,,2,3,,,4,,0,,,,1,,,,6
Wikipedia,15,315,394295,I am not sure why <url> is not just in the article <url> as a straight table. Is there some chance the template might be used on another article?,Highlight,,"18: Is,19: there,20: some,21: chance",,,"18: Is,19: there,20: some,21: chance",,,"1: I,2: am,3: not,4: sure,18: Is,19: there,20: some,21: chance",,,"18: Is,19: there,20: some,21: chance",,,,"1: I,2: am,3: not,4: sure",,"7: is,8: not,9: just,10: in,11: the,12: article,18: Is,19: there,20: some,21: chance,22: the,23: template,24: might,25: be,26: used,27: on,28: another,29: article?",,,"2: am,3: not,4: sure,20: some,21: chance",,,"19: there,20: some,21: chance",,"20: some,21: chance",,,,"3: not,4: sure,5: why",,,"20: some,21: chance",,,,,,"18: Is,19: there,20: some,21: chance",,"18: Is,19: there,20: some,21: chance,22: the,23: template,24: might,25: be,26: used,27: on,28: another,29: article?",,,"18: Is,19: there,20: some,21: chance",,,,"3: not,4: sure,18: Is,19: there,20: some,21: chance",,,,,,,"1: I,2: am,3: not,4: sure","1: I,2: am,3: not,4: sure",,,"3: not,4: sure,5: why,18: Is,19: there,20: some,21: chance",,"1: I,2: am,3: not,4: sure,5: why,18: Is,19: there,20: some,21: chance",,,,24: might,,,,"18: Is,19: there,20: some,21: chance"
Wikipedia,16,316,109287,"You are so right, <url> looks to be blatant advertising. Why don't you put it up for <url>?",Rating,,0,,,7,,,7,,,3,,,,6,,0,,,7,,,-1,,6,,,,3,,,3,,,,,,0,,1,,,-7,,,,-2,,,,,,,3,3,,,3,,0,,,,4,,,,4
Wikipedia,16,316,109287,"You are so right, <url> looks to be blatant advertising. Why don't you put it up for <url>?",Highlight,,"1: You,2: are,3: so,4: right,",,,"1: You,2: are,3: so,4: right,",,,"1: You,2: are,3: so,4: right,,11: Why,12: don't,13: you",,,"1: You,2: are,3: so,4: right,",,,,"1: You,2: are,3: so,4: right,,11: Why,12: don't,13: you,14: put,15: it,16: up",,"1: You,2: are,3: so,4: right,,11: Why,12: don't,13: you,14: put,15: it,16: up,17: for,18: <url>?",,,"1: You,2: are,3: so,4: right,",,,"1: You,2: are,3: so,4: right,,11: Why,12: don't,13: you,14: put,15: it,16: up,17: for",,"11: Why,12: don't,13: you",,,,"3: so,4: right,",,,"1: You,2: are,3: so,4: right,,5: <url>",,,,,,"3: so,11: Why,12: don't,13: you",,"12: don't,13: you,14: put,15: it,16: up",,,"3: so,9: blatant,10: advertising.",,,,"11: Why,12: don't,13: you",,,,,,,"1: You,2: are,3: so,4: right,","1: You,2: are,3: so,4: right,",,,"11: Why,12: don't,13: you",,"1: You,2: are,3: so,4: right,,11: Why,12: don't,13: you",,,,"1: You,2: are,3: so,4: right,",,,,"3: so,4: right,,11: Why,12: don't,13: you"
Wikipedia,17,317,625066,Oosterman is hardly the world's foremost expert on Hyper-Calvinism. Can you cite any scholars or experts who support your thesis?,Rating,,-1,,,-2,,,-2,,,-10,,,,-4,,-1,,,-6,,,-4,,5,,,,9,,,-4,,,,,,-3,,5,,,-2,,,,1,,,,,,,1,3,,,0,,-3,,,,2,,,,0
